question_id,test_id,Question,Option A,Option B,Option C,Option D,Answer,Explanation,paragraph,image,explanationImage
,12,"Formation of delta is influenced by which of the following?\n1. Current \n2. Rate of Sedimentation\n3. Tide\n4. Waves\nSelect the correct answer using the codes given below",1 and 2 only,"2, 3  and 4 only","1, 3 and 4 only","1, 2, 3 and 4",D,"• There should be no strong current running at right angle to river mount else sediment will be washed away.\n• The coast should be sheltered and should be tide less.\n• The depositional feature of triangular shape at mouth of river meeting sea or lake is called delta.\n• Almost every lengthy river forms delta.\n• Condition :\n• Shallow sea or lake.\n• Lengthy course of the river.\n• Medium size sediments with large amount\n• Relatively calm sea\n• Stable condition of the sea.",,,
,12,Which of the following is called as basket of egg topography?,Eskers,Drumlins,Coral Islands,Inselberg,B," Drumlins are elongated, teardrop-shaped hills of rock, sand, and gravel that formed under moving glacier ice. They can be up to 2 kilometers (1.25 miles) long".,,,
,12,"Which of the following currents is/are carrier of ice bergs?\n1. West Wind drift\n2. Norwegian current\n3. Labrador current\n4. East Australian Current\nSelect the correct answer using the codes given below",1 and 3 only,"1, 2 and 3 only","1, 3 and 4 only","1, 2, 3 and 4",A,• Currents like Labrador current, oyashiyo, west wind drift carry large icebergs which hinder growth navigation.,,,
,12,"Consider the following statements:\n1. Geographically deserts are found only on continents \n2. Biological deserts occur in both continents and oceans\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,C,"• The oceans biological desert is expanding greatly in last few centuries. \n• Biological desert is nothing but regions having very low biomass.\n• Desert, any large, extremely dry area of land with sparse vegetation. It is one of Earth’s major types of ecosystems, supporting a community of distinctive plants and animals specially adapted to the harsh environment.\n• Desert environments are so dry that they support only extremely sparse vegetation; trees are usually absent and, under normal climatic conditions, shrubs or herbaceous plants provide only very incomplete ground cover. Extreme aridity renders some deserts virtually devoid of plants; however, this barrenness is believed to be due in part to the effects of human disturbance, such as heavy grazing of cattle, on an already stressed environment.\n• According to some definitions, any environment that is almost completely free of plants is considered desert, including regions too cold to support vegetation—i.e., 'frigid deserts.' Other definitions use the term to apply only to hot and temperate deserts, a restriction followed in this account.\n• The Sahara, the Gobi, the Chihuahuan--all are great deserts. But what about the South Pacific's subtropical gyre? This ""biological desert"" within a swirling expanse of nutrient-starved saltwater is the largest, and least productive, ecosystem of the South Pacific. Together with the subtropical gyres in other oceans, biological deserts cover 40% of Earth's surface. But their relative obscurity may be about to change. Researchers are reporting that the ocean's biological deserts have been expanding, and they are growing much faster than global warming models predict.",,,
,12,"Consider the following statements:\n1. Erosion is most potent factor in reducing rocks to sand in arid regions.\n2. Wind is a effective agent of erosion, transportation and deposition.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,B,"• Weathering is the most potent factor in reducing rods to sand in arid regions,\n• Wind is effective only in arid region and not the most effective in global level",,,
,12,"Consider the following statements:\n1. They are often barren and at best carry thin layer of soil,\n2. The region is densely populated. \nWhich of the statements given above is/are correct regarding Karst topography?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,A,"• Karst region does not support agriculture or animal husbandry and the lack of mineral resources in addition has led to very low population density.\n• Limestone is resistance in dry region but becomes soluble in wet condition, which is named after karst region of erstwhile yugoslavia. \n• When the surface water Infiltrates downward through the pore spaces and collected in large quantity in aquifers is called groundwater.\n•  Aquifers refers to storage pool of groundwater lying below the surface of the earth.",,,
,12,"Consider the following statements:\n1. Lakes are only temporary feature of earth’s crust.\n2. Lakes will gradually eliminate by double process of draining and rifting up.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,B,"Lakes are temporary features as they will be eliminated by detaining and sitting. Also in arid regions, they get completely dried up during dry seasons. ",,,
,12,"Consider the following statements:\n1. Lagoons are lakes formed due to marine deposits. \n2. Lagoons are formed in flood plains of river and in coasts.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,A,"A lagoon is a body of water separated from larger bodies of water by a natural barrier.\nLagoons are separated from larger bodies of water by sandbars, barrier reefs, coral reefs, or other natural barriers. The word 'lagoon' derives from the Italian word laguna, which means 'pond' or 'lake'.\nAlthough lagoons are well defined geographically, the word 'lagoon' is sometimes used as a name for a larger region that contains one or more lagoons. For example, Laguna Madre on the Texas Gulf Coast is actually made up of smaller bays and lagoons, while Laguna Beach in Southern California is actually a beach and not a lagoon at all.\nThere are two types of lagoons: atoll and coastal. Atoll lagoons form when an island completely subsides beneath the water, leaving a ring of coral that continues to grow upwards. At the center of the ring is a body of water that is often deep. The combination of coral growth and water creates a lagoon. It may take as long as 300,000 years for an atoll formation to occur.\nCoastal lagoons form along gently sloping coasts. They are generally shallower than atoll lagoons and tend to be separated from the ocean by an island, reef, or sand bank. Most of the time, coastal lagoons are connected to the ocean by an inlet.\nSea level rise, the amount of existing sediment, and tidal range all contribute to the formation of coastal lagoons. Younger and more dynamic than atoll lagoons, coastal lagoons may have shorter 'lifespans' due to their exposed locations on the shore.",,,
,12,"Consider the following pairs:\n<table><tr><td>Desert</td><td>Causes</td></tr><tr><td>Kalahari</td><td>Cold Current</td></tr> <tr><td>Gobi</td><td>Rain shadow region of mountain</td></tr><tr><td>Sahara</td><td>Sub Tropical High       Pressure belt</td></tr></table>\nWhich of the pairs given above is/are correctly matched?",1 only,1 and 3 only,2 and 3 only,"1, 2 and 3",B," Gobi desert is due to its presence in continental interiors which are characterized by extremes of temperature.",,,
,12,"Consider the following statements regarding Waves and Currents.\n1. Wave more forward in seas and oceans.\n2. In current, the water particles also move along with it. \nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,C,"• The water in the ocean is constantly moving. On the surface we see water moving in he form of waves. Below the surface the water moves in great currents. \nOcean Waves\n• One of the things many people love about the ocean is the waves. People love to play in the waves, surf the waves, and the sound of the waves crashing on the beach. \nWhat causes ocean waves?\n• Ocean waves are caused by wind moving across the surface of the water. The friction between the air molecules and the water molecules causes energy to be transferred from the wind to the water. This causes waves to form. \nWhat is a wave?\n• In science, a wave is defined as a transfer of energy. Ocean waves are called mechanical waves because they travel through a medium. The medium in this case is water. The water doesn't actually travel with the wave, but only moves up and down. It's the energy that travels with the wave. You can go here to learn more about the science of waves. \nWhat are swells? \n• Swells are rolling waves that travel long distances through the ocean. They are not generated by the local wind, but by distant storms. Swells are typically smooth waves, not choppy like wind waves. A swell is measured from the crest (top) to the trough (bottom). \nOcean Currents\n• An ocean current is a continuous flow of water in the ocean. Some currents are surface currents while other currents are much deeper flowing hundreds of feet below the surface of the water.\nWhat causes ocean currents? \n• Surface currents are usually caused by the wind. As the wind changes, the current may change as well. Currents are also influenced by the rotation of the Earth called the Coriolis effect. This causes currents to flow clockwise in the northern hemisphere and counter clockwise in the southern hemisphere.\n• Deep ocean currents are caused by a number of things including changes in the temperature, salinity (how salty the water is), and density of the water. \n• One other factor impacting ocean currents is the gravitational pull of the Moon and the Sun. \nWorld wide ocean currents\n(Click on picture to see large view)\nDo currents impact the climate?\n• Ocean currents can have a significant impact on climate. In some areas warm water is moved from the equator to a colder region causing the region to be warmer.\n• One example of this is the Gulfstream current. It pulls warm water from the equator to the coast of Western Europe. As a result, areas such as the United Kingdom are typically much warmer than areas at the same northern latitude in North America. \n• Interesting Facts about Ocean Waves and Currents\n• The tallest wave ever measured was 1719 feet at Lituya Bay, Alaska.\n• The tallest wave recorded in the open ocean was 95 feet during a storm near Scotland.\n• Surface currents are important to ships as they can make it easy or difficult to travel depending on the direction of the current.\n• Some marine animals take advantage of currents to migrate thousands of miles to and from breeding grounds.\n• Ben Franklin published a map of the Gulf Stream in 1769.",,,
,12,"Identify the coastlines of submergence from the following\n1. Ria coast\n2. Fiord coast\n3. Estuarine coast\n4. Uplifted lowland coast\nSelect the correct answer using the code given below.","1, 2 and 3 only","1, 3 and 4 only","2, 3 and 4 only","1, 2, 3 and 4",A,"Emergent Coasts\n• Emergent coasts are a result of local tectonic uplift of the land surface or a fall in the elevation of sea level because of a reduction in the water volume of ocean basins. Quite often, emergent coasts have rocky coastlines with cliffs and nearly flat platforms that extend inland where older coastal plains have been tectonically raised and are now elevated above the modern land and water interface. A very good example of an emergent coastline, because of its proximity to an active plate tectonic margin, is the west coast of North America. Parts of the Scandinavian coastline (Sweden and Norway) are also emergent where the land surface has been rebounding upward due to the removal of the weight of glacial ice that formed during the last Ice Age, but has since melted.\nSubmergent Coasts\n• Submergent Coasts are those that have been flooded by ocean waters because of a relative rise in the elevation of sea level at that location. The rise in sea level can be either the result of an increase in the volume of water in the ocean basins or the result of the land surface sinking, both of which create an apparent rise in the elevation of sea level. A common feature of submergent coastal zones is river valleys or glacially-carved valleys that have been flooded by ocean water. The Chesapeake Bay of the eastern United States is a classic example of a river valley that extended to the edge of the continental shelf during the last Ice Age when ocean waters were stored in the ice sheets. As the ice age ended, ice sheets melted, and sea level rose, the river valley was flooded with marine waters to create the Chesapeake Bay.\n• Type # 1. Coastlines of Submergence:\ni. Ria Coast:\n• During the Ice Age a great deal of water was locked up in ice. The warmer climate that followed melted much of the ice. Subsequently there was an increase in the waters of the oceans and the sea level rose appreciably. In some cases it is estimated that there was a rise of almost 300 feet!\n• In upland coastal regions where the mountains run at right angles to the sea, that is transverse or discordant to the coast (Fig. 83), a rise in the sea level submerges or drowns the lower parts of the valleys to form long, narrow branching inlets separated by narrow head¬lands. They differ from fiords in two important respects, i.e. they are not glaciated, and their depth increases seawards.\n• A ria coast is typical of the Atlantic type of coast like those of north-west France, north-west Spain, south-west Ireland, Devon and Cornwall. As rias are generally backed by highland, they support few large commercial ports though they have deep water and offer sheltered anchorage. They have been extensively used for siting fishing ports and naval bases such as Plymouth and Brest.\nii. Fiord Coast:\n• Fiords are submerged U-shaped glacial troughs. They mark the paths of glaciers that plunged down from the highlands. They have steep walls, often rising straight from the sea, with tributary branches joining the main inlet at right angles.\n• Due to the greater intensity of ice erosion fiords are deep for great distances inland but there is a shallow section at the seaward end formed by a ridge of rock and called the threshold . Off the fiord coast are numerous islands or skerries which, with the shallow thresholds, sometimes only 200 feet deep, complicate coastal navigation.\n• Fiord coasts are almost entirely confined to the higher latitudes of the temperate regions which were once glaciated e.g. Norway, Alaska, British Columbia, southern Chile and the South Island of New Zealand. Some of the large fiords are extremely long and deep. For example the Sogne Fiord of Norway is 110 miles long, 4 miles wide and almost 4,000 feet deep in its mid-channel.\n• Despite their deep and sheltered water, few large ports are located in fiords. Their mountainous background with poor accessibility inland, attract few settlements. Agriculture is confined to the deltaic fans, built up where streams flow down to the fiords. The few towns that exist either as fishing or market centres e.g. Trondheim, are only of local importance.\niii. Dalmatian Coast:\n• This is the longitudinal coast where mountains run parallel or concordant to the coast. The name is taken from the coast of Dalmatia, Yugoslavia, along the Adriatic Sea, where the submer-gence of the coastline produces long, narrow inlets with a chain of islands parallel to the coast.\n• The elongated islands are the crests of former ranges and the narrow sounds were the former longitudinal valleys. The Dalmatian type of coast is also typical of the Pacific coast where the ranges are parallel to the coast e.g. western coasts of North and South America but there the coastline is more regular.\n• Like the ria and fiord coasts, the moun¬tainous nature of the Dalmatian coastline hinders communication inland. It has deep, sheltered har¬bours but no distinguished ports. On the Pacific coast, however, there are some important ports such as San Francisco.\niv. Estuarine Coast:\n• In submerged lowlands, the mouths of rivers are drowned so that funnel-shaped estuaries are formed. If their entrances are not silted by moving sand-banks, they make excellent sites for ports, e.g. the estuaries of the Thames, Elbe and Plate are the sites of such great seaports as London, Hamburg and Buenos Aires.\n• Tidal effects further enhance the value of the ports and even when there is a little silting, modern dredges help to keep the ports open all the time.\n• Type # 2. Coastlines of Emergence:\n• i. Uplifted Lowland Coast:\n• The uplift of part of the continental shelf produces a smooth, gently sloping coastal lowland (Fig. 86). The offshore waters are shallow with lagoons, salt-marshes and mud-flats. Where the emergent deposits from the continental shelves are sandy and gravelly, beaches and marine dunes are formed. Ports that were once located on the former coast become inland towns.\n• Examples of uplifted lowland coasts include the south-eastern U.S.A., western Finland, eastern Sweden and parts of coastal Argentina south of the Rio de la Plata.\nii. Emergent Upland Coast:\n• Faulting and earth move¬ment may thrust up coastal plateaux so that the whole region is raised, with consequent emergent features. A raised beach is the most prominent. The raised beach is beyond the reach of the waves, though it may still possess arches, stacks and other coastal features.\n• The emergent upland coast is quite straight with steep cliffs and deeper off-shore water, for the waves have not yet eroded lines of weakness or carved a wave-cut platform . It has little potential for good port sites. Examples of emergent upland coasts are found in Scotland, the western coast of the Deccan, India and the western Arabian coast facing the Red Sea.",,,
,12,"Consider the following pairs:\n1. Fringing reefs – Circular in shape and enclose a lagoon\n2. Barrier reefs – Long and narrower coral reef separated from the coast by channel or lagoon.\n3. Atoll – It is a coastline platform lying close to the shore extending outward from the mainland. \nWhich of the pairs given above is/are correctly matched?",1 and 2 only,2 only,2 and 3 only,"1, 2 and 3 only",B,"• Atolls are similar to barrier reef  except that they are circular in shape, enclosing a shallow lagoon.\n• Fringing reef: They lye close to the shore extending outwards from the mainland. ",,,
