questionNumber,test_id,question,OptionA,OptionB,OptionC,OptionD,Answer,Explanation,paragrph,image,explanationImage
,11,"A metallic sheet is of rectangular shape with dimensions 48 m x 36 m. From each of its corners, a square is cut off so as to make an open box. If the length of the square is 8 m, the volume of the box",5120 cm<super>3</super>,6780 cm<super>3</super>,7210 cm<super>3</super>,8480 cm<super>3</super>,a,"Clearly, l = (48 - 16) m = 32 m, b = (36 - 16) m = 20 m, h = 8 m\nVolume of the box = (32 x 20 x 8) m3<super>3</super> = 5120 m<super>3</super>  ",,,
,11,"The areas of the three adjacent faces of a rectangular box which meet in a point are known. The product of these areas is equal to ",the square of the volume of the box,the cube of the volume of the box,the volume of the box,none of these,a,"Let length = l, breadth = b and height = h.\n Then,  Product of areas of 3 adjacent faces = (lb x bh x lh) = (lbh)<super>2</super> = (Volume)<super>2</super>",,,
,11,"A cistern 6 m long and 4 m wide contains water up to a depth of 1 m 25 cm. The total area of the wet surface is:",9 m<super>2</super>,18 m<super>2</super>,36 m<super>2</super>,49 m<super>2</super>,d,"Area of the wet surface = [2 (lb + bh + lh) - lb]\n                                         = 2 (bh + lh) + lb  \n                                         = [2 (4 x 1.25 + 6 x 1.25) + 6 x 4] m<super>2</super> \n                                         = 49 m<super>2</super> ",,,
,11,"A boat having a length 3 m and breadth 2 m is floating on a lake. The boat sinks by 1 cm when a man gets on it. The mass of man is:",5 kg,20 kg,40 kg,60 kg,d,"Volume of water displaced = (3 x 2 x 0.01) m<super>3</super>\n                                              = 0.06 m<super>3</super>\n Mass of man = Volume of water displaced x Density of water\n                           = (0.06 x 1000) kg\n                           = 60 kg.  ",,,
,11,"The edges of a cuboid are in the ratio 1: 2 : 3 and its surface area is 88 cm<super>2</super>. The volume of the cuboid is",48 cm<super>3</super>,52 cm<super>3</super>,62 cm<super>3</super>,71 cm<super>3</super>,a,"Let the dimensions of the cuboid be x, 2x and 3x,\nThen, 2 (x x 2x + 2x x 3x + x x 3x) = 88 \n=>  2x<super>2</super>  + 6x<super>2</super>  + 3x<super>2</super>  = 44  \n=>  11x<super>2</super> = 44  \n=>  x<super>2</super>  = 4  \n=>  x = 2\n  Volume of the cuboid = (2 x 4 x 6) cm<super>3</super> = 48 cm<super>3</super>",,,
,11,"If the radius of the base and the height of a right circular cone are doubled, then its volume becomes :",6 times,7 times,8 times,9 times,c,"Let the original radius and height of the cone be r and h respectively.\n Then, new radius = 2r. New height = 2h ",,,
,11,"The surface area of a sphere is same as the curved surface area of a right circular cylinder whose height and diameter are 12 cm each. The radius of the sphere is :",4 cm, 6 cm, 8 cm, 10 cm,b,"4R<super>2</super> = 2 x 6 x 12  \nR<super>2</super> == 36\nR = 6",,,
,11,"I have a big box of volume 8160 cu.cm. How many small pizza boxes of dimension 4cm X 3cm X 2 cm can I store in this big box?",310,320,340,345,c,"Volume of one box = length x breadth x height = 4 x 3 x 2 = 24 cu.cm.\nMaximum number of boxes = =  340 boxes",,,
,11,"The ratio of the dimensions of two cylindrical drums are as follows. Radii - 4:7 Heights - 21:8  Find the ratio of their volumes. ",2:3,3:2,6:7,7:6,c,"Volume of solid cylinder = pir<super>2</super>h\nR = Radius and h = Height\nSince pi is constant, Ratio of volumes can be directly given by = rr1<super>2</super>h1/r2<super>2</super>h2\nRatio of volumes = (4/7)<super>2</super>x218=67 ",,,
,11,"The volume of the greatest sphere that can be cut off from a cylindrical log of wood of base radius 1 cm and height 5 cm is :",1/3pi cm<super>3</super>,2/3pi cm<super>3</super>,1pi cm<super>3</super>,4/3pi cm<super>3</super>,d,"Required volume = Volume of a sphere of radius 1 cm\n  (4/3)xpix1x1x1 = 43picm<super>3</super>",,,
,11,"A solid metallic cone of height 10 cm, radius of base 20 cm is melted to make spherical balls each of 4 cm diameter. How many such balls can be made?",25,75,50,125,d,"Let the number of balls be n\nVolume of n balls = volume of cone\n=> n X 4/3 pi r<super>3</super> = 1/3 piR<super>2</super>h\n=> n X 4/3 (2)<super>3</super> = 1/3 X (20)<super>2</super> X 10\n=> n = 125 ",,,
,11,"The breadth of a rectangular hall is three-fourths of its length. If the area of the floor is 768 sq m, then the difference between the length and breadth of the hall is",8m,12m,24m,32m,a,"Let Y be length\nTherefore, breadth =3/4 x Y m\nArea of rectangular hall = Length x Breadth\nY x 3/4Y m = 768 ; Y2=768 x 4/3\nLength=32 m ; Breadth = 24 m and Difference = 32-24=8 m",,,
,11," The first paragraph of the passage "," gives the reader a brief understanding on why twin studies have been carried out.","informs the readers of a specific problem and the scope for investigating it.","introduces the drawbacks in the twin studies when it comes to presenting credible results.","puts across the difficulties faced by insomniac people",b," From twin studies, researchers know the inability to fall or stay asleep has a genetic component, but the identities of the culprits were mostly unknown","Around a third of people complain of some sleeplessness, and one in 10 meets diagnostic criteria for clinical insomnia. The costs, in terms of well-being, physical health and productivity, are enormous. From twin studies, researchers know the inability to fall or stay asleep has a genetic component, but the identities of the culprits were mostly unknown.\nNow, the two studies published in Nature Genetics provide first peeks at the biological basis of insomnia, implicating specific brain regions and biological processes, and revealing links with heart disease and psychiatric disorders like depression. Both are genome-wide association studies (GWASs), which examine DNA from many thousands of individuals to determine where genetic markers related to health, disease or a particular trait reside. The first study, from a team led by geneticist Danielle Posthuma of Vrije University Amsterdam, analyzed the genomes of over 1.3 million people, making it the largest GWAS of any complex trait to date. They used data from the UK Biobank, a large, long-term genetics project, and from the direct-to-consumer genetics company 23andMe to identify 202 areas of the genome linked to insomnia, implicating 956 genes, a big advance from the seven found previously. 'I'm pretty confident the vast majority of these are real,' says geneticist Stephan Ripke, a GWAS expert at the Berlin Institute of Health who was not involved in either study. 'But we need to confirm this in more, separate cohorts from different countries and researchers.'\nThe researchers then investigated which brain regions and cells these genes frequently turn up in. This analysis implicated the axons (output connections) of neurons as well as parts of the cortex and deeper 'subcortical' brain regions like the striatum, involved in movement. It also tagged 'medium spiny neurons,' which occupy most of the striatum as well as neurons in other regions, including the hypothalamus. These findings tally with brain-imaging studies suggesting dysfunction of some regions in insomnia, and with animal studies implicating these cells in sleep regulation. 'Before our study we knew little about which genes, pathways and cells were involved,' Posthuma says. 'We now have concrete hypotheses that can be tested.' The second study, from a team led by geneticist Richa Saxena of Massachusetts General Hospital, interrogated over 450,000 genomes, again from the UK Biobank. They identified 57 regions, implicating 236 genes, and confirmed these results in analyses of two separate data sets. One of these used clinically diagnosed patients, a contrast to the other data compendium that was based on less reliable, self-reported symptoms. The team went further by analyzing data from nearly 84,000 UK Biobank participants who had worn motion detectors for a week to observe tossing and turning or sleepwalking, enabling them to link genetic findings with actual measures of sleep. 'This shows the findings are valid for different definitions of insomnia-related symptoms, including some that are measured objectively,' according to Virginia Commonwealth University statistical geneticist Mackenzie Lind.\nThe two studies found significant overlap between genes implicated in insomnia and those related to psychiatric and metabolic traits. Genes for traits, including depression, anxiety, schizophrenia, coronary artery disease and type 2 diabetes were sometimes the same. The findings suggest insomnia is more strongly related to neuropsychiatric disorders than to other sleep-related traits such as whether someone is a morning person. 'That was a big surprise,' Saxena says. 'Implying that at the genetic level it's a disorder that's likely linked to psychiatric disease and mood regulation, and it's not necessarily just about sleep regulation.'\nBoth teams also used a technique (Mendelian randomization) that allowed them to infer what might be causing what by comparing their findings with GWAS results for other conditions. The two studies found insomnia may cause depression and coronary artery disease, and the larger study also found causal risk effects for BMI (body mass index) and type 2 diabetes. 'One of the motivations for using genetics to study sleep was to tease apart where it's causal where it's not,' Saxena says. 'So eventually interventions can be targeted to areas where things are causal.' Not all researchers are confident in these tests, however. 'The genetic overlap is sound,' Ripke says. 'But there's debate about these Mendelian randomization tests; I wouldn't take this for granted.'\nBoth studies implicated a gene involved in restless leg syndrome, which 'makes sense, given it's also a sleep disturbance,' Saxena says, although her team also found this may have been partly due to undiagnosed cases of RLS in their data sets. In fact, it is probable insomnia is not a singular condition but a cluster of symptoms grouped together, which can have a range of underlying causes. It could be a consequence of childhood trauma in one patient, due to disrupted circadian processes in another or just resulting from restless leg syndrome in another. 'If that's the case, then we'll really be able to dissect that with the genetics,' she says. 'Understanding if there are different types of insomnia, and how can we study them and maybe treat them separately, that's the hope for the whole field.'\nGoing forward, these findings provide entry points for researchers to dive into the biology of insomnia. 'We're following two strategies now,' Posthuma says. Implementation is proceeding by 'increasing sample size even further,' she notes, 'and setting up lab experiments to prove causation and show how implicated cell types influence insomnia.' Studies like this may illuminate new therapeutic targets. Although treatments exist, access to therapies like cognitive behavioral therapy cannot meet existing demand.\nThe behavioral therapy demonstrates, however, why this line of research is worth pursuing. The genetic overlap between insomnia and mood disorders may point toward why cognitive behavioral therapy may be effective for both sleep and anxiety. Current drugs, for their part, have limited efficacy, can be addictive and have side effects. 'Identifying new variants that contribute to risk helps pinpoint new biological targets,' Lind says. This search, she adds, is 'a step toward the eventual goal of using genetic information to predict risk and treatment outcomes, although we're not at this point yet.'",,
,11," It can be inferred from the statements of Stephen Ripke "," The samples of the first study do not include diverse set of people.","The samples fewer than 900 would not possess all the traits of genes.","The sample size of the first study has to be similar to that of a research from any other country to make that a valid study.","The genetic pattern is culturally and spatially different. ",d," But we need to confirm this in more, separate cohorts from different countries and researchers. ",,,
,11,"According to the author, the concrete hypothesis related to the investigation of brain cells would be","Brain imaging is necessary to study about the brain cells in the hypothalamus region.","The cells in subcortical region of the brain have to be biologically intact for inducing a sound sleep.","Not all the regions of the brain have neurons that control sleeping pattern.","The cells meant for controlling the sleeping pattern of animals occupy different regions in human brain.",b," The cells in the sub cortical region have been found important for good sleep. In case, they are damaged, sleep will be disturbed. Therefore, the hypothesis can be based on this assumption",,,
,11," I can be inferred from the second study of genomes that"," the conclusion of previous studies in the same field did not propose anything completely invalid","the second study controlled more data than first study did.","the motion detector used to monitor sleepwalking generated accurate data for the second study.","the second study produced authentic results because it filled in the loopholes in the first study.",a,"This shows the findings are valid for different definitions of insomnia-related symptoms………….. The two studies found significant overlap between genes implicated ",,,
,11,"The findings of the twin studies suggest everything EXCEPT"," Same set of genes in the brain causes different types of disorders."," Metabolic traits are controlled by the neural mechanism of human brain."," The one who goes to bed early and wakes up early has weak neuropsychiatric connections in brain."," Sleep regulation is not a metabolic trait.",c," Because it is related to mood",,,
,11,"According to the passage, Mandelian randomization", is not at all a reliable method,is still not a reliable method.,is questionable., is not effective for any study.,c," It is debatable. It is not yet accepted as a standard testing method. ",,,
,11,"The reference of the circadian process in the passage is included", to clarify that not all types of insomnia are caused by genetic disorders.,to insist that leg restlessness may be caused due to childhood trauma.,to implicate the specific reason for sleeping disorder., to contradict with the genetic studies related to sleeping disorder.,a," It could be a consequence of childhood trauma in one patient, due to disrupted circadian processes in another or just resulting from restless leg syndrome in another.",,,
,11,"According to the passage, the word ' cognitive' most nearly means ", Thinking, Reasoning, Mind,Brain,d," Cognitive here refers to brain. Because the passage mainly discusses the brain study",,,
,11," I. 12x<super>2</super> – 40x + 32 = 0\nII. 8y<super>2</super> – 40y + 48 = 0 ", "If x > y","If x ≥ y","If x < y","If x ≤ y",d,"I. 12x<super>2</super> – 40x + 32 = 0\n12x<super>2</super> – 24x – 16x + 32 = 0\n12x(x – 2) – 16(x – 2) = 0\n(12x – 16) (x – 2) = 0\nX = 16/12, 2 = 1.33, 2\nII.8y<super>2</super> – 40y + 48 = 0\n8y<super>2</super> – 16y – 24y + 48 = 0\n8y(y – 2) – 24(y – 2) = 0\n(8y – 24) (y – 2) = 0\nY = 3, 2\nx ≤ y","In the following questions, two equations I and II are given. You have to solve both the equations and give Answer as",,
,11," I. 9x – 7y = 15 \nII. 3x – y = – 3","If x > y","If x ≥ y","If x < y","If x ≤ y",a,"9x – 7y = 15–> (1)\n3x – y = – 3—> (2)\nBy solving the equation (1) and (2), we get,\nX = -3, y = -6\nx> y ",,,
,11," I. 12x<super>2</super> + 40x + 32 = 0\nII. 8y<super>2</super> + 40y + 42 = 0","If x > y","If x ≥ y","If x < y", Can't be determine,d,"I. 12x<super>2</super> + 40x + 32 = 0\n12x<super>2</super> + 24x + 16x + 32 = 0\n12x(x + 2) + 16(x + 2) = 0\n(12x + 16) (x + 2) = 0\nX = -16/12, -2 = -1.33, -2\nII. 8y<super>2</super> + 40y + 42 = 0\n8y<super>2</super> + 12y + 28y + 42 = 0\n4y (2y + 3) + 14(2y + 3) = 0\n(4y + 14) (2y + 3) = 0\nY = -14/4, -3/2 = -3.5, -1.5\nCan't be determined",,,
,11,"I. 4x<super>2</super> – 7x – 57 = 0\nII. 5y<super>2</super> – 6y – 63 = 0 ","If x > y","If x ≥ y","If x < y", Can't be determine,d,"I. 4x<super>2</super> – 7x – 57 = 0\n4x<super>2</super> +12x – 19x – 57 = 0\n4x(x + 3) – 19(x + 3) = 0\n(4x – 19)(x + 3) = 0\nX = 19/4, -3 = 4.75, – 3\nII. 5y<super>2</super> – 6y – 63 = 0\n5y<super>2</super> + 15y – 21y – 63 = 0\n5y(y + 3) – 21(y + 3) = 0\n(5y – 21) (y + 3) = 0\nY = 21/5, -3 = 4.2, -3\nCan't be determined",,,
,11," Statement: This book is for those who are interested to know more about 'Indian History'.\nAssumptions : I. People who are interested to know about the author may read books.\nII. Every book may attract some readers","If only assumption I is implicit or If only assumption II is implicit","If either I or II is implicit","If neither I nor II is implicit, and","If both I and II are implicit.",a,"I is not implicit because it talks about a subject, not the author. II is implicit because when we say that a book is for a particular target segment, we assume that such a target segment exists ","Directions : In each question below is given a statement followed by two assumptions numbered I and II. An assumption is something supposed or taken for granted. You have to consider the statement and the following assumptions and decide which of the assumptions is implicit in the statement. Give answer:",,
,11," Statement: Traffic police be given anti-pollution masks while manning traffic signals.\nAssumptions: I. The traffic police will be able to carry out their work after wearing the mask.\nII. The masks are safe for wearing and there is no other adverse side-effect","If only assumption I is implicit or If only assumption II is implicit","If either I or II is implicit","If neither I nor II is implicit, and","If both I and II are implicit. ",d,"Providing anything for a solution automatically leads to the fact that the provider has assumed that neither it will disturb while working nor it has any adverse side effect, and that it will rather promote the work.",,,
,11," Statement: Authorised Indian Edition – illegal for sale or distribution outside India' – A publisher's note on the cover page of a book.\nAssumptions: I. Indian editions may be in demand in nearby Countries\nII. It may be possible to sell or distribute this book outside India","If only assumption I is implicit or If only assumption II is implicit","If either I or II is implicit","If neither I nor II is implicit, and","If both I and II are implicit.",d,"Definitely because of assumption I and II the publisher has warned in the cover page of the book",,,
,11," Statement: The higher echelons of any organization are expected to be models of observation all earning and should not be considered as merely sources of rewards and punishments.\nAssumptions: I. Employees are likely to be sensitive enough to learn by observing the behaviour of their bosses.\nII. Normally bosses are considered as sources of reward and punishment","If only assumption I is implicit or If only assumption II is implicit","If either I or II is implicit","If neither I nor II is implicit, and","If both I and II are implicit. ",d,"I is implicit; that is why the talk of observational learning. II is also implicit; note the use of the word merely",,,
,11,"The tone of the passage can be best described as",Grieving,Chauvinistic,Commendatory,Challenging,d,The author challenges the dominant views. ,"The trend of women's entry in top echelons of management hides the seemingly insurmountable barriers that have been overcome by the protagonists in a male dominated society. Time has come when the bias against women will become a thing of the past. Progressive organizations have been doing their level best to give talented women managers their rightful place hierarchy. Still a lot needs to be done to shed the bias against women in Management. Problems seen in organizations are age-old.\nSome of them are: Women in organizations cannot act like women nor can they act like men. If they act like men, they are considered to be unfeminine. If they act feminine, they are considered to be weak. A very narrow bandwidth of acceptable behavior exists. They have to be lady-like and refrain from doing the things men do to gather power and control. Assertiveness and aggression is valued in men but not in women.\nFurther reinforcements of the Glass Ceiling: Glass Ceilings are reinforced by emphasizing the differences between the sexes and by playing gender-roles. Some of the ways in which this is done are attribution, presumed male ability and transactional analysis.\nWomen rarely get credit for what they do: It's always either a fluke or an accident, or somebody else did it and she took the credit. If a man gets promoted, It's because of ability. If a woman gets promoted, she slept her way to the top. In a classic experiment men and women were asked to evaluate the intelligence, persuasiveness and style of a set of essays. The subjects were told that the essays were written either by John T. consistently lower ratings from both men and women than John's.\nJust Like a Man: the ultimate compliment Most men think that the ultimate compliment that can be paid to a woman (in terms of her professionalism) is to call her a man. As Golda Meir\n(first lady PM of Israel) writes 'A story…… once went the rounds of Israel to the effect that Ben-Gurion (a senior figure) described me as the 'only man' in his cabinet. What amused me about it was that obviously he…… thought that this was the greatest possible compliment that could be paid to a woman. I very much doubt that any man would have been flattered if I had said about him that he was the only woman in the government'.\nThis kind of attitude assumes that in a man, ability is in-born but a woman has to work hard to acquire it. By virtue of gender, a man will be expected to have no trouble with a given task, while a woman will most probably fail. The Set-Up-To Fail syndrome that plagues a number of organizations usually begins with such assumptions.",,
,11,"Which of the following, according to the passage, is true?","Feminine grace is appreciated in women in organizations.","The more aggressive the women, the more their chances of success are.","Women have a limited range of behavior to choose from, in organizational settings.","Women, even today, are not given their rightful place in organizational hierarchy.",c," It is mentioned in the passage as narrow bandwidth",,,
,11,"The author is most likely to agree with the statement","The ultimate compliment that can be given to a woman is to call her a man.","Ability is inborn in men but women need to work hard to acquire it.","People hardly attribute the success of a woman manager to her ability."," Essays written by woman are inherently inferior.",c,"The author blames the stereotypical attitude",,,
,11,"What does the term Glass ceiling as used in the passage, mean?",An invisible barrier preventing women from rising in the organizational hierarchy.,Reinforced glass ceilings used to undertake climate control.,Barriers that do not allow women to dress freely in organizational settings.,None of the above.,a," it refers to the invisible barriers.",,,
,11,"What could be a suitable title for the passage?",Women in Management – A New Revolution,Women in Management – Inherent Bias,Woman and Sexual Harassment,Woman and Social Attitudes ,b, It discusses the challenges faced by women in workplaces. ,,,
,11,"Statement: Should government established higher level Institutes of Technology (IITs) be privatised?\nArguments:\nI. Yes, privatisation will make these institutes financially healthy, competitive and quality conscious.\nII. Yes, privatisation is the key of the new era can we survive without it?", if only argument I is strong or if only argument II is strong.,if either I or II is strong.,if neither I nor II is strong and,if both I and II are strong.,a,"Argument I is advantageous.\nArgument II has lack of any theme","Directions : In making decisions about important questions, it is desirable to be able to distinguish between 'Strong' arguments and 'Weak' arguments in sofar as they relate to the question. 'Strong' arguments are those which are both important and directly related to the question. 'Weak' arguments are those which are of minor importance and also may not be directly related to the question or may be related to a trivial aspect of the question\nInstructions: Each question below is followed by two arguments numbered I and II. You have to decide which of the arguments a strong argument is and which is a weak argument. Give answer",,
,11,"Statement: Should vacations of court judges be reduced?\nArguments:\nI. Yes, it will speed up judicial process and many people are likely to get justice in reasonable time.\nII. Yes. it is a sign of British legacy, why should we carry it further?",if only argument I is strong or if only argument II is strong.,if either I or II is strong.,if neither I nor II is strong and,if both I and II are strong. ,a,"I is a strong argument. If we have more working days, it is natural that more work can be done. Good qualities or system of even our enemy can be adopted. Hence II is weak",,,
,11,"Statement: Should the practice of transfers of clerical cadre employees from one city to another government office be stopped?\nArguments:\nI. No, transfer of employees is a routine ad 1. Statement: Should government established higher level Institutes of Technology (IITs) be privatised?\nArguments:\nI. Yes, privatisation will make these institutes financially healthy, competitive and quality conscious.\nII. Yes, privatisation is the key of the new era can we survive without it?",if only argument I is strong or if only argument II is strong.,if either I or II is strong.,if neither I nor II is strong and,if both I and II are strong. ,a,"I is a strong argument. If we have more working days, it is natural that more work can be done. Good qualities or system of even our enemy can be adopted. Hence II is weak",,,
,11,"Statement: Should higher qualification be the only criteria for internal promotions in any organisation?\nArguments:\nI. Yes, why not? In fact only higher qualification is more important than other factors.\nII. No, quality of performance and other factors are more important than mere higher qualification in case of internal promotion.",if only argument I is strong or if only argument II is strong.,if either I or II is strong.,if neither I nor II is strong and,if both I and II are strong. ,a,"I is a strong argument. If we have more working days, it is natural that more work can be done. Good qualities or system of even our enemy can be adopted. Hence II is weak",,,
