question_number,test_id,question,OptionA,OptionB,OptionC,OptionD,Answer,Explanation,paragrph,image,explanationImage
,13,"A box contains 10 pairs of shoes (20 shoes in total). If two shoes are selected at random, what it is the probability that they are matching shoes?",1/190,1/20,1/19,1/10,c,"The probability would simply be: 1/1*1/19(as after taking one at random there are 19 shoes left and only one is the pair of the first one)=1/19",,,
,13,"A man is known to speak truth 3 out of 4 times. He throws a die and reports that it is a six. The probability that it is actually six is",1/8,2/8,3/8,1/2,c,"P=Favorable outcomes/Total # of possible outcomes.\nFavorable outcome is that it's actually six and he's telling the truth = 3/4 * 1/6 = 1/8 Total # of possible outcomes is: either it's six and he's telling the truth OR it's not six and he's telling the lie = 3/4 * 1/6 + 1/4 * 5/6 = 1/3\n P = (1/8) / (1/3) =3/8 ",,,
,13,"Kate and David each have $10. Together they flip a coin 5 times. Every time the coin lands on heads, Kate gives David $1. Every time the coin lands on tails, David gives Kate $1. After the coin is flipped 5 times, what is the probability that Kate has more than $10 but less than $15?",5/16,15/32,1/2,21/32,b,"After 5 tries Kate to have more than initial sum of 10$ and less than 15$ must win 3 or 4 times (if she wins 2 or less times she'll have less than 10$ and if she wins 5 times she'll have 15$).\nSo the question becomes 'what is the probability of getting 3 or 4 tails in 5 tries?'.\n P (t=3 or t=4) = P(t=3) + P(t=4) = C3/5 * (1/2)<super>5</super> + C4/5 * (1/5)<super>5</super> = 15/32",,,
,13,"4 dices are thrown at the same time. whats the probability of getting ONLY 2 dices showing the same face?",4/7,5/9,7/11,7/9,b,"I suppose "only 2 dice showing the same face" means EXACTLY two? If so then: \nTotal number of outcomes = 6^4 \nFavorable outcomes = 4C2=6, choosing two dice which will provide the same face, these two dice can take 6 values, other two 5 and 4. So, favorable outcomes=4C2*6*5*4.\n P = (4C2*6*5*4)/6<super>4</super> = 5/9",,,
,13,"If x is a randomly chosen integer between 1 and 20, inclusive, and y is a randomly chosen integer between 21 and 40, inclusive, what is the probability that xy is a multiple of 4?",1/4,1/3,3/8,1/2,d,"Let's find the probability of an opposite event and subtract this value from 1.\nThere are three cases xy NOT to be a multiple of 4:\nA. both x and y are odd --> 1/2*1/2=1/4;\nB. x is odd and y is even but not multiple of 4 --> 1/2*1/4=1/8;\nC. y is odd and x is even but not multiple of 4 --> 1/2*1/4=1/8. \n P( xy = multiple of 4)=1-(1/4 + 1/8 + 1/8) = 1/2",,,
,13,"A row of seats in a movie hall contains 10 seats. 3 Girls & 7 boys need to occupy those seats. What is the probability that no two girls will sit together?",3/8,4/7,7/15,7/12,c,"Consider the following:\n*B*B*B*B*B*B*B*\nNow, if girls will occupy the places of 8 stars no girl will sit together.\nNumber of ways 3 girls can occupy the places of these 8 stars is  C3/8;\nNumber of ways 3 girls can be arranged on these places is  ;3!\nNumber of ways 7 boys can be arranged is  7!\nSo total Number of ways to arrange 3 Girls and 7 boys so that no girls are together is  C3/8 * 3! * 7! \nTotal # of ways to arrange 10 children is  10!\n so p = (c3/8 * 3! * 7!)/10! = 7/15",,,
,13,"A fair coin is tossed 5 times. What is the probability of getting at least three heads on consecutive tosses?",2/16,1/4,7/24,5/16,b,"At least 3 heads means 3, 4, or 5 heads.\n3 consecutive heads\n5 cases:\nHHHTT\nTHHHT\nTTHHH\nHTHHH\nHHHTH\n P = 5*(1/2)<super5</super> = 5/32 \n 4 consecutive heads\n2 cases:\nHHHHT\nTHHHH\nP = 2(1/2)<super5</super> = 2/32\n5 consecutive heads\n1 case:\nHHHHH\nP = (1/2)<super5</super> = 1/32 \n P = 5/32 + 2/32 + 1/32 = 8/32 = 1/4",,,
,13,"The main idea of the passage is","to insist on the deployment of disaster communication network even to the remote area of the country.","to recommend new measures in protecting the people from disasters.","to assert the necessity of people’s participation from all corners of the country for effective disaster management.","to discuss the importance of risk assessment in different parts of the country.",c,"Refer to first and last lines if the passage","NDMA has initiated the steps for launching national level mitigation projects for the management of earthquakes, cyclones, floods, landslides and for strengthening the disaster communication network upto the last mile connectivity and for setting up national disaster mitigation reserves. The work on risk assessment and vulnerability analysis, microzonation and hazard zonation mapping, etc. have also been initiated with the involvement of various stakeholder groups. A National School Safety Project is also being launched to strengthen the disaster preparedness, mitigation and emergency response capacities among school children, teachers and other stakeholders, especially in high risk seismic zones IV and V which are vulnerable to high intensity earthquakes. Disaster risk reduction can be achieved only if all citizens participate in complying with the techno-legal regime, actively support the capacity building and public awareness campaigns and disseminate the need for carrying out mock drills in their neighbourhoods. The vision of a disaster-resilient India can be achieved only by spreading the culture of preparedness among all sections of the society.",,
,13,"The author is most likely to agree that","the ownership of land must be unconditionally assured to the forest communities.","the forest communities are credible enough to gain the ownership of land for sustainable use.","The insecurity of tenure might provoke the communities living in forests to exploit the resources.","The Environment Ministry has cleared all the anomalies in the disputes of land ownership.",b,"The preamble which is the basis of ……………… balance and thereby strengthening the conservation regime.","The preamble which is the basis of any legislation, is categorical in its intent- to recognize and vest forest rights for those who have been residing in forests for generations but whose rights could not be recorded and such recognized rights include the responsibility and authority for sustainable use, conservation of biodiversity and maintenance of ecological balance and thereby strengthening the conservation regime. These are well established principles globally, where security of tenure is the cardinal principle to ensure effective conservation strategy. The indigenous peoples’ rights law in Philippines, aboriginal titles of native Australians, participatory forest management since the mid seventies including the Forest Policy clearly recognizes the central role of communities in forest management. The Environment Ministry recognizes the insecurity of tenure, disputes in land titles and forest lands and has even issued directions to correct these anomalies in the past.",,
,13,"According to the passage, the multinational laws","approve of the role of aboriginals in conserving the forests.","allow land ownership to the unsecured communities in the forests","act as precedence to those of many other countries.","save the indigenous people from being deprived of opportunities in the mainland.",a,"The indigenous peoples’ rights law in Philippines, aboriginal titles of native Australians, participatory forest management",,,
,13,"Which of the following is the most logical inference from the passage?","Consumers and producers mostly get mutual benefits from each other.","The quality of goods has to be improved to satisfy the customers."," Fraudsters must be banned from entering consumer markets."," Long term players mainly focus on providing best services to consumers.",a,"Refer to the first line and last lines of the passage and connect them with the main idea of the passage. ","Very often, it is argued that the interests of consumers and producers are antithetical. Thus, if a consumer gains by some development, the producers are believed to have lost and vice versa. Thus, the relationship between a consumer and a producer is regarded as a zero sum game. This is simply not correct. As argued so eloquently by Porter both would benefit by improving the quality of goods and services. Certainly, there could be cases where a consumer is simply cheated by a producer or trader – but this is not a sustainable model of growth and development. Only a handful of fly-by-night operators would use such tactics. Serious long term players would need to invest heavily in keeping their flock of consumers happy and satisfied.",,
,13,"Following are the assumptions from the passage EXCEPT","Proper regulation of advertisements prompts socially responsible ads.","The violation of legal norms is done to get more viewers for ads.","Ads will not be lively if they copy an unknown world.","Ads are powerful means for the producers to increase their sales.",d,"The statement is not discussed in the passage. ","Can we escape ourselves from advertisements? Consumers are bombarded with more than 1500 commercial messages a day. For most companies, the question is not whether to communicate but rather what to say, how to say it, to whom and how often. To reach target markets and to build brand equity in this cluttered market advertisers sometimes overstep social and legal norms. Advertisements have become a part and parcel of our lives and even if we try but we cannot avoid them. Advertising reflects contemporary society. The making of an ad copy, its message, its illustrations, the product advertised, the appeal used all these have a social flavour. Advertising affects society and gets affected by it. It is therefore, necessary to use this weapon with caution to avoid a corrosive effect on social values.",,
,13,"The author uses the phrase ‘ social flavour’ in the passage because","he wants to provide enough information about why social affairs are the parts of ads.","he wants to emphasize that ads are supposed to follow social norms.","he wants to inform the readers that ads are determined by the sentiments of people.","he wants to caution the people of the corrosive effects of ads.",c,"The phrase is related to the social implications of ads.",,,
,13,"It can be inferred from the passage","Lack of transparency in public governance erodes the people’s faith in public power.","Public power must be used fairly and responsibly.","Exercising public power is subject to the interest of rulers, who decide the nature of exercising that.","People have to be aware of the circumstance at which public power is discharged so that they can ensure a fair governance.",a,"Accountability is one of the dominant requirements ……….It is an obligation of the persons in power to explain publically…….There is yet another dominant reason for enhancing ","Accountability is one of the dominant requirements of the good governance movement in modern times. It means holding individuals and organizations responsible for performance measured as objectively as possible. It is an obligation of the persons in power to explain publically, how they are fulfilling the responsibilities vested in them, which affect the public in their day-to-day life. The actions of these wielders of power are required to be citizen friendly, just, fair, responsive, effective, ethical, reasonable and for progress of the society. The concept of public accountability applies equally to all levels of government, its systems and sub -systems. To make these bodies publically responsible and accountable is an important aspect of public governance in modern times. The need of accountability stems from the ideal that the institutions of public governance are the repositories of public power and public power in turn is the trust or faith of the people. Therefore, public purpose requires, public interest needs and public good demands that exercise of public power must be subjected to the benefit of the society as a whole. There is yet another dominant reason for enhancing accountability in public domain that power without liability of accountability is tyranny. It may also be added that public power is always linked with responsibility. Power without responsibility is against the norms of democracy, the rule of law ideals and the norms of civilized society.",,
,13,"Who can be author of the passage?",Sociologist,Political Columnist,Philanthropist,Politician,a,,,,
,13,"By 2010, more than 90 per cent of product of X YZ will be used for domestic market","if the inference is ‘definitely true’, i.e. it properly follows from the statement of facts given.","if the inference is ‘probably true’ though not ‘definitely true’ in the light of the facts given.","if the ‘data are inadequate’, i.e. from the facts given you cannot say whether the inference is likely to be true or false.","if the inference is ‘probably false’ though not ‘definitely false’ in the light of the facts given.",a,"From the first two sentences it is clear that target sale for domestic market is (10,000- 100 =) Rs 9900 crore, which is clearly more than 90 per cent of Rs 10,000 cr.","Directions: Below are given passages followed by several possible inferences which can be drawn from the facts stated in the passage. You have to examine each inference separately in the context of the passage and decide upon its degree of truth or falsity. Mark answer\nA) if the inference is ‘definitely true’, i.e. it properly follows from the statement of facts given.\nB) if the inference is ‘probably true’ though not ‘definitely true’ in the light of the facts given.\nC) if the ‘data are inadequate’, i.e. from the facts given you cannot say whether the inference is likely to be true or false.\nD) if the inference is ‘probably false’ though not ‘definitely false’ in the light of the facts given.\nPASSAGE: The XYZ Co-operative Milk Marketing Federation of India Limited has targeted a sales turnover of Rs. 10,000 crore by the year 2010. As a part of its projections for the next five years, the federation had envisaged Rs. 100 crore worth of exports per year as against its present exports of Rs. 30 crore per year. As per the federation’s plan, the future network will include 100 offices dealing with about 7500 stockists, who in turn would be covering every taluk headquarters and servicing about 10 lakh odd outlets. Its immediate strategy would be to cater to India’s next-door neighbours for exports of milk products. The main players in this business in the world are India, United States, Europe, New Zealand and Australia, out of which Europe and United States are forced to go for subsidising due to rising labour cost while Australia and New Zealand are far away from India.",,
,13,"The federation’s emphasis appears to be more on exports than on domestic consumption of its products.","if the inference is ‘definitely true’, i.e. it properly follows from the statement of facts given.","if the inference is ‘probably true’ though not ‘definitely true’ in the light of the facts given.","if the ‘data are inadequate’, i.e. from the facts given you cannot say whether the inference is likely to be true or false.","if the inference is ‘probably false’ though not ‘definitely false’ in the light of the facts given.",d,"From the data given in the passage it is clear that domestic consumption is very large than foreign consumption. But as the present data of domestic consumption is not known, hence probably false.",,,
,13,"By 2010, India will be the largest player in the milk industry.","if the inference is ‘definitely true’, i.e. it properly follows from the statement of facts given.","if the inference is ‘probably true’ though not ‘definitely true’ in the light of the facts given.","if the ‘data are inadequate’, i.e. from the facts given you cannot say whether the inference is likely to be true or false.","if the inference is ‘probably false’ though not ‘definitely false’ in the light of the facts given.",b,"From the last para it is clear that India has competition only with US and Europe. But as they have labour problem, we may infer that by 2010, India will be largest player in this industry. But as there is no data available about their production, it is only probably true.",,,
,13,"India does not have an immediate competitor in exporting milk and its product to neighbouring countries.","if the inference is ‘definitely true’, i.e. it properly follows from the statement of facts given.","if the inference is ‘probably true’ though not ‘definitely true’ in the light of the facts given.","if the ‘data are inadequate’, i.e. from the facts given you cannot say whether the inference is likely to be true or false.","if the inference is ‘probably false’ though not ‘definitely false’ in the light of the facts given.",d,"A large player does not necessarily mean large exporter, however",,,
,13,"The XYZ Federation may have to train additional manpower to enable it to reach all corners of India and its neighbouring countries.","if the inference is ‘definitely true’, i.e. it properly follows from the statement of facts given.","if the inference is ‘probably true’ though not ‘definitely true’ in the light of the facts given.","if the ‘data are inadequate’, i.e. from the facts given you cannot say whether the inference is likely to be true or false.","if the inference is ‘probably false’ though not ‘definitely false’ in the light of the facts given.",a,"A large player does not necessarily mean large exporter, however",,,
,13,"Many Indians who are below the poverty line get necessary amount of proteins.","if the inference is ‘definitely true’, i.e. it properly follows from the statement of facts given.","if the inference is ‘probably true’ though not ‘definitely true’ in the light of the facts given.","if the ‘data are inadequate’, i.e. from the facts given you cannot say whether the inference is likely to be true or false.","if the inference is ‘probably false’ though not ‘definitely false’ in the light of the facts given.",d,"It appears to be true because the tone of the passage suggests that calories are the minimum requirement and protein intake additional. So, it is difficult to accept that those who don’t get the minimum requirement of calories, i.e. people below the poverty line, would get the necessary amount of proteins.","PASSAGE: There is some controversy about the percentage of population below the poverty line in India. The criteria for the poverty line are based on a person’s nutritional requirements in terms of calories. It is assumed that the minimum nutritional requirement per person per day in rural areas is 2400 calories, whereas it is 2200 calories in urban areas. If the household is unable to bear the expenditure for this level of nutrition, it is categorized below the poverty line. There is also a view that along with calories the amount of protein intake be treated as a criterion as it is related to the physical energy, mental alertness and resistance to infections.",,
,13,"People well above the poverty line are less likely to suffer from infections","if the inference is ‘definitely true’, i.e. it properly follows from the statement of facts given.","if the inference is ‘probably true’ though not ‘definitely true’ in the light of the facts given.","if the ‘data are inadequate’, i.e. from the facts given you cannot say whether the inference is likely to be true or false.","if the inference is ‘probably false’ though not ‘definitely false’ in the light of the facts given.",a,"People well above the poverty line must be those beyond the controversy of the definition. That is, they get sufficient calories as well as proteins. And proteins are related to resistance to infections ",,,
,13,"India’s poverty alleviation programmes can only succeed after reaching agreement about the poverty line","if the inference is ‘definitely true’, i.e. it properly follows from the statement of facts given.","if the inference is ‘probably true’ though not ‘definitely true’ in the light of the facts given.","if the ‘data are inadequate’, i.e. from the facts given you cannot say whether the inference is likely to be true or false.","if the inference is ‘probably false’ though not ‘definitely false’ in the light of the facts given.",c,"Poverty alleviation programmes are nowhere in the picture ",,,
,13,"People in urban area do less physical work compared to people in rural area","if the inference is ‘definitely true’, i.e. it properly follows from the statement of facts given.","if the inference is ‘probably true’ though not ‘definitely true’ in the light of the facts given.","if the ‘data are inadequate’, i.e. from the facts given you cannot say whether the inference is likely to be true or false.","if the inference is ‘probably false’ though not ‘definitely false’ in the light of the facts given.",b,"Probably true because of the difference in their nutritional requirements.",,,
,13,"In other countries, there is no controversy about defining the poverty line","if the inference is ‘definitely true’, i.e. it properly follows from the statement of facts given.","if the inference is ‘probably true’ though not ‘definitely true’ in the light of the facts given.","if the ‘data are inadequate’, i.e. from the facts given you cannot say whether the inference is likely to be true or false.","if the inference is ‘probably false’ though not ‘definitely false’ in the light of the facts given.",c,"The passage talks only about India",,,
,13,"cmw, hrb, ——, rbl, wgq, blv",mwg, lvf, lwg, mx,a,"All the letters of each term are moved five steps forward to obtain the corresponding letters of the next term","Directions: In each of the following questions, various terms of a letter series are given with one term missing. Choose the missing term out of the given alternatives.",,,
,13,"DKY FJW HIU JHS ——",KGR, LFQ, KFR, LGQ,d,"The first letters of all the terms are alternate. The second letter of each term is moved one step backward to obtain the second letter of the successive term. The third letter of each term is moved two steps backward to obtain the third letter of the subsequent term",,,
,13,"BXJ ETL HPN KLP ——",NHR, MHQ, MIP, NIR,a,"The first, second and third letters of each term are moved three steps forward, four steps backward and two steps forward respectively to obtain the corresponding letters of the successive term.",,,
,13,"QPO, SRQ, UTS, WVU, ——",XVZ , ZYA , YXW , VWX,c,"Each term in the series consists of three consecutive letters in reverse order. The first letter of each term and the last letter of the term are the same.",,,
,13,"P3C, R5F, T8I, V12L, ——",Y17O , X17M , X17O , X16O,c,"The first letters of the terms are alternate. The sequence followed by the numbers is +2, +3, +4, -------The last letter of each term is three steps ahead of the last letter of the preceding term.",,,
