question_id,test_id,question,optionA,optionB,optionC,optionD,answer,explanation,paragraph,image,explanationImage
,5,"A student scored an average of 80 marks in 3 subjects: Physics, Chemistry and Mathematics. If his average marks in Physics and Mathematics in 90 and that in Physics and Chemistry is 70, what is the marks in Physics?",60,64,72,80,d,"Given M + P + C = 80 x 3 =240 	(1)\nM + P = 90 x 2 = 180 		(2)\nP + C = 70 x2 = 140			(3)\nWhere M, P and C are marks obtained by the student in Mathematics, Physics and Chemistry\nP =(2) + (3) – (1)=180 + 140 – 240=80  ",,,
,5,"The average of five consecutive even numbers is 2n. If the next five even numbers are included then the average of ten numbers will increase by",3,5,7,9,b,"Given that the average of five consecutive even numbers is 2n\nThe even numbers are 2n-4, 2n-2, 2n, 2n +2, 2n+4.\nAverage when next five numbers are included\n=((5(2n)+2n+6+2n+8+2n+10+2n+12+2n+14))/10\n=(10n+10n+50)/10 =(120n+50)/10 = 2n+5\ni.e., the average increased by 5.",,,
,5,"In a shooting tournament, 70 archers initially participated. Their average number of points is 36. If 20 archers who joined initially and whose average number of points is 40 are excluded and 30 other archers who joined later and whose average number of points is 30 are included, find the average points of the new group.",22.5,25,28,32.75,d,"Total score of 70 archers = 70 x 36 = 2520\nTotal score of 20 archers excluded = 20 x 40 = 800\nTotal score of 30 archers included = 30 x 30=900\nPresent average points of the archers\n=(2520-800+900)/80 = 2620/80 = 32.75 ",,,
,5,"Which of the following can be inferred from the passage? ","Sultans used bees as a symbol of glory because they are symbols of success."," Rock paintings have evidence about the bees, cultured for honey in early days.","Honey collection in India became a production oriented activity in the late 19th century. ","The Government is regularly promoting bee culture in the country. ",c,"In 1894, India Government first circulate details of information regarding the bee culture as promotional measure.","In Indian subcontinent, uses of bees and honey are common from the pre-historic ages. In our country, Veda, Ramayana, Koran has mentioned different uses of honey. Former Kings and Sultans used the symbol of bee as a mark of glory.\nSome of the ear¬liest evidence of gathering honey from wild colonies is from rock paintings, dating to around 13,000 BC from different countries. Since early days honeybees are not cultured for honey, instead honey is collected from wild natural hives.\nIt is recorded that in 1882, artificial culture of honeybees were introduced in undivided Bengal   . In 1883-84 the process was initiated in Punjab. In 1894, India Government first circulate details of information regarding the bee culture as promotional measure. Bee-keepers Association was established in 1907 in Punjab with its Head Office at Simla.",,
,5,"It can be assumed from the passage ","artificial bee culture was not new to India.","bee culture is not very common in southern India. ","Bee-keepers association was regulated by Government on certain provisions.","Punjab is a leading state in bee-culture",a,"following European methodologies. ",,,
,5,"Which of the following is the most logical corollary from the passage? ","Language is the discreet units of signals which are not supposedly divided during communication. ","Einstein did not view the science of communication similar to that of quantum physics. ","Speaker has to be precise and comprehensive during communication and be responsible for making the listeners understand the message with clarity. ","Listeners have no role in interpreting the message communicated by the speakers. ",a,"linguists themselves have also pointed to the inadequacies of this traditional viewpoint, for it is clear that the listener is as active as the speaker in elaborating the content of the message. ","The physicist will recognize this view of language as having something in common with Information Theory, in which 'bits' of information are transported via a channel from transmitter to receiver. A related notion has also entered physics in the concept of a 'signal', which occupies a key position in the Special Theory of Relativity. Bohm, however, has pointed out that Einstein's conception of a signal does not cohere with the corresponding 'quantum' context of physics, for it implies 'a certain kind of analysis which is not compatible with the sort of undivided wholeness that is implied by the quantum theory'.\nWe call this 'transport view of language' into question. The writings of Bohr and Bohm have made it clear that, in the evolution of scientific thought, language is playing a more active role than is implied by a passive vehicle which merely conveys information. In the context of communication theory, linguists themselves have also pointed to the inadequacies of this traditional viewpoint, for it is clear that the listener is as active as the speaker in elaborating the content of the message. Indeed Fauconnier5 has gone as far as to say that it is never possible to communicate anything that the listener doesn't in fact already know!",,
,5,"Why does the author question the ‘transport view of language’? ","It is not reasonable to assume that message is precisely communicated when there is exchange of words. ","This type of view does not sound similar to those of Bohr and Bohm.","Transport view of language has been made obsolete by new theories of language. ","In the transport view of language, thoughts are subjective. ",a,"………….in which "bits" of information are transported via a channel from transmitter to receiver. (not bits of information but incessantly compatible content delivered by the speaker and understood by the listener). ",,,
,5,"The purpose of the passage is to","describe the different sleeping patterns of night owls.","give scientific evidence to prove that sleeping on time is essential. ","discuss the consequences of irregular sleeping and waking practices of some.","analyse the reasons as to why many people sleep later than the normal hours. ",c,"Refer to the first line and last line of the passage","'Night owls'—people who go to bed and get up later—have fundamental differences in their brain function compared to 'morning larks', which may put constraints on their normal working day, a study has found.\nResearchers at the University of Birmingham in the UK and colleagues found that individuals whose internal body clock dictates that they go to bed and wake up very late have lower resting brain connectivity in many of the brain regions that are linked to the maintenance of consciousness.\nThis lower brain connectivity was associated with poorer attention, slower reactions and increased sleepiness throughout the hours of a typical working day, according to the study published in the journal SLEEP.\nIt is already known that there are huge negative health consequences for night shift workers due to the constant disruption to sleep and body clocks, said researchers, including those from the University of Surrey in the UK and the University of Campinas in Brazil.\nHowever, disruption can also be caused by being forced to fit into a societal 9-5 working day if those timings do not align with your natural biological rhythms, they said.\nSince around 40-50 per cent of the population identify as having a preference for later bed times and for getting up after 8.20 am, the researchers say much more needs to be done to explore negative implications for this group.",,
,5,"It can be inferred from that passage that ","people on night shifts are reported to have attention deficit when concentrating on their work. ","biological rhythm of our body does not support any irregular and incessantly long  time span of work. ","health complications arise shifts among the UK workers  only because of night shifts. ","brain connectivity is better among the workers on regular shifts than those on night shifts.  ",c,"However, disruption can also be caused by",,,
,5,"The present average age of a committee of eight members is the same today as it was four years ago since an old member has been replaced by a young member. How much older is the old member than the young member?","28 years","4 years","16 years","32 years",d,"Let the present ages of the old member and the young member be x years and y years respectively.\nLet the total present age of the 7 members other than the young member be T.\nGiven: (T-4(7)+x-4)/8=(T+Y)/8\nx-32=y\n	x-y=32 i.e., the old member is older than the young member by 32 years ",,,
,5,"Two solutions A and B having 30% milk and 80% milk are mixed to form a mixture which contains 50% milk. Find the ratio of the quantities of A and B mixed.", "4:1","3:5","5:2","3:2",d,"Let the ratio of quantities of A and B be x : Y.\nBy allegation rule, x/y = (80-50)/(50-30) = 3/2  ",,,
,5,"A can contains 200 litres of pure milk. 20 litres of milk was replaced with water. Again 20 litres of solution is replaced with water. How many times should this procedure be repeated for the can to contain 145.8 litres of pure milk?",2,3,4,5,b,"With reference to the above solution if the number of times the procedure is repeated is n, final quantity of milk in the vessel = ((200-20)/200)n (200) \n=0.9n (200)=145.8 \n0.9n=148.8/200 = (0.9)3 \nEquating powers of 0.9 both sides, n=3. ",,,
,5,"Two vessels P and Q contain 50% and 75% of alcohol respectively. If 2 litres from vessel P is mixed with 4 litres from vessel Q, the ratio of alcohol and water in the resulting mixture is ","3:2","3:1","5:3","2:1",d,"Quantity of alcohol in vessel P = 50/100(2)=1 litre\nQuantity of alcohol in vessel Q=75/100(4)=3 litres \nQuantity of alcohol in the mixture formed (1+3) litres = 4 litres\nAs 6 litres of the mixture is formed ratio of alcohol and water in the mixture formed = 4 : (6-4)=2 : 1 ",,,
,5,"A shopkeeper mixed Assam tea that costs Rs.270 per kg with Darjeeling tea that costs Rs.360 per kg in a certain ratio. He sold the mixture formed at Rs.37 per kg at 162/3% profit. Find the ratio in which he mixed Assam tea and Darjeeling tea.","3:2","2:3","3:4","4:3",b,"Let the quantities of Assam tea and Darjeeling tea used for mixing be a kg and d kg respectively.\nS. P (Mixture) = 37kg and Profit % = 162/3%\nLet C.P (Mixture)=C/kg.\nProfit=C/6/kg\nS. P=C + C/6 = 7C/6/kg.\n-7C/6=378\nC=324\n(270a+360d)/(a+d)=C=324\n270a+360d=324(a+d)\n-36/54=a/di.e. a/d= 2/3 ",,,
,5,"A total of 300 chocolates were distributed in a group of 120 consisting of boys and girls such that each boy received 2 chocolates and each girl received 3 chocolates. Find the respective number of boys and girls.","70,50","60, 60","50,70","None of these",b,"Let the number of boys be x.\nNumber of girls is 120-x\nTotal number of chocolates received by boys and girls = 2x\n+3(120 – x)\n=360 – x = 300\nx=60. So, the number of boys.",,,
,5,"In what ratio should water and 80% wine solution be mixed so that a 60% wine solution is formed?","7:6","2:3","5:4","1:3",d,"Let x litres of water be mixed with 1 litre of wine solution.\nQuantity of wine in 1 litre of wine solution\n=80/100(1)=0.8 litres\nQuantity of wine in (1+1) litres of mixture\n=60/100(1+x) litres\nAs quantity of wine before and after mixing remains the\nSame, 0.8=60/100(1+x)=0.6 +0.6x\n1/3=x\nRequired ratio = x:1 = 1 :3",,,
,5,"There are two sections A and B of a class, consisting of 36 and 44 students respectively. If the average weight of section A is 40kg and that of section B is 35kg, find the average weight of the whole class.",30kg,35kg,42.5kg,37.25kg,d,"Total weight of (36+44)\n Students=(36x40+44x35)kg=2980kg\nTherefore average weight of the whole class= (2980/80) kg\nTherefore average weight=37.25kg.",,,
,5,"A Batsman makes a score of 87 runs in the 17th inning and thus increases his average by 3. Find his average after 17th inning",40,39,52,55,b,"let the average after 17th inning =x\nThen average after 16th inning=(x-3)\nTherefore 16(x-3)+87=17x\nTherefore x=39",,,
,5,"The most logical conclusion from the passage is ","The transition of physiochemical energy is not controlled by spinal cord. ","consciousness is a state of mind which helps humans describe about mysterious objects."," Defining living things and non-living is a physiological process. ","New thinking is the result of electrochemical circuit controlled by neurons in the brain. ",c,"Mind does all human mental functions which are physiological processes","Scientifically, human consciousness, knowing, perception, reasoning, intellectual abilities, understanding, experience etc., are mental processes of the vertebrate human-being, belonging to Homo sapiens species. Thus human mental processes are biological, involving physicochemical energy transitions and transformations relating to brain, spinal cord and the nervous system (Guyton and Hall, 2004), Blakemore, 1977). Mind, which is an expression and part of consciousness, is an aspect of human body. Mind does all human mental functions which are physiological processes. Thus psychology is physiology. Consciousness and mind are aspects of body.\nAs visualized by some, consciousness is the collection of millions of neurons and their electrochemical states, even if we have no real knowledge of chemical nature of thoughts and ideas. According to them, we neither have understood completely how living organisms originated and evolved. They feel that we may not be able to define precisely what life is nor whence it came from. All that we can do according to them is to describe the observable phenomena that distinguish living from non-living matter.",,
,5,"The author is most likely to agree","that the numerous neurons in the brain help human beings regain the knowledge of past if required.","that mental processes are not interrupted by any other bodily factors except for that of brain. ","that psychology  is inseparable from physiology. ","that thoughts are limited by the knowledge of the world that one has gained.",d,"Refer to the last line of the passage",,,
,5,"The passage conveys the following message EXCEPT ","Anti- oxidants  save cells from being damaged by free radicals.","Endogenous anti-oxidants work in the same way as exogenous anti-oxidants do. ","The level of enzymatic reaction in the body is dependant on how high the oxidative stress is.","Anti-oxidants are absorbable enzymes associated with the protecting mechanism of human body. ",b,This statement is beyond the passage and not discussed at all. ,"An Anti-oxidant is a molecule capable of inhibiting the oxidation of other molecules. Oxidation is a chemical reaction that transfers electron from a sunstance to an oxidizing agent. Oxidation reactions can produce free radicals. In turn, these radicals can start chain reactions. When the chain reaction occurs in a cell, it can cause damage or death to the cell, Anti-oxidants terminate these chain reactions by removing free radical intermediates and inhibit other oxidation reactions. They do this by oxidized themselves. So anti-oxidants are often reducing agents such as thios, ascorbic acid or polyphenols. \nThe body produces different anti-oxidants to neutralize free radicals & protect the body from different diseases. Exogenous anti-oxidants are externally supplied to the body through food and they also play important role to protect the body. Endogeneous anti-oxidant defence system developed by the body can be classified into two groups- enzymatic & non-enzymatic. The enzymatic defence system includes different  endogeneous enzymes like Superoxide dismutase (SOD), Glutathione reductase (GR). MDA is oxidative stress marker in the body which increases on increase in oxidative stress. Non-enzymatic defence system includes Vit.E, Vit.C  and reduced Glutathione (GSH).",,
,5,"If the 4th term of an arithmetic progression is 14 and 12th term is 70, then the first term is","-10","-7","+7","+10",a,"a<sub>4</sub> = a + (4 – 1) × d\n14 = a + 3d Þ a = 14 – 3d ...(i)\nAlso, 70 = a + 11d ...(ii)\nAfter putting the value of a from equation (i) in equation (ii)14 – 3d + 11d = 70\n8d = 70 – 14\nd = 8\n a = 14 – 24 = – 10",,,
,5,"The number of two digit numbers which are divisible by 3 is",33,31,30,29,c,"Two digit numbers which are divisible by 3 are 12, 15, 18,...,99;\nSo, 99 = 12+ (n – 1) × 3.\nn = 30",,,
,5,"The number of common terms to the two sequences 17, 21, 25, ....., 417 and 16, 21, 26, ........, 466 is",19,20,21,91,b,"Common terms will be 21, 41, 61, ........\n21 + (n – 1) 20 =< 417 -> n=<20.8 -> n = 20",,,
,5,"The sum of 40 terms of an AP whose first term is 4 and common difference is 4, will be :",3280,1600,200,2800,a,"S<sub>40</sub>=n/2 [2a+(n-1)d]=20(2×4+39×4)=3280",,,
,5,"In a GP, the first term is 5 and the common ratio is 2. The eighth term is :","640","1280","256","160",a,"nth term of a GP = ar<super>n–1</super>\n8th term = 5 × (2)<super>8 – 1</super> = 5 × (2)<super>7</super> = 5 × 128 = 640",,,
,5,"A sequence is generated by the rule that the nth term is n2 + 1 for each positive integer n. In this sequence, for any value n > 1, the value of (n + 1)<super>th</super> term less the value of nth term is","2n<super>2</super> + 1","n<super>2</super> + 1","2n + 1","n + 2",c,"(n +1)<super>th</super> term – nth term = (n +1)<super>2</super> +1- (n<super>2</super> +1)\n= n<super>2</super> + 2n +1+1- n<super>2</super> -1 = 2n +1",,,
,5,"In a geometric progression the sum of the first and the last term is 66 and the product of the second and the last but one term is 128. Determine the first term of the series","64","64 or 2","2 or 32","32",b,"Let a be the first term and r be the common ratio of the GP.\nAlso assume that nth term is the last term of the GP.\nThen, a + ar<super>n-1</super> = 66 ........... (i)\nand ar.ar<super>n-2</super> = 128 or \na <super>2</super>r<super>n-1</super> = 128 ........... (ii)\nFrom (i) and (ii), a+128/a=66 or \nor a<super>2</super> – 66a + 128 = 0\na = 64, 2.",,,
,5,"Statement: \n		All Actors are Musicians. \n		No Musician is a Singer. \n		Some Singers are Dancers. \n		Some Dancers are Musicians.\nConclusions :\n	I : Some Actors are Singers	II : Some Dancers are Actors\n	III : No Actor is a Singer","Only conclusion I follows.","Only conclusion III follows.","Exactly one of conclusion I & III follows.","Only conclusion II follows.",b,"From the given information, only conclusion III follows. I cannot follow as No Actor is a Singer (from Statement I and II).","Directions : Take the given statement(s) 	as true and decide which of the conclusion 	logically follows from the statements",,"explanationCsat339.PNG"
,5,"Statement : \n		All Clocks are Alarms.\n		No Clocks are Cuckoos. \n		All Cuckoos are Alarms. \n		Some Cuckoos are Birds.\n	Conclusion :\n	I : Some Alarms are Birds.\n	II : No Clock is a Bird \n	III : All Birds are Alarms","Only conclusion I follows.","Only conclusion II follows.","Only conclusion III follows.","Both conclusions II and Ill follow",a,,,,"explanationCsat340.PNG"
,5,"Statements: \n		Some Cats are Rats.\n 		All bats are tables.\n		All Rats are Bats.\n	Conclusion:\n	I. Some Cats are batsII. All bats are rats\n	III. All tables are catsIV. All bats are cats","Only I & II follow","Only II follows","Only I & IV follow","None of these",d,"Clearly, from the diagram Conclusion I is true",,"explanationCsat341.PNG"
,5,"Statements: \n	Some ships are boats.\n 	All boats are submarines.\n 	Some submarines are yatches.\n	Conclusion:\n	I. Some yatches are boats.\n	II. Some submarines are boats.\n	III. Some submarines are ships.\n   IV. Some yatches are ships",All follow,Only II and III follow,Only III follows	,Only IV follows,b,,,,"explanationCsat342.PNG"
,5,"Statements: \n	All Carrots are birds.\n 	Some telephones are Carrots.\n 	All bedsheets are telephone.\n	Conclusion:\n	I. All bedsheet are birds\n	II. Some bedsheet are birds\n	III. Some birds are telephone\n	IV. All telephone are birds",Only I follows	,Only II follows,Only I and III follow,Only III follows,d,"The diagram gives all the possibilities. But only conclusion III is true",,,"explanationCsat343.PNG"
,5,"Soni, who is Dubey’s daughter, says to Preeti, “Your mohter Shyama is the youngest sister of my father, Dubey’s Father’ third child is Prabhat”/ How is Prabhat related to Preeti ?",Uncle,Father,grandmother,FatherInLaw,a,"Preeti’s mother shyama is youngest sister 	of Dubey & sister of Prabhat. Therefore Prabhat 	Preeti’s uncle",,,
,5,"Pointing towards a man in the photograph, Archana said, “He is the son of the only son of my grandmother”/ How is man related to Archana ?",Cousin,Nephew,Brother,Son,c,"Only son of Archana’s grandfather means Archana’s  father & his son is Archana’s brother",,,
,5,"P ÷ R + S + Q, which of the following is true ?","P is daughter of Q","Q is aunt of P ","P is aunt of Q ","	P is mother of Q",c,"‘S + Q’ & R + S’ means R is 	the grandfather of Q. Now P ÷ R means P is 	daughter of R. This clearly 	means P is 	aunt of Q","Directions: Consider the following\n	A + B mans ‘A is father of B’\n	A - B means ‘A is wife of B’\n	A × B means ‘A is brother of B’\n	A ÷ B means ‘A is daughter of B’",,
,5,"If P - R + Q, which of the following is true","P is mother of Q ","Q is daughter of P","P is aunt of Q ","P is sister of Q",a,"P - R + Q, represents R is the 	father of Q, and P is the wife of R, \P is the 	mother of Q",,,
,5,"At what time between 2 and 3 o'clock will the hands of a clock be together?","15 min. past 2","2 10/11 min. past 2","5 10/11 min. past 2","10 10/11 min. past 2",d,"	At 2 o'clock, the hour hand is at 	2 and the minute hand is at 12, i.e. they are 	10 min spaces apart. To be 	together, the 	minute hand must gain 10 minutes over the hour hand.\n	Now, 55 minutes are gained by it in 60 min.\n	10 minutes will be gained in (60 x 10)/55 	min. = 120/11 min.\n	The hands will coincide at 120/11 min. past 2 = 10 10/11 min. past 2",,,
,5,"Which of the following can be assumed from the passage? ","	People’s participation in community development is essential to maintain peace in the society. ","	Self-help groups are formed to monitor the infrastructure projects allotted to their locales.","People’s participation in monitoring the quality of education provided to their wards is also a part of community engagement. ","	Its’ not easy to broadly define the types of community works. ",c,"In the strict sense of the term, it signifies","The term community participation is open to several interpretations. Its usages ranges from the amorphous category of people's participation, through a community's engagement with its development Protect to the prevailing initiatives of self-help groups (SHGs) and social action groups (SAGs). Hence, the need for its precise conceptualization. In pursuit of this task, I would like to make three observations. First. that community participation is not co-terminus with people's participation; it is a different concept having its own import. Second, that there is a need to distinguish between community participation in self-governance and in community development. Before elaborating on these observations, it is necessary to point out that the term community participation is amenable to be used in two senses : a strict sense and a liberal sense. In the strict sense of the term, it signifies a community's engagement with its development project in all the phases including planning, implementation, monitoring and evaluation. In a liberal sense, it is also used for the engagement of self-help groups as well as social action groups in their respective development projects. ",,
,5,"The main concern of the author in the passage is to","Highlight how unorganized sectors in the rural areas treat women in workplaces. ","Assert that women do not get adequate pay and opportunities. ","Criticize the exploiting tendency of the upper-class people in utilizing the women labors for their day-to-day works. ","Discuss the women’s participation in various types of works against male laborers.",b,Refer to the last line of the passage,"Women are engaged in a wide variety of occupations especially in the unorganized sector. In the rural unorganized sector, women care for cattle, sowing, transplanting, harvesting, weaving, working in the hand-looms and producing handicrafts mostly as low paid wage earners or unpaid family workers. They are also engaged in producing and selling a variety of goods such as vegetables, fruits, flowers, cooked food, groceries etc. Empowerment of women involves many things, economic opportunity, property rights, political representation, social equality, personal rights and so on. Historically, the world over, either by law or by custom, the status of women is undermined by asymmetrical power relationships in decision-making, personal and social rights, access to resources and entitlement. Women in many countries still lack rights to inherit property, own land, get education, obtain credit, earn income or work outside home, control their fertility: they are still widely under-represented in involvement in decision-making at the household or social level. Empowerment by means of modest income-generation projects is clearly insufficient to ameliorate the prospects for a high quality life for women. ",,
,5,"It can be inferred from the passage ","Women are empowered by many societies where equality is main the prospect of the state. ","Unless women have their own earnings, gaining equality is difficult for them. ","The overall scenario is very disappointing that women are not fast reaching the decision making status. ","Political representation alone can make the women completely powerful. ",c,"Historically, the world over, either by law or by custom, the status of women",,,
,5,"Which of the following is not implied in the passage? ","End to end verification has been enabled by new GST mechanism.","Business transactions are managed by a single portal system which enable the businessmen to stand away from striking deals with bogus vendors. ","	Economic development is no surprise in the country which has well regulated tax collection.","Taxpayers are liable to follow the federal laws under the purview of GST. ",b,"This nowhere discussed in the passage. The portal is mainly to organize the taxpayers to pay the tax without any efforts. ","The Indian GST will have a mechanism of matching of invoices. Input tax credit of purchased goods and services will only be available if the taxable supplies received by the buyer get matched against the taxable supplies received by the supplier. The Goods and Services Tax Network which is responsible for IT backbone is geared up to match more than three billion invoices per month. This would be a self-regulating mechanism. This will not only check tax frauds and tax evasion, but also bring in more and more businesses into the formal economy. In the new GST regime, the tax-payer can register, file returns and make payment of taxes on a single portal on the net. Even in a rare case, if the tax-payer is to interact with the tax authorities, he will have to interact with only one authority, either from the State Government or from the Central Government as tax officers of the Central Government and the State Government are being cross empowered to take action in one another’s law. Thus, corruption will be checked to a large extent as it will become increasingly difficult for the taxpayer to evade taxes and he will have minimal interaction with the tax authorities.",,
,5,"Find the angle between minute hand and hour hand at 11:50 AM","55<super>0</super>","22.5<super>0</super>","15<super>0</super>","None of these",a,"At 11 : 50 A.M. from the formula here P = 	11 and Q = 50 \n	so required angle is 11 × 50/2 – 30 × 11 = 	275 – 330 = – 55 or ignoring the negative 	sign the 	required angle is 55<super>0</super>",,,
,5,"By how many degrees does the minute hand move in the same time, in which the hour hand move by 28 ?",168,336,196,376,b,"Angle travelled by minute hand = 12 x angle covered by hour hand.\n	28 × 12 = 336 degree",,,
,5,"A watch, which gains uniformly, is 2 min, slow at noon on Sunday, and is 4 min 48 seconds fast at 2 p.m on the following Sunday when was it correct ?","2:00 pm on Tuesday","12 noon on Monday","2:00 am on Tuesday","None of these",a,"From Sunday noon to the following Sunday 	at 2 p.m there are 7 days 2 hours or 170 	hours. 	The watch gains 2 + 	4 4/5 min in 170 	hrs. Therefore, the watch gains 2 min in 2 	×170 hrs i.e., 50 	hours 6 4/5.\n	Now 50 hours = 2 days 2 hrs. Therefore, 2 	days 2 hours from Sunday noon = 2 p.m on 	Tuesday.",,,
,5,"The  central idea of the passage is to","estimate the upcoming loss for handicraft markets in India and the economic impact of such trend.","The children of artisans have to be provided training and hope to continue their ancestral jobs. ","Traditional Indian artifact industries ought to be saved from reaching the extinct condition. ","The government has to create a big market for selling the Indian handicrafts.",c,"knowledge behind India’s myriad handicrafts and handlooms is a major challenge. ","In an increasingly mechanized, homogenized world, ensuring the sustainability of skills, techniques and the traditional knowledge behind India’s myriad handicrafts and handlooms is a major challenge. Rural youth are increasingly disenchanted with family craft traditions, being exposed to the struggle to find markets and fair prices. People need to be sensitised about the importance of our crafts. Rigorous efforts, therefore need to be made to provide children of artisans with education, training, access to the market and with wages for a dignified livelihood to enable them to continue their family and community craft traditions which have given India a unique place in the world of handcrafted products since time immemorial.",,
,5,"The phrase ‘time immemorial’ is used by the author in the last line of the passage in order to ","Highlight the demands for Indian artifacts in the world market. ","Bring in the salient features that Indian handicrafts have. ","Explain the traditional value of the Indian handmade objects and clothes.","Appreciate the unique skills possessed by the handicraft workers. ",c,"This is the suitable explanation which is befitting to the overall idea of the passage",,,
,5,"Which of the following can be inferred from the passage? ","India is always at the forefront when it comes to resolving any global issues. ","The spirit of India in embracing the global community with a single purpose of global unity is significant. ","The country has always supported any country that follows soft diplomacy. ","The country’s clout and its persuading power in making other nations accept the importance of Yoga.",a,"Refer to the first line of the passage.", "India’s long established tradition of support and enthusiasm for multilateralism, in particular for the United Nations, has induced it to make an unorthodox effort to bring the people of the world together in an activity that is as individual as it is social. Answers to the larger global political, economic and environmental problems will never be easy to find. They are as much a responsibility of multilateral organisations and countries as of individuals. Building awareness of what each can do is essential for a beginning to be made. India’s International Yoga Day initiative is one small step and a good example of building international consensus and using multilateralism to promote a national ideal. It has been a resounding success. India’s resolution was co-sponsored by a record 175 countries and was adopted by consensus in the UN General Assembly. This was a deft display of soft diplomacy by a country that has shaped the orientation of the United Nations over the decades, transforming it from a protector of the status quo of the post-War world to an agent of change, promoting decolonisation, combating racism and championing development. In a world ravaged by over-consumption of natural resources, this ancient Indian philosophy of living in harmony with nature has instant resonance with the youth and the forward thinking.",,
,5,"Why does the author use the phrase ‘deft display of soft diplomacy’ to discuss India’s role in the UNO? ","Because the UNO has understood the crucial role that India plays in deciding the Global economic development. ","It has stopped the western countries in promoting colonization. ","India’s tactics to prove itself on a global platform has unexpectedly convinced many members of the UNO.","The way India has proposed its plan to connect the global partners has no political motive at all.  ",c,"In a world ravaged by over-consumption of natural resources, this ancient Indian philosophy",,,
