question_id,test_id,Questions,Option A,Option B,Option C,Option D,Answer,Explanation,image,explanationImage
,9,"Consider the following statements regarding Raja Ram Mohan Roy: \n1. He founded Atmiyasabha.\n2.He wrote Gift to monotheists in Persian.\n3. He started Vedanta college.\nWhich of the statements given above is/are correct?",1 and 3 only,1 and 2 only,2 and 3 only,"1, 2 and 3 ",D,"Class – 12 -  – Book Name – Modern India old NCERT – Page No. 93.\nExplanation:\n1. He founded Atmiyasabha.\n2.He wrote Gift to monotheists in Persian.\n3. He started Vedanta college.",,,
,9,"Consider the following statements regarding Young Bengal movement:\n1.Its leader was Henry Vivian Derozio\n2. Its ideas were conservative to revive practices from Vedas.\n3. It inspired followers through National poems.\nWhich of the statements given above is/are correct?",1 and 3 only,1 and 2 only,2 and 3 only,"1, 2 and 3 ",A,"Class – 12 -  – Book Name – Modern India old NCERT – Page No. 98.\nExplanation:\n Young Bengal movement was radical trend aroused during the late 1820’s. Its leader was Henry Vivian Derozio. He inspired radical views from the great French revolution and attacked old and decadent customs.He inspired followers through National poems.",,,
,9,"Consider the following statements:\n1.Tatvabodhini Sabha was founded by Ishwar Chandra Vidyasagar.\n2. It promoted a systematic study of India’s past in Bengali Language.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,B,"Class – 12 -  – Book Name – Modern India old NCERT – Page No. 99.\nExplanation:\n Tatvabodhini Sabha was founded by Debendranath Tagore. It promoted a systematic study of India’s past in Bengali Language.",,,
,9,"Consider the following statements.\n1 The role of Christian missionaries predominantly provoked the soldiers and people in Delhi during 1857.\n2. The issue of greased cartridge was responsible for providing the spark for the revolt of 1857.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,C,"Class – 12 -  – Book Name – Modern India old NCERT – Page No. 104.\nExplanation:\n Refer to the all causes of the revolt in 1857 in Page No. 104.",,,
,9,The educated middle class in India.,Supported the revolt of 1857.,Remained neutral to the revolt of 1857.,Fought against Indian native rulers.,None of the above.,B,"Class – 12 -  – Book Name – Modern India old NCERT – Page No. 117.\nExplanation:\n Modern educated Indians also did not support the revolt. They were repelled by the rebels’ appeals to superstitions and their opposition to progressive social measures.",,,
,9,"Consider the following statements regarding Indians Councils Act of 1861:\n1.It enlarged Governor-General’s council to include Imperial legislative council.\n2.Legislative council had control over the executive.\n3. It expanded executive council to include non- official Indian members.\nWhich of the statements given above is/are correct?",1 and 3 only,1 and 2 only,2 and 3 only,"1, 2 and 3 ",A,"Class – 12 -  – Book Name – Modern India old NCERT – Page No. 123.\nExplanation:\nIndians Councils Act of 1861.It enlarged Governor-General’s council to include Imperial legislative council.Legislative council had no control over the executive. It expanded executive council to include non- official Indian members.",,,
,9,"Consider the following statements regarding finances of Provincial administration in British India:\n1. The first step in the direction of separating central and provincial finances was taken in 1870 by Lord Mayo.\n2. In 1877, Lord Lytton revoked policies of mayo and centralized the revenues.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,A,"Class – 12 -  – Book Name – Modern India old NCERT – Page No. 123.\nExplanation:\n The first step in the direction of separating central and provincial finances was taken in 1870 by Lord Mayo. In 1877, Lord Lytton enlarged mayo’s scheme and transferred to the provinces certain other heads of expenditure.",,,
,9,"After the Great revolt of 1857, Consider the following statements about the relations of British with the princely States.\n1.Considered princely states as useful allies and supporters.\n2.Announced integrity of their territories guaranteed against future annexation.\n3. Announced that their right to adopt heirs would be respected.\nWhich of the statements given above is/are correct?",1 and 3 only,1 and 2 only,2 and 3 only,"1, 2 and 3 ",D,"Class – 12 -  – Book Name – Modern India old NCERT – Page No. 127.\nExplanation:\n After the Great revolt of 1857, There was a change in relations of British with the princely States. Princely states were considered princely states as useful allies and supporters and announced integrity of their territories guaranteed against future annexation and their right to adopt heirs would be respected.",,,
,9,"Consider the following statements:\n1. After Great revolt of 1857, Britishers repressed Muslims, confiscated their lands on a large scale and declared Hindus to be their favourites.\n2. After 1870, British govt promised official favour for Muslims in return for loyalty.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,B,"Class – 12 -  – Book Name – Modern India old NCERT – Page No. 129.\nExplanation:\n After Great revolt of 1857, Britishers repressed Muslims, confiscated their lands on a large scale and declared Hindus to be their favourites. After 1870, British govt promised official favour for Muslims in return for loyalty.",,,
,9,"Consider the following statements regarding First Indian Factory Act passed in 1881:\n1.It laid down that children between 7 and 12 would not work for more than 9 hours a day.\n2.Children would also get four holiday in a month.\n3.Working hours for women were fixed at 11hours per day.\nWhich of the statements given above is/are correct?",1 and 3 only,1 and 2 only,2 and 3 only,"1, 2 and 3" ,B,"Class – 12 -  – Book Name – Modern India old NCERT – Page No. 130.\nExplanation:\n First Indian Factory Act passed in 1881 laid down that children between 7 and 12 would not work for more than 9 hours a day and Children would also get four holiday in a month.\n Working hours for women were fixed at 11hours per day in factories act 1891.",,,
,9,"Consider the following statements:\n1.First Burma war in 1824-26 was resulted in annexation of pegu by Britishers.\n2. Second Burma war in 1852 was resulted in Treaty of Yandabo.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,D,"Class – 12 -  – Book Name – Modern India old NCERT – Page No. 133.\nExplanation:\n First Burma war in 1824-26 was resultedin Treaty of Yandabo.Second Burma war in 1852 was resulted inannexation of pegu by Britishers.",,,
,9,"Consider the following statements.\n1. The first textile mill was started in Bombay in 1853.\n2. The first jute mill was started in Rishra in 1855.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,C,"Class – 12 -  – Book Name – Modern India old NCERT – Page No. 147.\nExplanation:\n The first textile mill was started in Bombay in 1853.The first jute mill was started in Rishra in 1855.",,,
,9,"Consider the following statements.\n1. British conquest led to the industrialization of the country.\n2. India also became an agricultural colony of Britain to source its raw materials.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,B,"Class – 12 -  – Book Name – Modern India old NCERT – Page No. 141.\nExplanation:\n British conquest led to the de-industrialization of the country. India also became an agricultural colony of Britain to source its raw materials.",,,
,9,Which of the following defines Absentee landlordism?,It is a situation in which there were no landlords and fields were collectively cultivated.,"It is a situation in which landlords rents out a profit-earning property, but does not live within the property's local economic region.",It is a situation in which cultivators itself owns the agricultural land.,None of the Above,B,"Class – 12 -  – Book Name – Modern India old NCERT – Page No. 145.\nExplanation:\n absentee landlord is a person who owns and rents out a profit-earning property, but does not live within the property's local economic region",,,
,9,"The East Indian Association, organized by Dadabai Naoroji in 1866, mainly aimed",To reveal the real character of the British colonialism in India.,To organize the parsi people under the single banner.,To discuss the Indian question influence public opinion in England.,None of the above,C,"Class – 12 -  – Book Name – Modern India old NCERT – Page No. 158.\nExplanation:\n The East Indian Association, organized by Dadabai Naoroji in 1866, mainly aimed to discuss the Indian question influence public opinion in England.",,,
,9,"Consider the following statements regarding Dadabhai Naoroji:\n1. He was a India’s first economic thinker and he showed basic cause of poverty in India lay in the British exploitation.\n2. He was known as Grand old man of India.\n3. He was honoured by being thrice elected president of the Indian National Congress.\nWhich of the statements given above is/are correct?",1 and 3 only,1 and 2 only,2 and 3 only,"1, 2 and 3" ,D,"Class – 12 -  – Book Name – Modern India old NCERT – Page No. 158.\nExplanation:\n Dadabhai Naorojiwas a India’s first economic thinker and he showed basic cause of poverty in India lay in the British exploitation. He was known as Grand old man of India. He was honoured by being thrice elected president of the Indian National Congress.",,,
,9,"Match List I with List II and select the correct answer using the codes given below them:\n             List I                                                                   List II\n(Nationalist of Modern India)                                     (Association)\nA. Justice Ranade                                          1. Madras Mahajan sabha.\nB. M. Viraraghavachari                                  2. Bombay presidency\nC. BadruddinTyabji                                         3. Poona Sarvajanik Sabha\nD. Surendranath Banerjee                             4. Indian Association",3 - 2 -  4 -  1,1 -  2 -  3 -  4,4 -  2 -  1 -  3,3 - 1 - 2 -  4,D,"Class – 12 -  – Book Name – Modern India old NCERT – Page No. 159.\nExplanation:\n Refer page no. 159.",,,
,9,"Which of the following were major reasons for the demands of Indianization of administrative services by Nationalist?\n 1.It was ridden with corruption, inefficiency and oppression.\n 2. Europeans were paid at very high rates.\n 3.Europeans sent out of India a large part of their salaries and their pensions were paid in England.\nSelect the correct answer using the codes given below:",1 and 3 only,1 and 2 only,2 and 3 only,"1, 2 and 3 ",D,"Class – 12 -  – Book Name – Modern India old NCERT – Page No. 164.\nExplanation:\n Major reasons for the demands of Indianization of administrative services by Nationalist are it was ridden with corruption, inefficiency and oppression, Europeans were paid at very high rates Indians of similar qualifications could be employed on lower salaries. Europeans sent out of India a large part of their salaries and their pensions were paid in England.",,,
,9,"Consider the following  statements regarding Theosophical society:\n1. It was founded in US by Annie Besant\n2. It was a movement led by westerners who glorified Indian religious and philosophical traditions.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,B,"Class – 12 -  – Book Name – Modern India old NCERT – Page No. 175.\nExplanation:\n Theosophical societywas founded in US by Madam H.P. Blavatsky and colonel H.S.Olcott. It was a movement led by westerners who glorified Indian religious and philosophical traditions.",,,
,9,"Consider the following statements\n1.Rabindranath Tagore compiled Amar sona Bangla during the partition of Bengal.\n2.During Swadeshi movement, A National college with Subash Chandra bose as principal was started in Calcutta.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,A,"Class – 12 -  – Book Name – Modern India old NCERT – Page No. 196.\nExplanation:\n Rabindranath Tagore compiled Amar sona Bangla during the partition of Bengal. During Swadeshi movement, A National college with AurobindoGhose as principal was started in Calcutta.",,,
,9,"Which of the following Newspaper started by Revolutionaries to advocate the revolutionary terrorism?\n1. The Sandhya\n2. The Yugantar\n3. The kal\nSelect the correct answer using the codes given below:",1 and 3 only,1 and 2 only,2 and 3 only,"1, 2 and 3" ,D,"Class – 12 -  – Book Name – Modern India old NCERT – Page No. 200.\nExplanation:\n All three Newspaper were started by Revolutionaries.",,,
,9,"Consider the following statements\n1.In 1906, All India Muslim league was founded under the leadership of Agakhan.\n2.Al-Hilal was one of the Newspaper of Muslim league.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,A,"Class – 12 -  – Book Name – Modern India old NCERT – Page No. 210.\nExplanation:\n In 1906, All India Muslim league was founded under the leadership of Agakhan. Al-Hilal was Newspaper started by MaulanaAbulKalam Azad to propagate his nationalist ideas.",,,
,9,"Consider the following statements regarding Lucknow session of the congress in 1916:\n1. It was the first united congress since 1907.\n2. The congress and the All India Muslim League sank their old differences and put up common political demands before the government.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,C,"Class – 12 -  – Book Name – Modern India old NCERT – Page No. 216.\nExplanation:\n Lucknow session of the congress in 1916 was the first united congress since 1907.The congress and the All India Muslim League sank their old differences and put up common political demands before the government.",,,
,9,"Consider the following statements regarding Gandhi:\n1. Non-violence is the law of our species, as violence is the law of the brute.\n2. Where there is a choice only between cowardice and violence, I would advise violence.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,C,"Class – 12 -  – Book Name – Modern India old NCERT – Page No. 223.\nExplanation:\n Both are statements of Gandhi.",,,
,9,"Consider the following statements regarding Government of India Act 1919:\n1. Provincial Legislative councils were enlarged and the majority of their members were to be elected.\n2. Separate Electorates were introduced for Muslims.\n3.Provincial governments were given more powers under the system of Dyarchy.\nWhich of the statements given above is/are correct?",1 and 3 only,1 and 2 only,2 and 3 only,"1, 2 and 3 ",A,"Class – 12 -  – Book Name – Modern India old NCERT – Page No. 220.\nExplanation:\nIn Government of India Act 1919,Provincial Legislative councils were enlarged and the majority of their members were to be elected.\nProvincial governments were given more powers under the system of Dyarchy Separate Electorates were introduced for Muslims in 1909.",,,
,9,"Arrange the following in a chronological order\n1. Surat Split\n2. Formation of Muslim League\n3. Partition of Bengal\n4. Formation of Indian National congress.\nSelect the correct answer using the codes given below:",1 - 2 - 3 - 4,4 - 3 - 2 - 1,2 - 1 - 4 - 3,2 - 3 - 4 - 1,A,"Class – 12 -  – Book Name – Modern India old NCERT – Page No. 218.\nExplanation:\n Refer the chapter Nationalist movement 1905-1918.",,,
,9,"Consider the following statements:\n1. The Hindustan Republican Association was founded in 1928 to organize an armed revolution against British Empire.\n2. The member of Hindustan Republic Association took part in Lahore conspiracy case.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,D,"Class – 12 -  – Book Name – Modern India old NCERT – Page No. 240.\nExplanation:\n The Hindustan Republican Association was founded in 1924 to organize an armed revolution against British Empire. The member of Hindustan Republic Association took part in Kakoriconspiracy case.",,,
,9,"Consider the following statements regarding All- India Kisan Sabha:\n1. It was formed in 1920\n2. Its first president was Swami SahajanandSaraswati.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,B,"Class – 12 -  – Book Name – Modern India old NCERT – Page No. 255.\nExplanation:\n All- India Kisan Sabha was formed in 1936 under the presidentship of Swami SahajanandSaraswati.",,,
,9,"Consider the following statements regarding Lahore session of Congress in 1929\n1. It was presided over by Motilal Nehru\n2.It passed a resolution declaring Poornaswaraj to be the congress objective.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,B,"Class – 12 -  – Book Name – Modern India old NCERT – Page No. 245.\nExplanation:\n Lahore session of Congress in 1929 was presided over by Motilal Nehru. It passed a resolution declaring Poornaswaraj to be the congress objective.",,,
,9,The Tropic of Cancer does not pass through,Rajasthan ,Orissa ,Chhattisgarh,Tripura,B,"Class – 9 -  – Book Name – Contemporary India-1 – Page No. 5.\nExplanation:\n Refer the map in Page No. 5.",,,
,9,"Consider the following statements regarding Bhabar region in Northern plains:\n1.The rivers, after descending from the mountains deposit pebbles in a narrow belt of about 8 to 16 km in width lying parallel to the slopes of the Shiwaliks. It is known as bhabar.\n2.This was a thickly forested region full of wildlife.\n3. In this, river reemerges.\nWhich of the statements given above is/are correct?",1 only,1 and 2 only,1 and 3 only,"1, 2 and 3",A,"Class – 9 -  – Book Name – Contemporary India-1 – Page No. 5.\nExplanation:\nThe rivers, after descending from the mountains deposit pebbles in a narrow belt of about 8 to 16 km in width lying parallel to the slopes of the Shiwaliks. It is known as bhabar. All the streams disappear in this bhabar belt. South of this belt, the streams and rivers re-emerge and create a wet, swampy and marshy region known as terai. This was a thickly forested region full of wildlife. The forests have been cleared to create agricultural land and to settle migrants from Pakistan after partition.",,,
,9,"Which of the following hills are located in Eastern ghats?\n1.Kaimur hills\n2.Shevroy\n3.Javadi Hills\nSelect the correct answer using the codes given below:",1 only,1 and 2 only,2 and 3 only,"1, 2 and 3",C,"Class – 9 -  – Book Name – Contemporary India-1 – Page No. 13.\nExplanation:\n The Deccan Plateau is a triangular landmass that lies to the south of the river Narmada. The Satpura range flanks its broad base in the north while the Mahadev, the Kaimur hills and the Maikal range form its eastern extensions.\n ShevroyHills and the Javadi Hills are located to the southeast of the Eastern Ghats. ",,,
,9,"Consider the following statements regarding Chilka lake:\n1.The Chilika Lake is the largest salt water lake in India. \n2.It lies in the state of Orissa\n3. It lies to the south of the Krishna delta\nWhich of the statements given above is/are correct?",1 and 3 only,1 and 2 only,2 and 3 only,"1, 2 and 3",B,"Class – 9 -  – Book Name – Contemporary India-1 – Page No. 14.\nExplanation:\n The Chilika Lake is the largest salt water lake in India. It lies in the state of Orissa, to the south of the Mahanadi delta.",,,
,9,"Consider the following statements regarding Drainage patterns:\n1.The trellis pattern develops where the river channel follows the slope of the terrain. The stream with its tributaries resembles the branches of a tree.\n2.A river joined by its tributaries, at approximately right angles, develops a dendritic pattern.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,D,"Class – 9 -  – Book Name – Contemporary India-1 – Page No. 14.\nExplanation:\n The streams within a drainage basin form certain patterns, depending on the slope of land, underlying rock structure as well as the climatic conditions of the area. These are dendritic, trellis, rectangular, and radial patterns. The dendritic pattern develops where the river channel follows the slope of the terrain. The stream with its tributaries resembles the branches of a tree, thus the name dendritic. A river joined by its tributaries, at approximately right angles, develops a trellis pattern. A trellis drainage pattern develops where hard and soft rocks exist parallel to each other. A rectangular drainage pattern develops on a strongly jointed rocky terrain. The radial pattern develops when streams flow in different directions from a central peak or dome like structure.",,,
