question_id,test_id,Questions,Option A,Option B,Option C,Option D,Answer,Explanation,paragraph,image,explanationImage
,8,"Consider the following statements:\n1.Most of the Ashokan inscriptions have been written in Brahmi script.\n2.Junagadh inscription of Rudradaman was in chaste Prakrit.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,B," The inscriptions found in the eastern part of India were written in the Magadhi language, using the Brahmi script. In the western part of India, the language used is closer to Sanskrit, using the Kharoshthi script,one extract of Edict 13 in the Greek language.",,,
,8,"Consider the following statements.\n1.Although some of the Ajanta paintings date back to as early as the first century AD, most of them belong to the Gupta Age.\n2.Ajanta Paintings contain only religious themes.\n3.Padmapani&Vajrapani – depicted in the Ajanta paintings – are the gods of Buddhist pantheon, who are regarded above the Buddha himself.\nWhich of the statements given above is/are correct?",1 only,1 and 2 only,2 and 3 only,"1, 2 and 3",A,"1. Decorative – Birds , Animals , floral,demons , fairies\n2. Portrait – Buddha , Bodhisattva , Kings , Queens\n3. Descriptive – Jatakas",,,"explanationHST117.PNG"
,8,Peitra Dura is ,"A decorative art made using polished coloured stones.","A royal weaving pattern mentioned in Akbarnama.","A handmade decorative blade fitted with gemstones to showcase military victories.","A miniature paintings of natural colours often found in Mughal Darbars.",A,"These are stone carvings in high and low relief on the walls, the delicate carving of marble into jails and graceful volutes (spiral ornament on the pillars), and the creation of arabesque with pietradura on walls and tombstones and geometric designs with tessellation.",,,
,8,"Consider the following statements:\n1.Hinayana is the most popular form of Buddhism in South East Asia.\n2.Vajrayana Buddhism is also called as Mantrayana Buddhism – as it dealt with Tantric Mantras.\n3.The concept of Bodhisatva is central to Mahayana Buddhism.\nWhich of the statements given above is/are incorrect?",1 only,2 only,3 only,"1, 2 and 3",D,"• Hinayana is the most popular form of Buddhism in South East Asia.\n• Vajrayana Buddhism is also called as Mantrayana Buddhism – as it dealt with Tantric Mantras.\n• The concept of Bodhisatva is central to Mahayana Buddhism.",,,
,8,"In the Nagara style of temples\n1.Elaborate band of walls or gateway are not constructed.\n2.The garbagraha is always located in directly under the tallest tower.\nSelect the correct answer using the codes given below",1 only,2 only,Both 1 and 2,Neither 1 nor 2,B,"1. The Temple complex is not enclosed.\n2. The Garbhagriha (Inner Sanctum) is topped by a Shikhara which is curvilinear shaped.\n3. Elaborate band of walls or gateway are constructed\n4. The Mandapa (main hall) are of different types called as Ardhamandapa, Mandapa and Mahamandapa. Based on their sizes.\n5. There is a Stone disc type structure called as amalaka at the top of the Temple.\n6. Amalaka is Topped by a Kalasha which is the highest point of the Shikara as well as the entire temple.\n7. There is also an Anatarala, which is transition area between the Garbhagriha and the Mandapa.\n8. The walls and pillars of the temple are decorated by sculpted images of river goddesses and mithuna images",,,
,8,"Consider the following statements: \n1. Acharya Virasena was Jain monk and a mathematician during the time of Rashtrakuta.\n2. Jainism was source of Virasena and he wrote HarivaPurana.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,A,"1. Acharya Virasena (792-853) was a Digambara monk\n2. Virasena wrote a commentary on Satkhandagama called Dhavala. It contains 72 thousand verses.\n3. Virasena also wrote a commentary on Kasaya-pahuda called Jayadhavala. It is an equally monumental work containing 20 thousand verses written by Virasena to which another 40 thousand were added by his disciple Jinasena.",,,
,8,"Consider the following statements regarding Gothic Architecture:\n1. It developed in late 19th Century.\n2. This type of structure is prevalent in India only.\n3. It is a combination of both medievalklare& Hira Architecture.\nWhich of the statements given above is/are correct?",1 only,1 and 3 only,1 and 2 only,"1, 2 and 3",B,"1. It developed in late 19th Century.\n2. This type of structure is prevalent in India, Pakistan, Bangladesh ,Malayiya.\n3. It is a combination of both medievalklare& Hira Architecture.\n4. Example – Rosay Church",,,
,8,"Consider the followign statements regarding Rosay Church:\n1. It is located in Karnataka,Hemavati River.\n2. It is built by French missionaries.\n3. Hemavati River is Tributary of Kaveri.\nWhich of the statements given above is/are correct?",1 only,2 and 3 only,1 and 2 only,"1, 2 and 3",D,"1. Situated in Karnataka.\n2. Build by French missionaries on the banks of Hemavathi in 1860.\n3. Built for wealthy British estate owners.",,,
,8,"Consider the following statements regarding Tiwa Tribes:\n1. They are located in Assam only.\n2. They are recognized as STs in Assam.\n3. They belong to Tibeto-Burman Race.\nWhich of the statements given above is/are correct?",1 only,2 and 3 only,1 and 2 only,"1, 2 and 3",B,"1. Tiwa tribes are indigenous ethnic groups inhabiting the states of Assam and Meghalaya.\n2. Plains Tiwas live on the flat lands of the Southern bank of the Brahmaputra valley and influenced wet rice cultivation methods, and rice has become their major crop\n3. Tiwa, or Lalung, is a Tibeto-Burman language of Assam in North East India.\n4. PanthaiLanga is one of the rituals practised by them, which is meant to worship the deities of nature.\n5. Tiwa people who live in the hills are not permitted to prepare their paddy field for the next harvest before performing PanthaiLanga ritual.",,,
,8,"Consider the following statements  regarding Rakhikari Excavation:\n1. Its origin traced backto 6000BCE- 2500BCE.\n2. These finding shows Harappans were Locals.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,C,"• Rakhigarhi is a village in Hisar District in the state of Haryana in India, situated 150 kilometers to the northwest of Delhi. \n• It is the site of a pre-Indus Valley Civilisation settlement going back to about 6500 BCE ",,,
,8,"Consider the following pairs regarding important places associated with Lord Buddha:\n1. Lumbini - Birth\n2. Rajagir - Last Sermon\n3. Vaishali - Met Bimbisara& Ajatashatru\nWhich of the pairs given above is/are correctly matched?",1 only,2 and 3 only,1 and 2 only,"1, 2 and 3",A,"1. Rajgir was the early capital of MagadhJanapada, which was ruled by Bimbisara during Buddha’s time. After the great departure (Mahabhinishkramana), Buddha had first gone to Rajgir. He started begging alms over there and living life of an ascetic. King Bimbisara had offered Buddha his throne which he turned down.\n2. Vaishali At the time of Buddha, Vaishali was in VajjiJanapada.  After leaving Kapilavastu for renunciation, he came to Vaishali first and had his spiritual training from Allara and Udaka",,,
,8,"Consider the following statements regarding Kathakali Dance:\n1. It is mixture of story and drama.\n2. It emphasis on eye & eyebrows movement.\nWhich of the statemetns given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,C,"1. Kathakali is a classical dance form of Kerala. It derives its name from 'Katha' means story and 'kali' means drama. The fold traditions, Ramanattam and Krishnanattam performed in temples under the patronage of feudal lords became the source of Kathakali.\n2. Kathakali declined after the breakdown of the feudal lords. Later renowned Malayali poet Vallathol Narayana Menon revived it under the patronage of Mukunda Raja. He established Kerala Kala Mandalam for the progress of Kathakali.\n3. Kathakali is a dance-drama where the actor does not speak their lines.\n4. It is performed in open air theatre or in temple premises. Brass lamp is used for lighting.\n5. Kathakali depicts the eternal conflict between God and Evil in most of its presentations.\n6. Representation of Rasa through movement of Eye and Eyebrows is the most remarkable feature of Kathakali. This needs strenuous training to perform.",,,
,8,Which one of the following is wrongly matched?,Atala Masjid-Ibrahim Shah Sharq,Bara Sona Masjid-Nusrat Shah,GolGumbaz-Mahmud Gawan,Char Minar-Muhammad QuliQutb Shah,C," GolGumbaz is the mausoleum of king Mohammed Adil Shah, Sultan of Bijapur. Construction of the tomb, located in Vijayapura, Karnataka, India, was started in 1626 and completed in 1656.",,,
,8,"Consider the following statements.\n1. BaqiBillah founded the Naqshbandi order of Sufism in India\n2. Mughal emperor Aurangazeb belonged to the Naqshbandi order\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,C,"1. This order was founded by Bahibillah and the followers were very orthodox compared to all other orders.\n2. This order was popularized in India by Babur who was deeply devoted to Naqshbandiyya leader KhwajaUbaidullahAhrar.\n3. One of the disciples of Khwaja was Shaikh Ahmad Sirhindi who opposed all those practices and beliefs of Akbar and demanded re-imposition of Jizyah\n4. Later he was imprisoned by Jahangir for claiming a status beyond that of the Prophet.",,,
,8,“Punarbhu” – is a term used in ancient India for which among the following?,A Rig Vedic custom of fraternal polyandry,A Brahmana woman who had eloped with a shudra man,A widowed woman marrying a male relative of the deceased husband,A widow who had remarried,D,Punarbhu - A widow who had remarried.,,,
,8,Which one of the following was not one of the major features to be found in Jahangir’s painting?,Prevalence of court scenes & animal studies,Sensitive understanding of human nature,Over-crowded compositions,Subdued colours,C,"1. Mughal Emperor Jahangir ruled from 1605 to 1627\n2. He stretched great support to several art forms, specifically paintings.\n3. This era has seen enhancement in brushwork, along with the usage of much lighter and subdued colors. \n4. The main themes of this era’s paintings were revolved around the events from the life of Jahangir’s, along with portraits, birds, flowers, animals, etc.",,,
,8,The term ‘yavanika’ meant which of the following in ancient India?,The reins and saddle of an important horse,The curtains at the back of the stage in a drama,Ambassadors from Central Asian countries,The breast plate of an armour,B,"The term Yavanika for curtain shows that Indian drama, at least on one point, was influenced by the Greek model",,,
,8,"Consider the following statements regarding Badami paintings:\n1. It belongs to Chalukya dynasty\n2. It contains Brahamana religion & Jains\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,C,"1. Badami or Vatapi as it was earlier known as , is one of the most treasured monuments of ancient India. \n2. The paintings which are housed in rock-cut cave temples mostly belong to 6th and 8th centuries. \n3. The caves at Vatapi were fully decorated with murals; many of them were inspired from Puranas. \n4. The most surviving murals include the paintings of Shiva and Parvathi as well as some other characters.\n5. The painting style is close with that in Ajanta.\n6. The Cave number 4 has a mural painting of Adinatha, the Jain tirthankara.",,,
,8,"Consider the following statements  regarding Bagha Painting:\n1. It is not similar to Ajanta painting\n2. It does not use the Prior Plaster Method\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,A,"1. Located on the bank of Baghani river in the Dhar district of Madhya Pradesh\n2. The walls and ceilings were to be painted were covered with a thick mud plaster in brownish orange color. \n3. Over this plaster there was done lime-priming and then paintings were laid.\n4. This is also known as tempera technique, which refers to use of permanent fast-drying painting medium consisting of colored pigment mixed with a water-soluble binder media.",,,
,8,"Bikaner style belongs to \n1. Mughal painting\n2. Rajasthani painting\n3. RajaPratap King started this style\nSelect the correct answer using the codes given below",1 only,3 only,1 and 3 only,2 and 3 only,D,"1. Bikaner style has more mughal features than any other style of the Rajasthanischool of paintings.\n2. This was mainly because, many of the mughal artists were employed at Bikaner.\n. The subject matters are portraits, baramasa, Ragamala, BhagwavtPurana and Krishnalilas",,,
,8,Walri art is a form of,Painting,Music,Dance,Martial Arts,A,"1. Warli Paintings is believed to be dating back to 2500 or 3000 BC. \n2. These mural paintings bear a resemblance to those created in the Rock Shelters of Bhimbetka. \n3. Scenes portraying hunting, fishing and farming, festivals and dances, trees and animals are used to surround the central theme of the painting.",,,
,8,Who gave the title of Tuti-e-Hind to Amirkhusrow?,qutbuddinaiba,Iltumish,Balban,AlladdinKhilji,C,,,,
,8,"Consider the following statements regarding Hindustani Music: \n1. It originated in Delhi Sultanate\n2. It is popular in western India\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,A,"1. Assimilated some features of the music of the Persian and Arabic musicians\n2. Medieval period: Hindustani music prevalent in North India & Carnatic music in South India\n3. Traced back to Delhi Sultanate -> Amir Khusrau (AD 1253-1325)",,,
,8,"Which of the following is/are components of Classical Music?\n1. Gayan                 2. Vadan                3. Nritya\nSelect the correct answer using the codes given below",1 only,1 and 3 only,2 and 3 only,"1, 2 and 3",D,,,,
,8,"Consider the following statements regarding Swami Haridas:\n1. He is a Vaishnava Saint\n2. He promoted “Rasa” in dance\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,C,,,,
,8,"Consider the following statements regarding Natyashastra: \n1. It is the first written document\n2. It is divided indian dances  into 2 groups\n3. Margi group also include folk dance\nWhich of the statements given above is/are correct?",1 only,2 only,3 only,"1, 2 and 3",D,"1. The Natyashashtra of Bharat is an ancient treatise on theatre, dance and music.\n2. It was written during the period between 200 BC to 200 AD. It covers stage design, music, dance, makeup, and other aspects of theatre. \n3. It is called the foundation of the fine arts in India. It was based upon Gandhravaveda\n4. It is divided indian dances  into 2 groups – Margi &Deshi",,,
,8,"Consider the following statements regarding Kathak dance: \n1. It was promoted by Muslim Rulers\n2. It was performed in the court of all the Mughal Rulers\n3. Aurangazeb was the most imported  promoter\nWhich of the statements given above is/are incorrect?",1 only,2 and 3 only,1 and 3 only,"1, 2 and 3",C,"1. This dance form traces its origins to the nomadic bards of ancient northern India, known as Kathaks, or storytellers.\n2. The present day Kathak dance mainly depends on the medieval period Ras Lila, a local dance in the Braj region of Uttar Pradesh. \n3. Kathak became highly stylised in both Hindu and Muslim courts and came to be regarded as a sophisticated form of entertainment.",,,
,8,Which among the following Jain Teacher preached the 5 great vows?,Rishabedeva,Mahavira,Parsvanatha,Neminatha,D,,,,
,8,"Arrange the following Physician of ancient India in correct Chronological order.","Patanjali, Chanaka, Aryabatta, Varahmitra","Chanaka, Aryabatta, Patanjali, Varahmitra","Patanjali, Chanaka, Varahamitra, Aryabatta","Patanjali, Aryabatta, Chanaka, Varahmitra",A,,,,
,8,Which of the following temples is ______ to vesera type of temple architecture?,PuriJaganath Temple,Kailasanath Temple of Ellora,Lad khan Temple at Aihole,Konark Sun Temple,C,"1. Vesara style does not have an independent origin of its own and said to be an outgrowth of Dravida style.\n2. The Vesara style contains elements of both Dravida and Nagara styles. For example, Nagara and Dravida temples are erected side by side in Badami.\n3. Historians agree that the Vesara style originated in what is today Karnataka. According to some, the style was started by the Chalukyas of Badami.",,,
,8,The parliament of India was built based on the design of which of the following temples?,"Lakshmana Temple, Khajwahs","Siva Temple, Mitavali",ChennakesavaTemple,Narayan Nag Temple,B,,,,
,8,Which of the following script is based on Abugida writing system?,Gurunukh script,Sharadascript,Grantha script,Bramhi Script,B,"1. Sarada script is an abugida writing system of the Brahmic family of scripts , developed around 8th century.\n2. Abugida is a segmental writing system in which consonant–vowel sequences are written as a unit: each unit is based on a consonant letter, and vowel notation is  secondary\n3. It is now used by Kashmiri pandit community for ceremonial purposes\n4. It was used for writing Sanskrit and Kashmiri",,,
,8,Moti Masjid was built in Red Fort by which of the following Mughal Emperor?,Jahangir ,Shajahan,Aurangazeb,Shah Allam II,C,"1. The love of constructing magnificent buildings came to an end rather abruptly with the last of the great Mughals, Emperor Aurangzeb.\n2. Built Bibi-ki-Maqbara (tomb of his wife Begum RabiaDurani) -> a poor replica of the Taj Mahal",,,
,8,Who among the following is the first known composer of Carnatic Music?,Annamacharya,Thyagara,PuranderDasa,SwathiThirunal,A,,,,
,8,"Which of the following is the last site till now to be enlisted as UNSECO Heritage site?",Hill Fort of Rajasthan,The Victoria era art deco ensemble of Mumbai,Kalka – Shimla Railway,Airavaleshwara Temple,B,"This is a collection of the Victorian Gothic buildings and Art Deco buildings. They are the Bombay High Court, Rajabai Clock Tower, Eros Cinema and the University of Mumbai.",,,
,8,"Consider the following statements regarding Swadesh Darshan Scheme: \n1. Ministry of Tourism\n2. Central Sector Scheme.\n3. It is a theme based Tourist Circuit Plan.\nWhich of the statements given above is/are correct?",1 only,2 only,2 and 3 only,"1, 2 and 3",D,,,,
,8,"Which of the following is/are incorrect regarding the Bhakti Movement?","Bhakti Movement did not reject austeritiespreached by the Jains & Buddhist","Bhakti Movement resulted in a surge of Hinan Literature in Regional Language","Bhakti Movement led to development of different Philosophy within the Vedanta School","Bhakti Movement led to emergence of new term of spiritual leadership",A,"Bhakti movement disregarded the austerities preached by the Jains and the Buddhists and preached personal devotion to God as a means of Salvation",,,
,8,"Match the correct pair.\n Vedas           -              Brahmana/Commentaries\nRig Veda             -            GopataBrahamana\nSamVeda            -            Jaiminiga Brahmana\nYajurVeda          -            Kasthitalki Brahmana\nAthatvaVeda        -          Taittriya Brahmana",4-2-1-3,2-3-4-1,3-2-4-1,2-4-1-2,C,,,,
,8,"Which one of the following belong to Vasihnava Sect.\n1. Matsya            2. Kurma                3. Buddha            4. Kalki \nSelect the correct answer using the codes given below",1 and 2 only,"1, 2 and 3 only","1, 2 and 4 only","1, 2, 3 and 4",D,"Lord Buddha also Consider as one of the Vishnu Incarnation in Vishnavism - Refer Old NCERT",,,
,8,"What does the term Upasampad mean in Buddhist Literature?",A ceremony held on full moon & new moon.,Ordination ceremony when the novice became full-fledged member of the Monastic Community.,The defeat of ego.,None of the above.,B,,,,
,8,"Which of the following Dynasty’s Ruler Patron Jainism?\n1. Mauryan        2. Kharavela              3. Udayan      4. Amoghavarsha\nSelect the correct answer using the codes given below","1, 3 and 4 only","2, 3 and 4 only","1, 2 and 4 only","1, 2, 3 and 4",D,,,,
,8,Which one of the following is not a sub sect of Shaivism?,Pashupata,Kapalika,Kalamukha,Shaktism,D,,,,
,8,Which of the following groups of North India challenged the authority of Veda &Brahmanical tradition during Medival Period?,"Nathas, Jogis, Siddas","Alwars, Nayanans, Slingayat","Lokayat, Ajukas, Ahetwaran",None of the above,A,"Natha, Jogis and Siddha of North India challenged the authority of Veda and Brahmanical tradition during medieval period. They didn't function within the orthodoxBrahmanical framework.\n2. They came from artisanal groups, including weavers, who were becoming important with the development of organized craft production.\n3. Alvars and Naynars were followers of Vishnu and Shiva during the medieval period in Tamilnadu. Lingayats, though challenged the Brahmanism , they originated in Karnataka.\n4. Thus Alvars, Naynars and Lingayats were from South India and not North India. Ajivika, Lokayat and Ahetuvdins are examples of different philosophical traditions from Ancient India and not Medieval India",,,
,8,Milindapanho is in the form of a dialogue between the King Menander & Buddhist monk ,Nagasena,Nagarina,Nagabhatta,Kumabhatta,A,,,,
,8,"Arrange the following travelers who visited India in the past in Chronological order?\n1. Fa-Hein           2. I- Tsing           3. Megasthanese          4. Yuan Zong\nSelect the correct answer using the codes given below",3-1-4-2,3-2-1-4,3-4-2-1,4-2-3-1,A,,,,
,8,Who wrote Mahabhaya Commentary in Sanskrit book Ashtadyayi?,Kshamandra,Kalahana,Chanakya,Patanjali,D,,,,
,8,Which of the following National Movement have high art &Culture  influence?,Swadeshi Movement,Non-Corporation Movement,Quit India Movement,Harijan Movement,A,Read Bipan Chandra 10th Chapter,,,
,8,Which of the following Pitakas contain a Milind Panna Discussion?,SuttaPitaka,VinayaPitaka,AbhidammaPitaka,None of the above,C,,,,
,8,Pattimakha Matt relate to ,Buddhism,Jainism,Ajivikas,Charvaka,A,"In Theravada Buddhism, the Patimokkha is the basic code of monastic discipline, consisting of 227 rules for fully ordained monks (bhikkhus) and 311 for nuns (bhikkhunis). It is contained in the Suttavibhanga, a division of the VinayaPitaka.",,,
,8,"Consider the following statements regarding Guru Arjun Dev: \n1. He compiled adi-grant\n2. He was killed by Arangzeeb\nWhich of the statements given above is/are incorrect?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,B,"Guru Arjan Dev - Guru from 1581 to 1606\n1. He compiled the AdiGranth, the scriptures of the Sikhs.\n2. He completed construction of Sri Darbar Sahib also known as Golden Temple in Amritsar.\n3. He founded the town of Tarn Taran Sahib near Goindwal Sahib.\n4. He became the first great martyr in Sikh history when Emperor Jahangir ordered his execution. Thus, he was hailed as Shaheedan-de-Sartaj (The crown of martyrs)",,,
,8,"Consider the following pairs regarding chronological development of Indian Philosophy:\n1. Vedic Phase  -  1500BC – 600BC\n2. Sutra Period  - 600BC – 400BC\n3. Ebic Period  -  400BC – 200AD\n4. Scholastic Period -  100AD\nWhich of the pairs given above is/are correctly matched?",1 and 2 only,2 and 3 only,3 only,4 only,D,Scholastic Period 200 AD Reference Arihant Art & Culture Book,,,
,8,"Which one of the following religion does not believe in Veda’s?\n1. Jainism\n2. Charvaka\n3. Ajivikas\n4. NayaPhilosophy\nSelect the correct answer using the codes given below",1 and 2 only,"1, 2 and 3 only","1, 2 and 4 only","1, 2, 3 and 4",B,"1. Jainism , Buddhism , Charvaka , Ajivikas are Heterodox Sect\n2. Naya Philosophy is one of the Sad-Darshanas Philosophy , Which come under Orthodex Sect",,,
,8,Sabtabhangi related which of the Following philosophy?,Janinism,Buddhism,Hinduism,Vishnaivism,A,"According to Jain Philosophy there are 7 Principal Stand Points , which are employed by men in their description of things",,,
,8,"Consider  the following  statements regarding  belifs to Jainism:\n1. Immortality of the Soul.\n2. Belief in existence of authority to control the cycle of birth and death.\n3. No belief in existence of God.\nWhich of the statements given above is/are correct?",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",C,"In Jainism , there is no Belief in existence of authority to control the cycle of birth and death.",,,
,8,"The life is temporary but the soul is permanent. This belief is associated with",Buddhism,Jainism,Ajivikas,Charvaka,A,,,,
,8,"Consider the following statements regarding Mathura school of art: \n1. High influence of Amaravati School of art.\n2. Narashima incarnation is one of the most prominent sculpture in Mathura Art.\n3. Absence of Greek influence in only Some Extent.\nWhich of the statments given above is/are correct?",1 and 2 only,1 and 3 only,"1, 2 and 3" ,None of the above,D,"1. Only 'Some extent' Amaravati School Influence\n2. Varaha only one found\n3. Greek Influence absent in Great Extent",,,
,8,"Consider the following statement regarding to gandhara school of art: \n1. There is no Buddhist sculpture.\n2. Main centres – Peshwar, Jarika\n3. Shakaspatrnosized the gandhara art\nWhich of the statements given above is/are incorrect?",1 only,2 only,1 and 3 only,None of the above,A,"Inscribed Statutes of Buddha , Bodhisattva are found Enormously in Mathura art",,,
,8,"Consider the following pairs:\n        Guna         Saint\n1. Nirguna   -  Dadrdayal\n2. Saguna   -   Gurunanak\n3. Nirguna   -   Kabir\n4. Saguna   -   Alwar\nWhich of the pairs given above is/are incorrectly matched?",1 and 2 only,2 only,4 only,3 and 4 only,B,"Consider the following pairs:\n  Guna     Saint\n1. Nirguna   -  Dadrdayal\n2. Saguna   -   Gurunanak\n3. Nirguna   -   Kabir\n4. Saguna   -   Alwar\nChoose the incorrect pair?",,,
,8,"Consider the following statements regarding Mughal architecture:\n1. Charbhagapatern only found in delhi sultanate period and not in Mughal architecture.\n2. Pietradura is found only in Mughal Architecture. \n3. Building for daily use is not constructed in Mughal architecture.\nWhich of the statements given above is/are correct?",1 only,2 only,1 and 2 only,2 and 3 only,B,"1. CharabhaPatern was 1st  available in Humayn Tomb Only\n2. Building for daily use is constructed in Mughal architecture",,,
,8,"Consider the following statements regarding associated with Sufi Movement:\n1. They don’t believe in caste system.\n2. It emphasizes simple life.\n3. Sufi saints preached only in Urdu.\nWhich of the statements given above is/are correct?",1 and 2 only,1 and 3 only,2 and 3 only,"1, 2 and 3",A,"Sufi saints preached not only in Urdu but also in Arabic , Persian Language",,,
,8,"Consider the following statements regarding Ajivika philosophy:\n1. It is heterodox school.\n2. It is a major rival of Vajrayana Buddhism.\n3. It is not found in Tamilnadu and Karnataka.\nWhich of the statements given above is/are correct?",1 only,2 and 3 only,"1, 2 and 3",None of the above,A,"1. It is NOT a major rival of Vajrayana Buddhism.\n2. It is found in Tamilnadu and Karnataka",,,
