question_id,test_id,question,optionA,optionB,optionC,optionD,answer,explanation,paragraph,image,explanationImage
,4,"Consider the following statements:\1. Ibn Battuta was lured by his reputation as a generous patron of arts and letters, and he set off for Delhi, passing through Multan and Uch\n2. Ibn Battuta was ordered in 1342 to proceed to China as the Sultan’s envoy to the Mongol ruler \nIn the above statements, the Sultan refers to",Muhammad Ghazni,Ghiyath al-Din Muhammad,Muhammad bin Tughlaq,None of the above,C,"Class – 12  – Book Name – Themes in Indian History-2  – Page No. 118.\nExplanation:\nIbn Battuta reached Sind in 1333. He had heard about Muhammad bin Tughlaq, the Sultan of Delhi, and lured by his reputation as a generous patronof arts and letters, set off for Delhi, passing through Multan and Uch. The Sultan was impressed by his scholarship, and appointed him the qazi or judge of Delhi. He remained in that position for several years, until he fell out of favour and was thrown into prison. Once the misunderstanding between him and the Sultan was cleared, he was restored to imperial service, and was ordered in 1342 to proceed to China as the Sultan’s envoy to the Mongol ruler",,,
,4,"Consider the following statements\n1. Francois Bernier constantly compared Mughal India with contemporary Europe, generally emphasising the superiority of the latter\n2. According to Bernier, one of the fundamental differences between Mughal India and Europe was the lack of private property in land in the latter \nWhich of the statements given above is/are incorrect?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,B,"Class – 12  – Book Name – Themes in Indian History-2  – Page No. 122 & 130.\nExplanation:\nBernier’s Travels in the Mughal Empire is marked by detailed observations, critical insights and reflection. His account contains discussions trying to place the history of the Mughals within some sort of a universal framework. He constantly compared Mughal India with contemporary Europe, generally emphasising the superiority of the latter \nAccording to Bernier, one of the fundamental differences between Mughal India and Europe was the lack of private property in land in the former",,,
,4,"Consider the following statements regarding Travel literature\n1. Kitab-ul-Hind was written by Ibn Battuta\n2. Rihla was written by Al-Biruni\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,D,"Class – 12  – Book Name – Themes in Indian History-2  – Page No. 116 and 118\nExplanation\nKitab-ul-Hind was written by Al-Biruni and Rihla was written by Ibn Battuta",,,
,4,"Consider the following statements regarding Medieval Traveler Al-Biruni.\n1. He came from Uzbekistan\n2. He translated several Sanskrit works, including Patanjali’s work on grammar, into Arabic.\n3. He translated the works of Euclid  into Sanskrit.\nWhich of the statements given above is/are correct?",2 and 3 only,1 and 2 only,"1, 2 and 3","1 and 3 only",c,"Class – 12  – Book Name – Themes in Indian History-2  – Page No. 116 and 118\nExplanation\nAl-Biruni who came from Uzbekistan expertised in several languages and this allowed him to compare languages and translate texts. He translated several Sanskrit works, including Patanjali’s work on grammar, into Arabic. For his Brahman friends, he translated the works of Euclid (a Greek mathematician) into Sanskrit.",,,
,4,"Consider the following statements regarding Birth and trend of Bhakti traditions:\n1. The principal deities of the Vedic pantheon, Agni, Indra and Soma, become marginal figures, rarely visible in textual or visual representations\n2. The Vedas continued to be revered as authoritative\n3.  Devotees often tended to project their chosen deity, either Vishnu or Shiva, as supreme\nWhich of the statements given above is/are correct?",1 and 3 only,3 and 2 only,2 and 1 only,"1, 2 and 3",C,"Class – 12  – Book Name – Themes in Indian History-2  – Page No. 142\nExplanation\nAll of these somewhat divergent and even disparate beliefs and practices would come to be classified as Hindu over the course of the next millennium. The divergence is perhaps most stark if we compare Vedic and Puranic traditions. The principal deities of the Vedic pantheon, Agni, Indra and Soma, become marginal figures, rarely visible in textual or visual representations. And while we can catch a glimpse of Vishnu, Shiva and the goddess in Vedic mantras, these have little in common with the elaborate Puranic mythologies.\nHowever, in spite of these obvious discrepancies, the Vedas continued to be revered as authoritative. Not surprisingly, there were sometimes conflicts as well – those who valued the Vedic tradition often condemned practices that went beyond the closely regulated contact with the divine through the performance of sacrifices or precisely chanted mantras.\nOn the other hand those engaged in Tantric practices frequently ignored the authority of the Vedas. Also, devotees often tended to project their chosen deity, either Vishnu or Shiva, as supreme. Relations with other traditions, such as Buddhism or Jainism, were also often fraught with tension if not open conflict",,,
,4,"Consider the following statements:\n1. Nirguna Bhakti form focused on the worship of specific deities such as Shiva, Vishnu and his avatars (incarnations) and forms of the goddess or Devi all in human forms\n2. Saguna Bhakti form was worship of an abstract form of god\nWhich of the statements given above is/are incorrect?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,C,"Class – 12  – Book Name – Themes in Indian History-2  – Page No. 143\nExplanation\nAt a different level, historians of religion often classify bhakti traditions into two broad categories: saguna (with attributes) and nirguna (without attributes). The former included traditions that focused on the worship of specific deities such as Shiva, Vishnu and his avatars (incarnations) and forms of the goddess or Devi, all often conceptualized in anthropomorphic forms. Nirguna bhakti on the other hand was worship of an abstract form of god",,,
,4,"Consider the following statements:\n1. Alvars were devotees of Vishnu whereas Nayanars worshipped Shiva\n2. The Nalayira Divyaprabandham, anthology of compositions of Nayanars is called as Tamil Vedas\nWhich of the above statements is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,C,"Class – 12  – Book Name – Themes in Indian History-2  – Page No. 143&144\nExplanation\nSome of the earliest bhakti movements (c. sixth century) were led by the Alvars (literally, those who are “immersed” in devotion to Vishnu) and Nayanars (literally, leaders who were devotees of Shiva). They travelled from place to place singing hymns in Tamil in praise of their gods.\nThe importance of the traditions of the Alvars and Nayanars was sometimes indicated by the claim that their compositions were as important as the Vedas. For instance, one of the major anthologies of compositions by the Alvars, the Nalayira Divyaprabandham, was frequently described as the Tamil Veda, thus claiming that the text was as significant as the four Vedas in Sanskrit that were cherished by the Brahmanas.",,,
,4,"Consider the following statements:\n1. One of the major themes in Tamil bhakti hymns is the poets’ support to Buddhism and Jainism\n2. Nayanars and Alvars were patronized by Chola rulers\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,B,"Class – 12  – Book Name – Themes in Indian History-2  – Page No. 145&146\nExplanation\nWhile Buddhism and Jainism had been prevalent in this region for several centuries, drawing support from merchant and artisan communities, these religious traditions received occasional royal patronage. Interestingly, one of the major themes in Tamil bhakti hymns is the poets' opposition to Buddhism and Jainism. This is particularly marked in the compositions of the Nayanars. \nHistorians have attempted to explain this hostility by suggesting that it was due to competition between members of other religious traditions for royal patronage. What is evident is that the powerful Chola rulers (ninth to thirteenth centuries) supported Brahmanical and bhakti traditions, making land grants and constructing temples for Vishnu and Shiva.",,,
,4,"Consider the following statements regarding Lingayats in Twelfth Century Karnataka:\n1. Lingayats believe that on death the devotee will be united with Shiva and will not return to this world\n2. Lingayats supported post-puberty marriage and the remarriage of widows\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,C,"Class – 12  – Book Name – Themes in Indian History-2  – Page No. 147\nExplanation\nLingayats believe that on death the devotee will be united with Shiva and will not return to this world. Therefore they do not practise funerary rites such as cremation, prescribed in the Dharmashastras. Instead, they ceremonially bury their dead. The Lingayats challenged the idea of caste and the 'pollution' attributed to certain groups by Brahmanas. They also questioned the theory of rebirth. These won them followers amongst those who were marginalised within the Brahmanical social order. The Lingayats also encouraged certain practices disapproved in the Dharmashastras, such as post-puberty marriage and the remarriage of widows.",,,
,4,"Consider the following statements regarding Sufi khanqah: \n1. It was a lodging facility for Sufi saints and disciples\n2. Series of Khanqahs were known as silsilas\nWhich of the above statements is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,A,"Class – 12  – Book Name – Themes in Indian History-2  – Page No. 153\nExplanation\nBy the eleventh century Sufism evolved into a welldeveloped movement with a body of literature on Quranic studies and sufi practices. Institutionally, the sufis began to organize communities around the hospice or khanqah (Persian) controlled by a teaching master known as shaikh (in Arabic), pir or murshid (in Persian). He enrolled disciples (murids) and appointed a successor (khalifa). He established rules for spiritual conduct and interaction between inmates as well as between laypersons and the master.Sufi silsilas began to crystallise in different parts of the Islamic world around the twelfth century. The word silsila literally means a chain, signifying a continuous link between master and disciple, stretching as an unbroken spiritual genealogy to the Prophet Muhammad",,,
,4,"Consider the following statements regarding Kabir and his compositions:\n1. The Kabir Bijak is preserved by the Kabirpanth (the path or sect of Kabir) in many parts of Rajasthan\n2. The Kabir Granthavali is associated with the Dadupanth in Uttar Pradesh\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,D,"Class – 12  – Book Name – Themes in Indian History-2  – Page No. 161\nExplanation\nVerses ascribed to Kabir have been compiled in three distinct but overlapping traditions.\nThe Kabir Bijak is preserved by the Kabirpanth (the path or sect of Kabir) in Varanasi and elsewhere in Uttar Pradesh; the Kabir Granthavali is associated with the Dadupanth in Rajasthan, and many of his compositions are found in the Adi Granth Sahib (see Section 8.2). \nAll these manuscript compilations were made long after the death of Kabir. By the nineteenth century, anthologies of verses attributed to him circulated in print in regions as far apart as Bengal, Gujarat and Maharashtra",,,
,4,"Consider the following statements regarding Great and Little Traditions \n1. The terms great and little traditions were coined by Robert Redfield  to describe the cultural practices of peasant societies\n2. Great tradition follows local practices of societies\n3. Little traditions follows rituals and customs that emanated from dominant social categories\nWhich of the statements given above is/are correct?",1  only,2 and 3 Only,1 and 2 Only,"1, 2 and 3",A,"Class – 12  – Book Name – Themes in Indian History-2  – Page No. 141\nExplanation\nThe terms great and little traditions were coined by a sociologist named Robert Redfield in the twentieth century to describe the cultural practices of peasant societies. He found that peasants observed rituals and customs that emanated from dominant social categories, including priests and rulers. These he classified as part of a great tradition. At the same time, peasants also followed local practices that did not necessarily correspond with those of the great tradition.\nThese he included within the category of little tradition",,,
,4,"Consider the following about women devotees in Bhakthi traditions \n1. Andal, a nayanar saw herself as the beloved of Vishnu\n2. Karaikkal Ammaiyar, a Alvar, adopted the path of extreme asceticism\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,D,"Class – 12  – Book Name – Themes in Indian History-2  – Page No. 144\nExplanation\nFor instance, the compositions of Andal, a woman Alvar, were widely sung (and continue to be sung to date). Andal saw herself as the beloved of Vishnu; her verses express her love for the deity. Another woman, bKaraikkal Ammaiyar, a devotee of Shiva, adopted the path of extreme asceticism",,,
,4,"Consider the following statements:\n1. Basavanna  led the lingayat movement in Karnataka\n2. Initially he was  a minister in the court of a Chalukya king\nWhich of the statements given above is/are incorrect?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,D,"Class – 12  – Book Name – Themes in Indian History-2  – Page No. 147\n\nExplanation\nThe twelfth century witnessed the emergence of a new movement in Karnataka, led by a Brahmana named Basavanna (1106-68) who was initially a Jaina and a minister in the court of a Chalukya king. His followers were known as Virashaivas (heroes of Shiva) or Lingayats (wearers of the linga)",,,
,4,"Consider the following statements regarding Islamic rulers in Medieval Period:\n1. Muslim rulers were to be guided by the ulama, who were expected to ensure that they ruled according to the shari‘a.\n2. They collected jizya to protect Islamic people.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,A,"Class – 12  – Book Name – Themes in Indian History-2  – Page No. 149\nExplanation\nMuslim rulers were to be guided by the ulama, who were expected to ensure that they ruled according to the shari‘a. Clearly, the situation was complicated in the subcontinent, where there were populations that did not subscribe to Islam. It is in this context that the category of the zimmi, meaning protected (derived from the Arabic word zimma, protection) developed for peoples who followed revealed scriptures, such as the Jews and Christians, and lived under Muslim rulership. They paid a tax called jizya and gained the right to be protected by Muslims",,,
,4,"Consider the following statements regarding Vijayanagar empire and their relationship with the Sultanates:\n1. The adventurous policy of Rama Raya that ultimately led to the decisive defeat of Vijayanagar kingdom under the hands of alliance of the Sultanates\n2. The Sultans and the rayas were not always or inevitably hostile to each other\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,C,"Class – 12  – Book Name – Themes in Indian History-2  – Page No. 173&174\nExplanation\nIn 1565 Rama Raya, the chief minister of Vijayanagara, led the army into battle at RakshasiTangadi (also known as Talikota), where his forces were routed by the combined armies of Bijapur, Ahmadnagar and Golconda. The victorious armies sacked the city of Vijayanagara.\nThe city was totally abandoned within a few years. Now the focus of the empire shifted to the east where the Aravidu dynasty ruled from Penukonda and later from Chandragiri (near Tirupati).\nAlthough the armies of the Sultans were responsible for the destruction of the city of Vijayanagara, relations between the Sultans and the rayas were not always or inevitably hostile, in spite of religious differencesClass – 12  – Book Name – Themes in Indian History-2  – Page No. 173&174\nExplanation\nIn 1565 Rama Raya, the chief minister of Vijayanagara, led the army into battle at RakshasiTangadi (also known as Talikota), where his forces were routed by the combined armies of Bijapur, Ahmadnagar and Golconda. The victorious armies sacked the city of Vijayanagara.\nThe city was totally abandoned within a few years. Now the focus of the empire shifted to the east where the Aravidu dynasty ruled from Penukonda and later from Chandragiri (near Tirupati).\nAlthough the armies of the Sultans were responsible for the destruction of the city of Vijayanagara, relations between the Sultans and the rayas were not always or inevitably hostile, in spite of religious differences",,,
,4,"Consider the following statements about shankaradeva in Bhakti movement.\n1. He emerged as one of the leading proponents of Vaishnavism in Assam.\n2. His teachings, often known as the Bhagavati dharma because they were based on the Bhagavad Gita and the BhagavataPurana\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,C,"Class – 12 – Book Name – Themes in Indian History-2 – Page No. 165\nExplanation\n In the late fifteenth century, Shankaradeva emerged as one of the leading proponents of Vaishnavism in Assam. His teachings, often known as the Bhagavati dharma because they were based on the Bhagavad Gita and the BhagavataPurana, focused on absolute surrender to the supreme deity, in this case Vishnu. He emphasised the need for naamkirtan, recitation of the names of the lord in sat sanga or congregations of pious devotees. He also encouraged the establishment of satra or monasteries for the transmission of spiritual knowledge, and naamghar or prayer halls. Many of these institutions and practices continue to flourish in the region. His major compositions include the Kirtana-ghosha.",,,
,4,The Vijayanagara empire was located on the banks of river,Krishna,Tungabhadra,Cauvery,Bhima,B,Class – 12  – Book Name – Themes in Indian History-2  – Page No. 177,,,
,4,"Consider the following about Vijaya Nagar empire\n1. According to tradition and epigraphic evidence two brothers, Harihara and Bukka, founded the Vijayanagara Empire in 1336\n2. The first dynasty, known as the Tuluvas. Krishnadeva Raya belonged to the Tuluva dynasty\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,A,"Class – 12  – Book Name – Themes in Indian History-2  – Page No. 173&172\nExplanation\nAccording to tradition and epigraphic evidence two brothers, Harihara and Bukka, founded the Vijayanagara Empire in 1336\nThe first dynasty, known as the Sangama dynasty, exercised control till 1485. They were supplanted by the Saluvas, military commanders, who remained in power till 1503 when they were replaced by the Tuluvas. Krishnadeva Raya belonged to the Tuluva dynasty",,,
,4,"Consider the following statements:\n1. The amara-nayaka system was a major political innovation of the Vijayanagara Empire\n2. The amara-nayakas were military commanders who were given territories to govern by the raya. They collected taxes and other dues from peasants, crafts persons and traders in the area\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,C,"Class – 12  – Book Name – Themes in Indian History-2  – Page No. 175\nExplanation\nThe amara-nayaka system was a major political innovation of the Vijayanagara Empire. It is likely that many features of this system were derived from the iqta system of the Delhi Sultanate.\nThe amara-nayakas were military commanders who were given territories to govern by the raya.\nThey collected taxes and other dues from peasants, craftspersons and traders in the area. They retained part of the revenue for personal use and for maintaining a stipulated contingent of horses and elephants. These contingents provided the Vijayanagara kings with an effective fighting force with which they brought the entire southern peninsula under their control. Some of the revenue was also used for the maintenance of temples and irrigation works.",,,
,4,In the jajmani system,Zamindars paid small daily allowance and diet money to artisans,Zamindars paid farmers daily wages,Zamindars collected taxes from artisans,None of the above,A,"Class – 12  – Book Name – Themes in Indian History-2  – Page No. 205\nExplanation\nEighteenth-century records tell us of zamindars in Bengal who remunerated blacksmiths, carpenters, even goldsmiths for their work by paying them “a small daily allowance and diet money”. This later came to be described as the jajmani system, though the term was not in vogue in the sixteenth and seventeenth centuries.",,,
,4,"The Emperor Akbar classified the lands and fixed different revenue to be paid by each. Consider the following statements\n1. Chachar is land that has lain fallow for three or four years\n2. Banjar is land uncultivated for five years and more\n3. Polaj is land which is annually cultivated for each crop in succession and is never allowed to lie fallow\n4. Parauti is land left out of cultivation for a time that it may recover its strength\nWhich of the pairs given above is/are correctly matched?","1, 2 and 3 Only","2, 3 and 4 Only","1, 3 and 4 Only","1, 2, 3 and 4",D,"Class – 12  – Book Name – Themes in Indian History-2  – Page No. 214\nExplanation\nThe Emperor Akbar classified the lands and fixed a different revenue to be paid by each.\nPolaj is land which is annually cultivated for each crop in succession and is never allowed to lie fallow. Parauti is land left out of cultivation for a time that it may recover its strength.\nChachar is land that has lain fallow for three or four years. Banjar is land uncultivated for five years and more. Of the first two kinds of land, there are three classes, good, middling, and bad. They add together the produce of each sort, and the third of this represents the medium produce, one-third part of which is exacted as the Royal dues.",,,
,4,"Consider the following statements regarding peasants in Mughal period:\n1. Pahi-kashta  were residents of the village in which they held their lands\n2. Khud-kashta  were non-resident cultivators who belonged to some other village, but cultivated lands elsewhere on a contractual \nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,D,"Class – 12  – Book Name – Themes in Indian History-2  – Page No. 197\nExplanation\nSources of the seventeenth century refer to two kinds of peasants – khud-kashta and pahi-kashta. The former were residents of the village in which they held their lands. The latter were non-resident cultivators who belonged to some other village, but cultivated lands elsewhere on a contractual basis. People became pahi-kashta either out of choice – for example, when terms of revenue in a distant village were more favourable – or out of compulsion – for example, forced by economic distress after a famine",,,
