q,test_id,question,OptionA,OptionB,OptionC,OptionD,Answer,Explanation,paragrph,image,explanationImage
,14,"Which of the following can be understood from the passage?\nNatural resources are also essential for economic development.  \nClimate change is part of a new theory of economic development.  \nEconomic development without affecting nature is a sustainable goal. \nFuture generation may be helped by conserving the resources at present.  \nChoose the correct code.  ","1 and 2 only  ","1,3 and 4 only  ","1,2, and 4 only  ","All the above.",b,"The role played by natural resources in the   process of economic development, and its relevance in answering these questions is by no means new.",,,
,14,"According to the passage, population and human capital","are little contradicting terms if the former is understood as a liability and the latter is understood as s resource.  ","are necessary elements which equally contribute to the economic development.  ","are important for creating a strong future economy.  ","play a vital role as indicators of human progress.  ",a,"compare the ideas with the concept of economic development. ",,,
,14,"The tone of the author is",Alarming,Skeptical,Critical,Serious,b,,,,
,14,"Fresh grapes contain 80% water, while dry grapes contain 10% water. If the weight of dry grapes is 500 kg, then what is its total weight (in kg) when it is fresh?",2000,2200,2250,2800,c,"weight of dry grapes = 500 kg \nSince dry grapes contain 10% of water, \nweight of grape pulp in 500 kg of dry grapes  = 90% of 500 = 450 kg \nLet x be its total weight when it is fresh. \nFresh grapes contain 80% water. Therefore, 20% of x is 450 kg\n100% of x = 450 × 5 = 2250",,,
,14,"The average weight of a group of 20 boys was calculated to be 89.4 kg and it was later discovered that one weight was misread as 78 kg instead of the correct one of 87 kg. The correct average weight is:",88.95kg,89.25kg,89.55kg,89.85kg,b,"Total actual weight = (89.4 × 20 – 78 + 87) kg = 1797 kg. \nCorrect average weight =1797/20 = 89.85 kg",,,
,14,"The ratio between the length and the breadth of a rectangular park is 4 : 1. If a man cycling along the boundary of the park at the speed of 15 km/hr completes one round in 10 minutes, then the length of the park (in sq. m) is:",850,1000,600,560,b,"Perimeter = Distance covered in 10 min. \n=(15000/60)*10 =2500m \nLet h = 4x and b = x \nThen, 2(4x + x) = 2500\nx = 250. \nthen l=4*250 =1000.",,,
,14,"It can be inferred from (The employment-intensive pro-poor growth strategy……….    declining, are likely to persist) that","Employment generations are not easy even in the long run.","Many social factors determine the people’s priorities of employment.","Government is not able to overcome the drawbacks in the job markets.","Employment for all sections of people is difficult to be achieved. " ,d,"But even then given the nature of political economy",,,
,14,"It can be inferred from (Only around 10 per …….. largely belonging to the formal sector) that ","that the states must play an effective role in taking the schemes to all levels.","the government’s aim to social inclusion is not comprehensive.","the government’s approach to social inclusion is erroneous.","Only a few percentages of people have got benefitted by the given scheme.",c,,,,
,14,"The main idea of the passage is about  ","providing social security to the old  and the unemployed.","adopting alternative strategies for better implementation of social inclusion schemes.","properly recognizing the people who deserve social protection.","using technology in identifying the beneficiaries for the social empowerment programmes.  ",b,"Refer to the first and last lines of the passage. ",,,
,14,"A Man started his journey, he travelled 400 km, at the speed of 40 km/hr then he went to another 300 km, at the speed of 20 km/hr. Further he went 600 km, at the speed of 30 kmk/hr. The average speed of a Man is: ",28 8/9km/hr,29 5/6km/hr,30.5km/hr,32km/hr,a,"Average Speed =Total distance /Total time \n=(400+300+600)/[(400/40)+(300/20)+(600/30)] \n=1300/(10+15+20)\n=1300/45 =28 8/9",,,
,14,"A boat takes 150 min less to travel 40 km downstream than to travel the same distance upstream. The speed of the stream is 4 km/hr. What is the downstream speed?",16 km/hr,12 km/hr,10 km/hr,8 km/hr,a,"Let speed of boat in still water = x km/hr \nSo speed upstream = x-4, and speed downstream = x+4 \nNow given: Time to travel 40 km downstream = time to travel 40 km upstream – 150/60 \nSo 40/(x+4) = 40/(x-4) – 5/2 \n8/(x-4) – 8/(x+4) = 1/2 \nx+4 – (x-4)/(x2 – 16) = 1/16 \nsolve, x = 12 so downstream speed = 12+4=16km/hr.",,,
,14,"If train, 75% of its usual speed, crosses the platform which is in the length of 450 m, in 18 seconds and train crosses the pole with its usual speed in 12sec. What is the time taken by the train to cross tunnel which is in the length of 500m at a speed of 18kmph? ",3 minutes,3 hr 25 minutes,2 hr 15 minutes,3 hr 45 minutes,c,"Let assume the usual speed of the train X kmph\nThen, 75% of usual speed = 75*x/100 =3x/4\nNow, L /x = 12\nL = 12x\nAgain, (L+450) /(3x/4) =18\n12x+450 = 18*(3x/4)\n450+ 12x = 27x/2\n450+12x = 13.5x\n1.5x = 450\nX = 450/1.5 =675m\nSpeed = 18*(5/18) = 5m/s;\nTime taken = Distance /Speed = 675/5= 135 Seconds\n=> 135/60 min = 2 hr 15 min",,,
,14,"Two pipes can fill a tank with water in 15 and 12 hours respectively and a third pipe can empty it in 4 hours. If the pipes be opened in order at 10, 11 and 1 p.m. respectively, the tank will be emptied at  ",11 : 40 a.m.,12 : 40 p.m.,4.40p.m.,2.40p.m.,c,"Let tank will be emptied in x hrs after 10am \nx/15 + (x-1)/12 – (x-3)/4 =0 \nx = 40/6 = 6 2/3hrs = 6hrs 40min \nThen It will be emptied in 10+6.40=4.40p.m.",,,
,14,"A alone would take 8 hrs more to complete a job than than both A and B would together. If B worked alone, he took 2 hrs more than A and B would together. How many days A and B together can do it.  ",6,10,4,15,c,"let A and B work together is x. then A=x+8, B=x+2 \nThen x=(x+8)(x+2)/(x+8)+(x+2) \nx = [x^2 + 10x + 16]/(2x+10) \n ==>2x^2 + 10x = x^2 + 10x + 16 \nx^2 = 16 ==>x=4",,,
,14,"X takes 4 days to complete one-third of a job. Y takes 3 days to complete one-sixth of the job and Z takes 5 days to complete half the job. If all of them work together for 3 days and X and Z quit, how long will it take for Y to complete the remaining work done.",6,5 1/10,4 2/3,7,b,"X one day work 1/12 \nY one day work 1/18 \nZ one day work 1/10 \nLet Y take n days to complete remaining work then \n3/12 +3/18+ 3/10+n/18=1 \nn/18= 1-1/4-1/6-3/10 \nn/18=17/60 \nn= (17*18)/60=5 1/10 days.",,,
,14,"A camp was organized for 20 men. The food given to them can last for 40 days. After 25 days, 5 men left the camp. Find for how many more days, the remaining men can eat remaining food?",10 days,2 days,6 days,5 days,d,"After 25 days, food left for 20 men for 15 days. Now there are 15 men.\nSo 20*15 = 15*x \nSolve, x = 20 days \nSo extra days = 20-15 = 5 days",,,
,14,"In a class of 120, where girls are twice that of boys, Lokesh ranked thirty fifth from the top, if there are 10 girls ahead of Lokesh , how many boys are after him in rank?",20,16,15,25,c,"No of boys = x; No of girls = 2x; \nx+2x = 120 => 3x = 120 \nx (Boys)= 40 ; 2x(Girls) = 80 \nNumber of student behind Lokesh = 120 – 35 = 85 \nNo of girls behind Lokesh = 80 – 10 = 70 \nNo of boys behind Lokesh = 85 – 70 = 15",,,
,14,"Who teaches geology ?",Dr Natrajan,Dr. Zia,Dr. Davar,Dr. Joshi,c,"Dr. Davar teaches geology.","Directions : Read the following information carefully and answer the questions given below it.\nI. Five professors (Dr. Joshi, Dr. Davar, Dr. Natrajan, Dr. Choudhary and Dr. Zia) teach five different subjects (zoology, physics, botany, geology and history) in four universities (Delhi, Gujarat, Mumbai, and Osmania). Do not assume and specific order.\nII. Dr. Choudhary teaches zoology in Mumbai University.\nIII. Dr. Natranjan is neither in Osmania University nor in Delhi University and he teaches neither geology nor history.\nIV. Dr. Zia teaches physics but neither in Mumbai University nor in Osmania University.\nV. Dr. Joshi teaches history in Delhi University.\nVI. Two professors are from Gujarat University.\nVII. One professor teaches only one subject and in one University only",,"explanationImageCsat752.PNG"
,14,"Which university is Dr. Zia from ?",Gujarat,Mumbai,Delhi,Osmania,a,"Dr. Zia is form Gujarat University.",,,
,14,"Who teaches botany ?",Dr. Zia,Dr. Davar,Dr. Joshi,Dr. Natrajan,d,"Dr. Natarajan teaches botany.",,,
,14,"Who is from Osmania University ?",Dr. Natrajan,Dr. Davar,Dr. Joshi,Dr. Zia,b,"Dr. Davar is from Osmania University",,,
,14,"Which of the following combinations is correct ?","Delhi University - Dr. Zia","Dr. Choudhary - geology","Dr. Davar - Mumbai University","Dr. Natrajan - Gujarat University.",d,"Dr. Natranjan - Gujarat University is the correct combination",,,
,14,"If the team is to consist of two male advocates, two lady doctors and one teacher, the members of the team are","A B P Q U","A B P U S","A P R S U", "B E Q R",b,"The made advocates are A and B, lady doctors are P, Q and S ; teachers are E, T and U. Now A and B will be selected. A, P and U have to be together. Now, we have to select one lady doctor more. It can be Q or S. But Q and E have to be together. Since E is not selected, so S will be selected. Thus, the team is A B PU S.","Directions: Read the following information carefully and answer the questions given below it : There are five men A,B,C,D and E and six women P,Q,R,S,T and U.A, B and R are advocates; C,D,P,Q and S are doctors and the rest are teachers. Some teams are to be selected from amongst these eleven persons subject to the following conditions :\n(i)A, P and U have to be together.\n(ii)B cannot go with D or R.\n(iii)E and Q have to be together\n(iv)C and T have to be together.\n(v)D and P cannot go together.\n(vi)C cannot go with Q.",,
,14,"If the team is to consist of one advocate, two doctors, three teaches and C may not go with T, the members of the team are","A E P Q S U","A E P Q T U","B E Q S T U","E Q R S T U",b,"The advocates are A, B are R; doctors are C, D P, Q, S ; teachers are E, T and U. The team consists of 3 teachers i.e. E, T, U. Now A, P and U have to be together. E and Q have to be together. Thus, the team is A E P Q T U.",,,  
,14,"If the team is to consist of one male advocate, one male doctor, one lady doctor and two teachers, the members of the team are :","A C P T U","A D E P T","A D E P U","B C E Q U",a,"The male advocates are A and B ; male doctors are C and D ; lady doctors are P, Q and S; teachers are E, T and U. If a selected, P and U will be selected. D and P cannot go together. So, a male doctor C will be selected. C and T have to be together. Thus, the team is A C P T U. If B is selected, D will not be selected. So, male doctor C will be chooses. C and T have to be together. Now, the second teacher to be selected is E or U. But, U cannot go without A. So, E will be selected. E and Q have to be together. Thus, the team can also be B C E Q T.",,,
,14,"If the team is to consist of one advocate, three doctors and one male teacher, the members of the team are:","A D P S U","C D R S T","D E Q R S","D E Q R T",c,"The advocates are A, B and R ; the doctors are C, D P, Q and S; male teachers is E. Clearly, E will be selected. E and Q have to be together. C and Q cannot be together. So, C will not be selected. P also cannot be selected because U is not selected. So, two other doctors D and S will be selected. P is not selected, So A will not be selected. D is selected, so B cannot be selected. Thus, the team is D E Q R S.",,,
,14,"If the team is to consist of two advocates, two doctors, two teachers and not more than three ladies, the members of the team are :","A B C P T U","A C P R T U","A E P Q R T","D C E Q R T",a,"A C P R T U and A E P Q R T are wrong because each of these combinations consist of four ladies. B C E Q R T is correct because B and R cannot to gather.",,,
