question_id,test_id,Questions,OptionA,OptionB,OptionC,OptionD,Answer,Explanation,paragraph,image,explanationImage
,6,"Consider the following statements regarding Social reformist in British India\n1. Rammohun Roy founded a reform association known as the Brahmo Sabha\n2. Rammohun Roy was keen to spread the knowledge of Western education in the country\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,C,"Class – 8 -  – Book Name – Our past-3– Page No. 110.\nExplanation:\nOne such reformer was Raja Rammohun Roy (1772-1833). He founded a reform association known as the Brahmo Sabha (later known as the Brahmo Samaj) in Calcutta. People such as Rammohun Roy are described as reformers because they felt that changes were necessary in society, and unjust practices needed to be done away with. They thought that the best way to ensure such changes was by persuading people to give up old practices and adopt a new way of life.\nRammohun Roy was keen to spread the knowledge of Western education in the country and bring about greater freedom and equality for women. He wrote about the way women were forced to bear the burden of domestic work, confined to the home and the kitchen, and not allowed to move out and become educated",,,
,6,"Consider the following statements regarding Women Reformist in British India\n1. TarabaiShinde, a woman educated at home at Poona, published a book, Stripurushtulna, criticizing the social differences between men and women\n2. PanditaRamabai, a great scholar of Sanskrit, felt that Hinduism was oppressive towards women, and wrote a book about the miserable lives of upper-caste Hindu women\nWhich of the statements given above is/are incorrect?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,D,"Class – 8 -  – Book Name – Our past-3– Page No. 113.\nExplanation:\n Many women began to write and publish their critical views on the place of women in society. Tarabai Shinde, a woman educated at home at Poona, published a book, Stripurushtulna, (A Comparison between Women and Men), criticizing the social differences between men and women. PanditaRamabai, a great scholar of Sanskrit, felt that Hinduism was oppressive towards women, and wrote a book about the miserable lives of upper-caste Hindu women.",,,
,6,"Consider the following statements regarding Visual arts in British India \n1. National artists felt that a genuine Indian style of painting had to draw inspiration from non-Western art traditions, and try to capture the spiritual essence of the East.\n2. RaviVarma was a national artist\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,A,"Class – 8 -  – Book Name – Our past-3– Page No. 137.\nExplanation:\n In Bengal, a new group of nationalist artists gathered around Abanindranath Tagore (1871-1951), the nephew of Rabindranath Tagore. They rejected the art of Ravi Varma as imitative and westernised, and declared that such a style was unsuitable for depicting the nation’s ancient myths and legends. They felt that a genuine Indian style of painting had to draw inspiration from non-Western art traditions, and try to capture the spiritual essence of the East. So they broke away from the convention of oil painting and the realistic style, and turned for inspiration to medieval Indian traditions of miniature painting and the ancient art of mural",,,
,6,"Consider the following statements\n1. In 1905 Viceroy Curzon partitioned Bengal.\n2. It triggered swadeshi movement\n3. All India Muslim League  opposed the partition of Bengal.\nWhich of the statements given above is/are correct?",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",A,"Class – 8 -  Book Name – Our past-3– Page No. 146\nExplanation:\n In 1905 Viceroy Curzon partitioned Bengal. The Swadeshi movement sought to oppose British rule and encourage the ideas of self-help, swadeshi enterprise, national education, and use of Indian languages.\n All India Muslim League at Dacca in 1906. The League supported the partition of Bengal. It desired separate electorates for Muslims, a demand conceded by the government in1909",,,
,6,"Consider the following statements regarding Universal adult franchise  adopted in 1950: \n1. All Indians above the age of 18 would be allowed to vote in state and national elections in 1950.\n2. In United States, this right had been granted in stages. First only men of property had the vote\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,B,"Class – 8 – Book Name – Our past-3– Page No. 162.\nExplanation:\n One feature of the Constitution was its adoption of universal adult franchise. All Indians above the age of 21 would be allowed to vote in state and national elections. This was a revolutionary step – for never before had Indians been allowed to choose their own leaders. In other countries, such as the United Kingdom and the United States, this right had been granted in stages. First only men of property had the vote. Then men who were educated were also added on. Working-class mengot the vote only after a long struggle. Finally, after a bitter struggle of their own, American and British women were granted the vote. On the other hand, soon after Independence, India chose to grant this right to all its citizens regardless of gender, class or education.",,,
,6,"Consider the following statements \n1. The Permanent Settlement system was introduced by the British to encourage investment in agriculture\n2. The British expected the Permanent Settlement system would help the emergence of a class of yeomen farmers who would be loyal to the Company\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,C,"Class – 12-  – Book Name – Themes in Indian History-3– Page No.258.\nExplanation:\nIn introducing the Permanent Settlement, British officials hoped to resolve the problems they had been facing since the conquest of Bengal. By the 1770s, the rural economy in Bengal was in crisis, with recurrent famines and declining agricultural output. Officials felt that agriculture, trade and the revenue resources of the state could all be developed by encouraging investment in agriculture. This could be done by securing rights of property and permanently fixing the rates of revenue demand. If the revenue demand of the state  as permanently fixed, then the Company could look forward to a regular flow of revenue, while entrepreneurs could feel sure of earning a profit from their investment, since the state would not siphon it off by increasing its claim. The process, officials hoped, would lead to the emergence of a class of yeomen farmers and rich landowners who would have the capital and enterprise to improve agriculture. Nurtured by the British, this class would also be loyal to the Company.",,,
,6,"In the early decades after the Permanent Settlement, zamindars regularly failed to pay the revenue demand and unpaidbalances accumulated. Consider the following reasons:\n1. The revenue demand was very highfrom the British\n2. The revenue was invariable, regardlessof the harvest, and had to be paid punctually\n3. Zamindars lost their power to organize local justice and the local police \nWhich of the statements given above is/are correct?",2 and 3 only,3 and 1 only,1 and 2 only,"1, 2 and 3",D,"Class – 12-  – Book Name – Themes in Indian History-3– Page No.259&260.\nExplanation:\nIn the early decades after the Permanent Settlement, however, zamindars regularly failed to pay the revenue demand and unpaid balances accumulated. The reasons for this failure were various.\nFirst: the initial demands were very high. This was because it was felt that if the demand was fixed for all time to come, the Company would never be able to claim a share of increased income from land when prices rose and cultivation expanded. To minimise this anticipated loss, the Company pegged the revenue demand high, arguing that the burden on zamindars would gradually decline as agricultural production expanded and prices rose.\nSecond: this high demand was imposed in the 1790s, a time when the prices of agricultural produce were depressed, making it difficult for the ryots to pay their dues to the zamindar. \nThird: the revenue was invariable, regardless of the harvest, and had to be paid punctually. In fact, according to the Sunset Law, if payment did not come in by sunset of the specified date, the zamindari was liable to be auctioned. \nFourth: the Permanent Settlement initially limited the power of the zamindar to collect rent from the ryot and manage his zamindari. \nThe Company had recognised the zamindars as important, but it wanted to control and regulate them, subdue their authority and restrict their autonomy.\nThe zamindars troops were disbanded, customs duties abolished, and their cutcheries (courts) brought under the supervision of a Collector appointed by the Company. Zamindars lost their power to organise local justice and the local police. ",,,
,6,"Consider the following statements regarding jotedars who emerged during the Permanent Settlement days in Bengal:\n1. The power of jotedars was more effective than that of zamindars in both urban areas and villages\n2. Like zamindars who often lived in urban areas, jotedars were also located in the urban regions\nWhich of the statements given above is/are correct?",2 only,1 only,Neither 1 nor 2,Both 1 and 2,C,"Class – 12-  – Book Name – Themes in Indian History-3– Page No.261.\nExplanation:\nWhile many zamindars were facing a crisis at the end of the eighteenth century, a group of rich peasants were consolidating their position in the villages. In Francis Buchanan‘s survey of the Dinajpur district in North Bengal we have a vivid description of this class of rich peasants known as jotedars. By the early nineteenth century, jotedars had acquired vast areas of land – sometimes as much as several thousand acres. They controlled local trade as well as money lending, exercising immense power over the poorer cultivators of the region. A large part of their land was cultivated through sharecroppers (adhiyars or bargadars) who brought their own ploughs, laboured in the field, and handed over half the produce to the jotedars after the harvest.\nWithin the villages, the power of jotedars was more effective than that of zamindars. Unlike zamindars who often lived in urban areas, jotedars were located in the villages and exercised direct control over a considerable section of poor villagers. They fiercely resisted efforts by zamindars to increase the jama of the village, prevented zamindari officials from executing their duties, mobilized ryots who were dependent on them, and deliberately delayed payments of revenue to the zamindar. In fact, when the estates of the zamindars were auctioned for failure to make revenue payment, jotedars were often amongst the purchasers.",,,
,6,"In the 1770s the British embarked on a brutal policy of extermination, hunting the Paharias down and killing them. Regarding these Paharis, which of the following statements is correct? .",They were hill folks who lived around the Rajmahal hills ,They are settled cultivators in the hills,They raided the plains where settled agriculturists lived during the years of scarcity ,Both a and c,D,"Class – 12 – Book Name – Themes in Indian History-3– Page No.268.\nExplanation:\nPaharis lived around the Rajmahal hills, subsisting on forest produce and practising shifting cultivation. \nWith their base in the hills, the Paharias regularly raided the plains where settled agriculturists lived. These raids were necessary for survival, particularly in years of scarcity; they were a way of asserting power over settled communities; and they were a means of negotiating political relations with outsiders. The zamindars on the plains had to often purchase peace by paying a regular tribute to the hill chiefs. Traders similarly gave a small amount to the hill folk for permission to use the passes controlled by them.",,,
,6,"Consider the following statements regarding Santhals:\n1. They are original inhabitants of Rajmahal hills\n2. They practiced shifting cultivation\n3. They revolted against zamindars, colonial state by 1850\nWhich of the statements given above is/are correct?",3 only ,"1, 2 and 3",1 and 2 Only ,1 and 3 Only ,A,"Class – 12-  – Book Name – Themes in Indian History-3– Page No.272.\nExplanation:\n The Santhals had begun to come into Bengal around the 1780s. Zamindars hired them to reclaim land and expand cultivation, and British officials invited them to settle in the JangalMahals. Having failed to subdue the Paharias and transform them into settled agriculturists, the British turned to the Santhals. The Paharias refused to cut forests,resisted touching the plough, and continued to beturbulent. The Santhals, by contrast, appeared to be ideal settlers, clearing forests and ploughing the land with vigour. The Santhals were given land and persuaded to settle in the foothills of Rajmahal. By 1832 a large area of land was demarcated as Damin-i-Koh. This was declared to be the land of the Santhals.\n By the 1850s, the Santhals felt that the time had come to rebel against zamindars, moneylenders andthe colonial state, in order to create an ideal world for themselves where they would rule. It was after the Santhal Revolt (1855-56 ) that the SanthalPargana was created, carving out 5,500 square miles from the districts of Bhagalpur and Birbhum.",,,
,6,"Through the nineteenth century, peasants in various parts of India rose in revolt against money lenders and colonial state. What were reasons for the peasants in The Bombay Deccan?\n1. Effect of permanent settlement\n2. Fluctuation in Agricultural prices\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,B,"Class – 12 – Book Name – Themes in Indian History-3– Page No.282.\nExplanation:\n The revenue system that was introduced in the Bombay Deccan came to be known as the ryotwari settlement. Unlike the Bengal system, the revenue was directly settled with the ryot.\n By the 1830s the problem became more severe. Prices of agricultural products fell sharply after 1832 and did not recover for over a decade and a half. This meant a further decline in peasants’ income. At the same time the countryside was devastated by a famine that struck in the years 1832-34.",,,
,6,"Consider the following statements regarding Cotton Boom in India:\n1. American civil war in 1861 led to cut off in cotton supply to British\n2. Britishers expanded cotton production in Deccan by supplyin credit.\n3. Cotton boom lasted even after the end of American civil war\nWhich of the statements given above is/are correct?",2 and 3 only,1 and 3 only,1 and 2 only,"1, 2 and 3",C,"Class – 12 – Book Name – Themes in Indian History-3– Page No.281-283\nExplanation:\n Before the 1860s, three-fourths of raw cotton imports into Britain came from America. When the American Civil War broke out in 1861, a wave of panic spread through cotton circles in Britain. Raw cotton imports from America fell to less than three per cent of the normal, While the American crisis continued, cotton production in the Bombay Deccan expanded. Between 1860 and 1864 cotton acreage doubled. By 1862 over 90 per cent of cotton imports into Britain were coming from India.\n As the Civil War ended, cotton production in America revived and Indian cotton exports to Britain steadily declined.",,,
,6,"Consider the following statements regarding Sepoy Mutiny of 1857: \n1. Proclamations were put up only in Hindi (to reach common man) in the cities calling upon the population, both Hindus and Muslims, to unite, rise and exterminate the firangis\n2. Moneylenders and the rich were the targets of common man who joined the rebellion \nWhich of the statements given above is/are correct?",1 only,Both 1 and 2,2 only,Neither 1 nor 2,C,"Class – 12-  – Book Name – Themes in Indian History-3– Page No.289\nExplanation:\nThe sepoys began their action with a signal: in many places it was the firing of the evening gun or the sounding of the bugle. They first seized the bell of arms and plundered the treasury. They then attacked government buildings – the jail, treasury, telegraph office, record room, bungalows – burning all records. Everything and everybody connected with the white man became a target. Proclamations in Hindi, Urdu and Persian were put up in the cities calling upon the population, both Hindus and Muslims, to unite, rise and exterminate the firangis. \nWhen ordinary people began joining the revolt, the targets of attack widened. In major towns like Lucknow, Kanpur and Bareilly, moneylenders and the rich also became the objects of rebel wrath. Peasants not only saw them as oppressors but also as allies of the British. In most places their houses were looted and destroyed. The mutiny in the sepoy ranks quickly became a rebellion.",,,
,6,"Who among  the following leaders was/were part of the 1857 Sepoy Mutiny?\n1. Gonoo\n2. Shah Mal\n3. BirjisQadr\n4. Kunwar Singh \n5. Nana Sahib \nSelect the correct answer using the codes given below","1, 2 and 3 only","4 and 5 only","1, 2, 4 and 5" ,"1, 2, 3, 4 and 5",D,"Class – 12-  Book Name – Themes in Indian History-3– Page No.292\nExplanation:\nTo fight the British, leadership and organisation were required. For these the rebels sometimes turned to those who had been leaders before the British conquest. One of the first acts of the sepoys of Meerut, as we saw, was to rush to Delhi and appeal to the old Mughal emperor to accept the leadership of the revolt. This acceptance of leadership took its time in coming. \nBahadur Shah‘s first reaction was one of horror and rejection. It was only when some sepoys had moved into the Mughal court within the Red Fort, in defiance of normal court etiquette, that the old emperor, realising he had very few options, agreed to be the nominal leader of the rebellion. Elsewhere, similar scenes were enacted though on a minor scale. In Kanpur, the sepoys and the people of the town gave Nana Sahib, the successor to PeshwaBaji Rao II, no choice save to join the revolt as their leader. In Jhansi, the rani was forced by the popular pressure around her to assume the leadership of the uprising. \nSo was Kunwar Singh, a local zamindar in Arrah in Bihar. In Awadh, where the displacement of the popular NawabWajid Ali Shah and the annexation of the state were still very fresh in the memory of the people, the populace in Lucknow celebrated the fall of British rule by hailing BirjisQadr, the young son of the Nawab, as their leader. Not everywhere were the leaders people of the court – ranis, rajas, nawabs and taluqdars. \nOften the message of rebellion was carried by ordinary men and women and in places by religious men too. From Meerut, there were reports that a fakir had appeared riding on an elephant and that the sepoys were visiting him frequently. In Lucknow, after the annexation of Awadh, there were many religious leaders and self-styled prophets who preached the destruction of British rule. \nElsewhere, local leaders emerged, urging peasants, zamindars and tribals to revolt. Shah Mal mobilised the villagers of parganaBarout in Uttar Pradesh; Gonoo, a tribal cultivator of Singhbhum in Chotanagpur, became a rebel leader of the Koltribals of the region.",,,
,6,"Consider the following statements regarding the causes for the Great revolt 1857:\n1. There was the rumour that the British government had hatched a gigantic conspiracy to destroy the caste and religion of Hindus and Muslims.\n2. People believed reformist policies of British also were one of these conspiracies.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,C,"Class – 12-  – Book Name – Themes in Indian History-3– Page No.294 and 295.\nExplanation:\nThere was the rumour that the British government had hatcheda gigantic conspiracy to destroy the caste and religion of Hindus and Muslims.\nThe rumours in 1857 begin to make sense when seen in the context of the policies the British pursued from the late 1820s. As you know, from that time, under the leadership of Governor General Lord William Bentinck, the British adopted policies aimed at “reforming” Indian society by introducing Western education, Western ideas and Western institutions. With the cooperation of sections of Indian society they set up English-medium schools, colleges and universities which taught Western sciences and the liberal arts. The British established laws to abolish customs like sati (1829) and to permit the remarriage of Hindu widows.",,,
,6,"Consider the following about annexation of Awadh by British in Nineteenth century.\n1. The conquest happened in stages. The Subsidiary Alliance had been imposed on Awadh in 1830.\n2. In 1856 they conquered Awadh on the plea that the region was being misgoverned\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,B,"Class – 12-  – Book Name – Themes in Indian History-3– Page No. 296.\nExplanation:\n The conquest happened in stages. The Subsidiary Alliance had been imposed on Awadh in 1830.In the meantime the British became increasingly interested in acquiring the territory of Awadh. They felt that the soil there was good for producing indigo and cotton, and the region was ideally located to be developed into the principal market of Upper India.\n NawabWajid Ali Shah was dethroned and exiled to Calcutta on the plea that the region was being misgoverned",,,
,6,"Consider the following statements regarding proclamation of rebels in the Great revolt 1857\n1. Repeatedly appealed to all sections of the population, irrespective of their caste and creed.\n2. It completely rejected everything associated with British rule or firangi raj as they called it. \n3. It projects alternative vision of egalitarian society.\nWhich of the above statements is/are correct?",2 and 3 Only,1 and 3 Only,1 and 2 Only,"1, 2 and 3",C,"Class – 12-  – Book Name – Themes in Indian History-3– Page No.301-303\nExplanation:\nThe rebel proclamations in 1857 repeatedly appealed to all sections of the population, irrespective of their caste and creed. Many of the proclamations were issued by Muslim princes or in their names but even these took care to address the sentiments of Hindus. The rebellion was seen as a war in which both Hindus and Muslims had equally to lose orgain.\n It completely rejected everything associated with British rule or firangi raj as they called it. \n Often the rebels deliberately sought to humiliate the elites of a city. In the villages they burnt account books and ransacked moneylenders’ houses. This reflected an attempt to overturn traditional hierarchies, rebel against all oppressors. It presents a glimpse of an alternative vision, perhaps of a more egalitarian society. Such visions were not articulated in the proclamations which sought to unify all social groups in the fight against firangi raj.",,,
,6,"Consider the following about trends in Urbanisation in British period\n1. Increase in Urban population was extremely high\n2. Calcutta, Bombay and Madras grew rapidly and soon became sprawling cities.\nWhich of the above statements is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,B,"Class – 12-  – Book Name – Themes in Indian History-3– Page No. 322.\nExplanation:\n After 1800, urbanisation in India wassluggish. All through the nineteenth century up to the first two decades of the twentieth, the proportion of the urban population to the total population in India was extremely low and had remained stagnant. In the forty years between 1900 and 1940 the urban population increased from about 10 per cent of the total population to about 13 per cent. Beneath this picture of changelessness, there were significant variations in the patterns of urban development in different regions. The smaller towns had little opportunity to grow economically. Calcutta, Bombay and Madras on the other hand grew rapidly and soon became sprawling cities.",,,
,6,"What Were the New Towns Like developed during British period?\n1. Segregation of settlements for Europeans and natives\n2. New urban spaces called civilline were setup in which Indians were lived\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,A,"Class – 12-  – Book Name – Themes in Indian History-3– Page No. 324 and 326.\nExplanation:\nFrom the beginning there were separate quarters for Europeans and Indians, which came to belabelled in contemporary writings as the 'White Town' and 'Black Town' respectively.\nAfter the Revolt of 1857 British attitudes in India were shaped by a constant fear of rebellion. They felt that towns needed to be better defended, and white people had to live in more secure and segregated enclaves, away from the threat of the “natives”. Pasturelands and agricultural fields around the older towns were cleared, and new urban spaces called “Civil Lines” were set up. White people began to live in the Civil Lines.",,,
,6,"Consider the following statements regarding Industrialization:\n1. Two major 'industrial cities': Kanpur, specializing in leather, woolen and cotton textiles, and Jamshedpur, specializing in steel.\n2. India became a modern industrialised country during british era\nWhich of the above statements is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,A,"Class – 12-  – Book Name – Themes in Indian History-3– Page No. 325.\nExplanation:\n Proper “industrial cities”: Kanpur, specialising in leather, woollen and cotton textiles, and Jamshedpur, specialising in steel. India never became a modern industrialised country, since discriminatory colonial policies limited the levels of industrial development. Calcutta, Bombay and Madras grew into large cities, but this did not signify any dramatic economic growth for colonial India as a whole",,,
