question_id,test_id,online_test_question,optionA,optionB,optionC,optionD,answer,explanation,paragraph,image,explanationImage
,"1","Which of the following can be safely inferred from the passage?","India is the biggest spice exporting country in the world.","The rate of consumption of spices is lower in India comparing that with other Asian Nations.","The trade value of spice export may not be a real concern in the future.","The trade value of export of spices will increase if India can produce other varieties of spice in the future.","c","Out of this, India has a significant share of about 48 per cent in terms of quantity and about 43 per cent as far as value is concerneSolution(D)","India produces a wide range of spices. According to the Spice Board of India, at present, the total production in the country is around 3.2 million tonne, and it is estimated to be worth $4 billion. The figures provided by the Spice Board indicate that India is among the largest producers, consumers and exporters of spices in the world. The country produces different varieties of over 65 out of the 109 spices listed by the Indian Standards Institute. The estimated world trade in spices is 1.05 million tonne valued at approximately $2,750 million. Out of this, India has a significant share of about 48 per cent in terms of quantity and about 43 per cent as far as value is concerned.",,
,1,"The most logical corollary from the passage is that ","The marine resources are exploited because of their being reached easily","Marine resources are irreplaceable medicinal ingredients","Marine natural products are generated by irregular metabolic pathways","The value of medicines produced with marine resources is unusually expensive in the market","b","Marine environment is an exceptional store house of novel bioactive natural products, with structural and chemical features generally not found in terrestrial natural products","Ocean represents a source of a varied type of organisms due to the diversified environment offered by different oceanic zones. The enormous ecological resources of the sea have been exploited since ancient times and included the use of marine animals like fish and preparations from algae as the sources of medicine. Fish oils are the classic example of marine-derived product in use since ages. Marine pharmacology is a branch of pharmaceutical sciences which focuses on the substances with active pharmacological properties present in marine species of plants and animals. Marine environment is an exceptional store house of novel bioactive natural products, with structural and chemical features generally not found in terrestrial natural products. The marine organisms also provide a rich source of nutraceuticals and potential candidates for the treatment of several human diseases. The modern day focus of marine pharmacology is on microbes. This includes the discovery of new pharmaceutical candidates from marine microbes. The ocean provides enormous opportunities to discover new compounds as it has more than 13,000 molecules described out of which 3000 are having active properties. Marine natural products are generally secondary metabolites. They are not generated by biological or regular metabolic pathways and have no primary function associated with the development, growth, or propagation of a species.Sixty-three percentage of the new drugs are classified as naturally derived (i.e., modified natural product,unmodified natural product or synthetic compound with a natural product as pharmacophore). Covering the period from 1981 to 2008, around 68% of all the drugs used to curb infection (including antibacterial, antiviral, antiparasitic, and antifungal compounds) and 63% of anti-cancer drugs were naturally derived.",,
,1,"It can be assumed from the last three lines (Covering a period---naturally derived) of the passage that","The demands for medicines produced with marine resources have increased over a period","The drugs used to curb infections are synthesized only with unmodified natural products.","Any deficit in marine resources would hugely affect the pharmaceutical industries.","The increase in the use of natural medicines calls for alternatives","c","Refer to the last line of the passage. ",,,
,1,"Following are the inferences from the passage EXCEPT.","Black holes occupy a larger space in the galaxy to balance the surface pressure.","The mass of black holes largely comprises gas, causing surface level reactions.","The digital survey is a key to further developments in the black hole research.","The massive growth of the black hole has not been limited by time.","a","‘due to all of the gases it sucks in daily that cause lots of friction and heat’Therefore, It does not balance the pressure","The newly-spotted black hole consumes roughly the mass of the Earth's sun in just two days, the researchers wrote in their paper published in the journal arXiv. 'This black hole is growing so rapidly that it's shining thousands of times more brightly than an entire galaxy, due to all of the gases it sucks in daily that cause lots of friction and heat,' said Wolf. Researchers first unearthed the intergalactic beast after it was flagged by the ANU's SkyMapper telescope: a state-of-the-art gizmo tasked with creating a digital survey of over one billion stars and galaxies. They then used info from the European Space Agency's Gaia satellite to determine how far away it is. Wolf added that he didn't know how this super-massive black hole got so big so rapidly in the early days of the universe. But now that scientists are aware of its existence, they can use it to shine a light on nearby galaxies.",,	
,1,"Which of the following is the crucial message intended by the author of the passage? ","The newly spotted black hole has much more mass than the earth’s sun.","The super-massive black hole has superseded spatial limits of other planets. ","Black holes are not to be defined as the objects of similar mass and size.","Wolf’s researches and digital explorations are crucial in the study of black holes","c","Wolf added that he didn't know how this super-massive black hole got so big so  rapidly in the early days of the universe.",,,
,1,"The following are/is the implication/ implications derived from the passage\nI . Indians were physically weak they could not fight against the British.\nII. British exploited the resources in India for paying out plantation workers in Africa. \nIII. During the 19th century, the British heavily exploited the resources in India for their industrial gain. \nIV. The British shipped most of the cotton to England.\n Select the answer choices according to the code.","I and II only ","III and IV only ","Only II","Only III","c","shipped to Africa to pay for slaves to work the plantations just beginning to take root in the New WorlSolution(D) ","Indian cotton was the gasoline for the Industrial Revolution in Britain as well as the accelerator of railway projects in India. Shashi Tharoor has famously remarked that India “paid for its own oppression” under British rule. India has exported cotton and fabrics to Europe since the 16th century — in the process procuring its own slavery and that of Africa.\nHarvard historian Sven Beckert writes in Empire of Cotton, 'What all these European trading companies had in common was that they purchased cotton textiles in India. whence they might be consumed domestically or shipped to Africa to pay for slaves to work the plantations just beginning to take root in the New World. Slaves, after all, could only be gotten by exchanging them for the cottons from India.'\nThe first truly Indian cotton mill is usually attributed to Cowasjee Nanabhai Davar of Bombay Spinning and Weaving Company. Built in Bombay in 1851, it started work in 1854. The very first cotton mills in India, however, were powered by the British. Bowreah Mills was built for £200,000, for 20,000 spindles and 100 looms, and was a pioneering attempt at imperial technology transfer to India.\nThe mill employed European women to teach machine-spinning skills to local workers. In the 1840s, the Mills was in a large complex that “included a cotton twist yarn factory, a rum distillery, a foundry, an oil mill, and a paper mill. There were five steam engines in the complex.” In the 1870s, it had grown to 45,000 spindles. By then, India had 47 mills in operation.",,
,1,"What is the tone of the author in the passage?","Critical and assertive","Impassioned and Critical","Informative","Neutral","a","The tone can be discovered by analyzing a few phrases such as ‘paid for its own oppression’. ",,,
,1,"In the light of the above passage, the art of questioning can be described as ","the base for effective teachers to test the memory of students.","the rational clarifications in an uncontrolled learning environment.","the skill acquired by the students only through teachers.","a purposeful dialogue that motivates the students to think","b","Questions designed to drill for rote answers require little imagination, but mastering the art of questioning teaches students how to think. Therefore, it should be a rational one.","People begin asking questions almost as early as they begin to speak. Questions solicit information for the purpose of understanding something. Everyday questions are different from the questions effective teachers ask, because effective teachers formulate questions with an eye to increasing someone else’s understanding. Questions designed to drill for rote answers require little imagination, but mastering the art of questioning teaches students how to think. Purposeful dialogue is like a dance between the teacher and student. Lesson plans should take into consideration the importance of questioning in teaching",,
,1,"With reference to the above passage, the following assumptions have been made \n1.	When one begins to speak, one also learns how to ask effective questions for a better understanding of something.\n 2.	The lesson plans with questioning skills help students ask individually   exclusive questions for learning new things.\n Which of the assumptions is/are valid?","1 only","2 only","Both 1 and 2","Neither 1 nor 2","b","Refer to the last line of the passage",,,
,1,"Find the least four-digit number which leaves remainders of 7, 8 and 5 respectively when divided by 10, 11 and 12. ", "1017" ,"1027", "1037" , "1097" ,"d","Let the least four digit number be N. Each of the first two divisors exceeds the remainder it leaves by the some value which is 3.\nN = k LCM (10, 11) – 3 = 110k – 3 >= 1000\nLeast possible value of k =10.\nIf k =10, 110k – 3=1097.\nThis leaves a remainder of 5 when divided by 12.\nIf satisfies all the required conditions. N = 1097.",,,
,1,"Find the smallest five-digit number which when divided of 11, 13 and 39 leaves a remainder of 6 in each case","10204","10302","10208", "10308","b","Let the general form of the number be N.\nN = K[LCM (11, 13, 39)] + 6 where K is a natural number =429K + 6\nRequired number has the minimum possible value of K satisfying 429K + 6 > 10000\nK > 23127/429\nMinimum value of K =24\nRequired number =(429) (24) + 6 =10302.",,,
,1,"There are 4 cakes whose weights are 3.6kg, 3.9kg, 4.2kg and 4.5kg. They must be divided into pieces, such that all the pieces have the same weight. If the pieces have the largest possible weight, find the total number of pieces","48","54","64","58","b","Weight of each piece must be maximum and also a factor of 3.6, 3.9, 4.2 and 4.5.\nIt must be the HCF of 3.6, 3.9, 4.2 and 4.5 i.e. 0.3\nTotal number of resulting prices=(3.6+3.9+4.2+4.5)/0.3 = 54."
,1,"Find the smallest number that leaves a remainder of 4 on division by 5, 5 on division by 6, 6 on division by 7, 7 on division by 8 and 8 on division by 9?","2519","5039","1079","979","a","LCM (5, 6, 7, 8, 9) - 1 = 2519.",,,
,1,"How many pairs of positive integers x, y exist such that HCF of x, y = 35 and sum of x and y = 1085?","12","8","15","30","c","Let HCF of (x, y) be h. Then we can write x = h * a and y = h * b. Furthermore, note that HCF (a, b) = 1. This is a very important property. One that seems obvious when it is mentioned but a property a number of people overlook.\nSo, we can write x = 35a; y = 35b\nx + y = 1085 >= 35(a + b) = 1085. => (a + b) = 31. We need to find pairs of co-prime integers that add up to 31. (Another way of looking at it is to find out integers less than 31 those are co-prime with it or phi(31) as had mentioned. More on this wonderful function in another post).\nSince 31 is prime. All pairs of integers that add up to 31 will be co-prime to each other. Or, there are totally 15 pairs that satisfy this condition.",,,
,1,"How many three-digit numbers are divisible by 5, 6 and 8?","4","7","8","9","c","A number divisible by 5, 6 and 8 always divisible by LCM (5, 6, 8) i.e. 120.\nThe three-digit multiples of 120 are 120, 240, 360, 480, 600, 720, 840 and 960.",,,
,1,"A natural number leaves a remainder of 4 when divided by 6 and leaves a remainder of 6 when divided by 8. Find the largest three-digit number satisfying the given conditions","972","982","962","992","b","By LCM model 2, least value of the natural number\n= KLCM (6, 8) -2 = 24K -2\nThe largest three-number must satisfy.\n24K – 2 < 1000 and K must have the largest possible value.\nK < 501/12 =413/4\nLargest possible value of K = 41\nLargest number = (24)(41) – 2 = 982",,,
,1,"Find the sum of the remainders obtained when a number n is divided by 9 and 7 successively given that n is the smallest number that leaves remainders of 4, 6 and 9 when divided successively by 13, 11 and 15.","4","5","9","6","d","The smallest number ‘n’ which when divided by 13, 11 and 15 successively leaves remainders of 4, 6 and 9 is obtained as shown below. \n13	11	15 \n4	6	9 \nAs shown, the divisors are in the order of which division is carried out and their respective remainder is written below. Since we want to the minimum value of 11, we take the last quotient as 0. So, we can ignore the last divisor i.e. 15. We start with the last remainder. We multiply it with its previous divisor and add the previous  remainder. We multiply the result of this operation with the previous divisor and add it to the previous remainder. We carry on with this procedure until we have no more divisors and no more remainders left. \nHence the number is (9 x 11 + 6) x 13 _ 4 =1369.\nThe quotient and remainder when 1369 is divided by 9 are 152 and 1 respectively. The quotient and remainder when 152 is divided by 7 are 21 and 5 respectively, sum of the remainders is 1 + 5 = 6.",,,
,1,"A number when divided by a certain divisor leaves a remainder of 13. When thrice the number is divided by the same divisor, the remainder is 2. Find the divisor.","37","23","31","29","a","Let the number be N. \nLet the divisor be D. \nLet the quotient when N is divided by D be Q \nN = QD + 13 \n3N = 3QD + 39 = D(3Q +37/D) + 2 \n3Q + 37/D must be a natural number \nD must be a factor of 37.",
,1,"Four runners start running simultaneously from a point on a circular track and take 400 seconds, 300 seconds, 200 seconds and 150 seconds respectively to complete one revolution. How long will they take to meet at the starting point?","10 minutes","12 minutes","17/2 minutes","20 minutes","d","Time taken by the four runners to meet at the starting point for the first time = [L.C.M. (400, 300, 200, 150)] seconds =1200 seconds = 20 minutes",,,
,1,"The passage focuses on ","proving that more voters turn out to vote from rural areas ","declaring that India is primarily a rural democracy.","explaining why the number of voters is estimated to be fewer in urban  areas.","bringing out the importance of data in estimating the voters’ turnouts both in rural and urban areas.","c","Refer to first and last lines of the passage"," India has often been perceived as primarily a rural democracy, with 69% of its population inhabiting rural areas. Kanchan Chandra and Alan Potter contest this claim by pointing out the empirical errors that resulted in the estimation that urban voter turnout is less than that of rural India. They also argue that when taken at face value, the data only tells us about metropolitan India, and do not take into account small towns. ",,
,1,"Which of the following is the most logical inference that can be made from the above passage?","Domestic industries were empowered with the liberal policies of the Government.","Before the Liberalization Policy of 1991, there were only a few a industries.","Domestic industrial development gets standardized when the industries have reasonable global interactions.","International competitiveness of domestic industries is possible only if there is a free flow of capital goods from various countries.","c","Under the liberalization policy of 1991,through quantitative  restrictions on imports as well as high tariff rates","Structural reform policies are long-term policies that attempt to improve the overall economic condition by increasing the international competitiveness and removing the rigidities and other restraining obstacles. Under the liberalization policy of 1991, there were many changes in the areas of licensing and procedures, import of technology, import of capital goods coupled with a reasonable rate of public investment and almost total protection to domestic industries from international competition through quantitative restrictions on imports as well as high tariff rates.",,
,1,"Which of the following is the essential message conveyed by the passage?","Both the genders are treated equally and not discriminated at all in organizations. ","The work allocation systems in Organizations do not affect the gender equality.","Differences emerge in organizations mainly because of absenteeism in some departments. ","Society emphasizes gender differences as women are not as abled in work as men.","d","Refer to the last line of the passage (The Example). ","Research proves that men and women both stand equal in terms of job performance and mental abilities; however, society still emphasizes differences between the two genders. Absenteeism is one area in an organization where differences are found as women are considered to be the primary caregiver for children. A factor that might influence work allocation and evaluation in an organization is the manager’s perception and personal values. For example:An organization encourages both genders to work efficiently towards the company’s goal and no special promotion or demotion is given or tolerated for any specific gender.",,
,1,"Which of the following assumption cannot be made from the above passage? ","Social perceptions have to change to establish gender equality everywhere.","Individual decisions in organizations are not influenced by social compulsions"," Women’s roles are vital to the development of organizations.","Organizations tend to be neutral in treating both the genders. ","b","A factor that might influence work allocation and evaluation in an organization is the manager’s perception and personal values. ",,,
,1,"Which of the following is the most possible inference from the passage?","The conservation of ecosystem is not likely to be realized if the environmentalists lack commitment for working together with Economists.","Monetizing the ecosystem is determined by the economic condition of a country. ","Depletion of natural resources has become a major issue which has to be addressed with apt vision.","Environmental issues, if brought to the knowledge of people, could be resolved without any impasse. ","c","Concern about the depletion …. has not translated into significant conservational progress","The argument for “monetizing”—or putting a monetary value on—ecosystem functions may be stated thus: Concern about the depletion of natural resources is widespread, but this concern, in the absence of an economic argument for conservation, has not translated into significant conservational progress. Some critics blame this impasse on environmentalists, whom they believe fail to address the economic issues of environmental degradation.",,
,1,"It can be concluded from the passage that","coral reefs are most complex organisms in marine ecosystems. ","coral reefs have well- equipped bodily mechanism that supports  their survival.","coral reefs grow prolifically without any nutrients and metabolic changes. ","the hosts living around the reefs are independent organisms, living without the support of any other organisms. ","b","Symbiotic cells of algae known as zooxanthellae carry out photosynthesis using the metabolic wastes of the coral thereby producing food for themselves","Coral reefs are one of the most fragile, biologically complex, and diverse marine ecosystems on Earth. This ecosystem is one of the fascinating paradoxes of the biosphere: how do clear, and thus nutrient-poor, waters support such prolific and productive communities? Part of the answer lies within the tissues of the corals themselves. Symbiotic cells of algae known as zooxanthellae carry out photosynthesis using the metabolic wastes of the coral thereby producing food for themselves, for their corals, hosts, and even for other members of the reef community. This symbiotic process allows organisms in the reef community to use sparse nutrient resources efficiently",,
,1,"How many factors of 1080 are perfect squares?","4","6","8","5","a","1080 = 2<super>3</super> * 3<super>3</super> * 5. For any perfect square, all the powers of the primes have to be even numbers. So, if the factor is of the form 2<super>a</super> * 3<super>b</super> * 5c.\nThe values 'a' can take are 0 and 2, b can take are 0 and 2, and c can take the value 0.\nTotally there are 4 possibilities. 1, 4, 9, and 36.",,,
,1,"A number when successively divided by 5, 4 and 3 leaves remainders of 4, 3 and 2 respectively. Find the second smallest number satisfying this condition.","119","109","129","139","a","Let the second smallest number satisfying the condition be N. \nDivisors: 	5 4 3 \nRemainders :	4 3 2 \nSmallest number – 5[(2) (4) + 3] + 4 =59 \nN = (5)(4) (3) + 59 = 119.",,,
,1,"Raju has certain number (less than 1000) of chocolates with him. If he distributes them equally among a group of 12 or 15 or 18 children, he would be left  with 1 chocolate in each case. If he distributes the chocolates equally among 19 children he would be left with no chocolates. How many chocolates does Raju have?","52","181","551","361","d","Let the number of chocolates with Raju be N.\nN = L.C.M. (12, 15, 18) k1 + 1 = 180k1 + 1=19k2 i.e. a multiple of 19 where k2 is a constant. The numbers of the form 180k1 + 1 less than 1000 are 1, 181, 361, 54, 721 and 901. Of those only 361 is divisible by 19",,,
,1,"When a three-digit number divides 67588 and 63424, it leaves the same remainder in both cases. Find the least possible value of the three digit number.","101","231","347","301","c","Let the three-digit number be N. Let the common remainder when 67588 and 63424 are divided by N let. 67588 = Na + r and 63424 = Nb + r where a and b are the respective quotients when N divides 67588 and 63424. Subtracting the second equation form the first 4164 = 12 x 347 = N(a-b). \nAs 347 is a prime number, N must be 347, N would have been either 694 or as 6 x 694 or 12 x 347, N would have been either 694 or 347).",,,
,1,"Numbers A, B, C and D have 16, 28, 30 and 27 factors. Which of these could be a perfect cube?","A and B","B and C","A, B and C","B and D" , "a","Any number of the form p<super>a</super>q<super>b</super>r<super>c</super> will have (a + 1) (b + 1) (c + 1) factors, where p, q, r are prime. In order for the number to be a perfect cube a, b, c will have to be multiples of 3.\nWe can assume that a = 3m, b = 3n, c = 3l.\nThis tells us that the number of factors will have to be of the form (3n + 1) * (3m + 1) * (3l + 1). In other words (a + 1), (b + 1) and (c + 1) all leave a remainder of 1 on division by 3. So, the product of these three numbers should also leave a remainder of 1 on division by 3. Of the four numbers provided, 16 and 28 can be written in this form, the other two cannot..\nSo, a perfect cube can have 16 or 28 factors. Now, let us think about what kind of numbers will have 16 factors..\nA number of the form p1<super>5</super> or q<super>3</super>r<super>3</super> will have exactly 16 factors. Both are perfect cubes. Note that there are other prime factorizations possible that can have exactly 16 factors. But these two forms are perfect cubes, which is what we are interested in.\nSimilarly, a number of the form p<super>27</super> or q<super>3</super>r<super>6</super> will have 28 factors. Both are perfect cubes.",,,
,1,"A 107 digit number is formed by writing first 58 natural numbers next to each other. Find the remainder when number is divided by 8.","6","10","4","9","a","To find remainder by 8, we only divide the number formed by the last 3 digit by 8. The last 3 digits would give the number 758. The remainder when 758 is divided by 8 = 6",,,
,1,"If a three digit number ‘abc’ has 3 factors, how many factors does the 6-digit number ‘abcabc’ have?","16 factors","24 factors","16 or 24 factors","20 factors","c","‘abc’ has exactly 3 factors, so ‘abc’ should be square of a prime number. (This is an important inference, please remember this).\nAny number of the form paqbrc will have (a + 1) (b + 1) (c + 1) factors, where p, q, r are prime. So, if a number has 3 factors, its prime factorization has to be p2.\n‘abcabc’ = ‘abc’ * 1001 or abc * 7 * 11 * 13 (again, this is a critical idea to remember)\nNow, ‘abc’ has to be square of a prime number. It can be either 121 or 169 (square of either 11 or 13) or it can be the square of some other prime number.\nWhen abc = 121 or 169, then ‘abcabc’ is of the form p3q1r1 1, which should have 4 * 2 * 2 = 16 factors.\nWhen ‘abc’ = square of any other prime number (say 172 which is 289) , then ‘abcabc’ is of the form p1q1r1s2 , which should have 2 * 2 * 2 * 3 = 24 factors\nSo, ‘abcabc’ will have either 16 factors or 24 factors.",,,
,1,"Sum of two numbers x, y = 1050. What is the maximum value of the HCF between x and y?","350","700","1050","525","a","x = 525 y = 525.  Maximum value of HCF is 525.\nIf the question states x, y have to be distinct, then the best solution would be x = 350, y = 700, HCF = 350.",,,
,1,"How many different integral values are possible for the breadth of a rectangle whose area is 120 square centimetres?","6","12","10","8","d","120 = 3<super>1</super> x 2<super>3</super> x 5<super>1</super>\nThe different number of rectangles= Number of ways 120 cm can be represents as a product of two number is\n1/2[(3 + 1)(1 + 1) (1 + 1)]\n1/2 x 4  x 2 + 2 = 8 ways",,,
,1,"If 3x + 4y = 14 and xy = 2, find the value of 27x<super>3</super> + 64y<super>3</super>","1540","1730","1736","1389","c","3x + 4y = 14. Cubing both the sides\n27x<super>3</super> + 64y<super>3</super> + 3 x 3x x 4y (3x + 4y) = 143 [ (a + b)3 = a3 + b3+ 3ab (a + b)] \n27x<super>3</super> + 64y<super>3</super> + 36xy (3x + 4y) = 2744 \n27x<super>3</super> + 64y<super>3</super> + 36 (2) (14) = 2744 \n27x<super>3</super> + 64y<super>3</super> + 1008 = 2744 \n27x<super>3</super> + 64y<super>3</super> = 2744 – 1008 = 1736",,,
,1,"Find the odd one from the following","Fish","Snake","Crocodile","Whale","d","All except whale lay eggs",,,
,1,"How many people like both Dancing and Singing but not driving","12","30","42","None","a","From the figure we can say that there are 12 people belonging to in such category","Directions: In the diagram given below the triangle represents people who like driving, the square represents people who enjoy singing while the rectangle represents people who like painting, the circle represents people who like dancing. Answer the questions based on the following diagram the figures written in the diagram show the number of persons belonging to that category","question47.PNG",
,1,"How many people like painting and driving","12","45","43","70","d","From the figure we can say that there are 70 people like painting and driving.",,,
,1,"From the figure we can say that there are 70 people who like painting and driving In a class of 50 students, everyone can take either Maths or Biology or both, 40 take Maths, 12 take both, then how many took Biology only?","22 students","12 students","10 students","18 students","c","Using, Venn diagram, we have\nLet x students took Biology and x – 12 look only Maths.\n28 + 12 + x – 12 = 50 or x = 22.\nStudents who took only Biology = 22 – 12 = 10",,,"explanation49.PNG"
,1,"Find the odd image:","A)","B)","C)","D)","d","Except option D all are made by three lines",,"question50.PNG",
,1,"What is the minimum number of straight lines required to make the given figure?","12","15","14","13","d","The horizontal lines are IJ, AB, EF, MN, HG, DC and LK\nThe vertical lines are AD, EH, IL, FG, BC and JK \nTotal 13",,"question51.PNG","explanation51.PNG"
,1,"What is the mirror image of the following image?","a","b","c","d","a","By observation",,,
,1,"Identify which among the pieces given below will not be required to complete the triangular pattern shown below.","q","r","s","t","a","From observation q is not required to complete the pattern",,,
,1,"7, 15,28, 59, 114, (?)","243","233","213","223","b","7 × 2 + 1 = 15\n15 × 2 – 2 = 28\n28 × 2 + 3 = 59\n59 × 2 – 4 = 114\n114 × 2 + 5 =233" ,,,
,1,"Find the incorrect number in the following series\n1,1, 3, 9, 6, 36, 10, 100, 16, 225","225","16","10","9","b","1 + 2 -> 3\n3 + 3 -> 6\n6 + 4 -> 10\n10 + 5 -> 15",,,
,1,"The impressionist painters are generally understood as artists who","reject any definitive philosophy imposed on their works.","developed a peculiar and complex philosophy of understanding the world.","introduced artistic works similar to those of Greeks.","opposed the Greeks’ idea of endowing abstract qualities with bodies","b","Refer to the first line of the passage which says impressionists have philosophy but a complex one","  The impressionist painters expressly disavowed any interest in philosophy, yet their new approach to art had far-reaching philosophical implications. For the view of matter that the Impressionists assumed differed profoundly from the view that had previously prevailed among artists. This view helped to unify the artistic works created in the new style. The ancient Greeks had conceived of the world in concrete terms, even endowing abstract qualities with bodies. This Greek view of matter persisted, so far as painting was concerned, into the nineteenth century. The Impressionists, on the other hand, viewed light, not matter, as the ultimate visual reality. The philosopher Taine expressed the Impressionist view of things when he said, 'The chief ‘person’ in a picture is the light in which everything is bathed.'",,
,1,"Which of the following inference can be made from the last line (The chief---- is bathed) of the passage? ","Impressionists believe that any asymmetrical painting lacks perfection and attraction. ","The background of a picture has to be more colourful than the picture itself.","A good painting is to attract the viewers in no time.","Visual reality of any painting lies in as to how long a viewer observes the painting. ","c","Refer to the last line of the passage which talks light a significant visual aid for viewing impressionists works",,,
,1,"The author is most likely to agree that","Demands for some products are not influenced by the rate of their consumption." ,"Some products are produced in order to increase the demand for other products. ","Decrease in the demands for one product is positively related to the decrease in the rate of inflation","Some of the products create fluctuations in supply chain system","a","Refer to the second line of the passage. Demand  for one product is dependent on an another product","Demand levels for some categories of products are closely interdependent. When one type of a product can serve as a complement for another product, the levels of demand for these goods are positively related. An increase in the demand for one product usually increases the demand for its complementary product. Similarly, a decrease in the demand for one good causes a decrease in the demand for its complementary product.",,
,1,"Which of the following is the most logical inference from the given passage? ","College life is not as liberal in terms of making choices as school life. ","Schools may have a closely controlled academic system but colleges offer academic choices and judicious freedom.","Students in colleges will feel the limits of their freedom if they ask questions to Faculty. ","The ability to convert the liberal environment into a productive one is a difficult task for students in colleges","b","it does not give unrestricted freedom to do anything, for instance, one can choose the specializations………( Choices are more not freedom). ","The common perception that college life is a respite from the rigorous and strenuous school life is hardly realistic, for the Higher Education has only more choices than the School Education has, but it does not give unrestricted freedom to do anything, for instance, one can choose the specializations, electives, and topics for seminars without any intervention in colleges. In addition, some of the colleges give freedom to students to choose their instructors, class timings, and, more often than not, the autonomy to ask questions and logically dispute with faculty members. Students should use this freedom only to explore their careers. Hence, they should not see the wood for the trees- they should be more responsible than liberal.",,
,1,"What is the tone of the author in the above passage?","Cynical","Emphatic","Critical","Exaggerating","c","Critical (Neutrally discusses the pros and cons).",,,
