question_id,test_id,question,optionA,optionB,optionC,optionD,answer,explanation,paragraph,image,explanationImage
,7,"A tank has 3 pipes, P, Q and R. P and Q can fill it in 8 hours and 6 hours respectively. R can empty it in 10 hours. P, Q and R were opened respectively at 6 a.m., 8 a.m., and 10 a.m. on a certain day. By what time will the tank be filled?",10:21 a.m.,10:34 a.m.,10:52 a.m.,11:08 a.m.,c,"By 10 a.m. P, would have worked for 4 hours, and Q would have worked for 2 hours. The part of the tank filled by P and Q=4 (1/8)+2(1/6)=5/6. Remaining =1/6part.\nThe part of the tank filled by all P, Q and R in 1 hour = 1/8+ 1/6 – 1/10= 7/24- 1/10= 23/120\nThe remaining tank can be filled in  6/23= 20/23hours = (1-3/23) hours.\n=60 min - 180/23min =(60min-8min) =52 min\nThe tank will be filled at 10 : 52 a.m.",,,
,7,"One pipe fills a water tank three times faster than another pipe. If the two pipes together can fill the empty tank in 72 minutes, then how much time will the faster pipe alone take to till the tank?",32 minutes,48 minutes,72 minutes,96 minutes,d,"Let the faster pipe alone can fill the tank in x minutes.\n=the slower pipe alone can fill the tank in 3x minutes\n=1/x+1/3x=1/72=x =96.",,,
,7,"A person speed at a rate of 40 kms per hour. If he increases his speed by 20%, what is his new speed in meter per minute?",800 m/min,780 m/min, 860 m/min,900 m/min,a,"Original speed = 40 kms per hour\nIf the speed is increased by 20%, then the new speed = 120 % of 40 = 48 kms per hour\nThat is, distance covered in 1 hour = 48 kms\n(or) Distance covered in 60 minutes = 48000 meters\n(or) Distance covered in 1 minute = 800 meters\nHence, the speed = 800 meters per minute",,,
,7,"A person can travel at the speed of 40 miles per hour. If he increases his speed by 50%, how long will he take to cover 330 miles?",4 hr 40 mins,5 hr 15 mins,4 hr 20 mins,5 hr 30 mins,d,"Original speed = 40 miles per hour\nIf the speed is increased by 50%,then the new speed = 150 % of 40 = 60 miles per hour\nDistance to be covered = 330 miles\nTime = Distance / Speed\nTime = 330 / 60\nTime = 5.5 hours or 5 hours 30 minutes",,,
,7,"A person travels 50 kms per hour. If he increased his speed by 10 kms per hour, how many minutes will he take to cover 7500 meters?",8 minutes,7 mins 30 sec,9 minutes,10 mins 30 sec,b,"Speed = 50 kms per hour\nif the speed is increased by 10 kms per hour, then the new speed = 60 kms per hour\nSo, distance covered in 1 hour = 60 kms Then, distance covered in 60 minutes = 60000 meters\nDistance covered in 1 minute = 1000 meters\nThen new speed = 1000 meter per minute\nDistance to be covered = 7500 meters\nTime = Distance / Speed = 7500 / 1000\nTime = 7.5 minutes or 7 minutes 30 seconds",,,
,7,"A person travels at the rate of 60 miles per hour and covers 300 miles in 5 hours. If he reduces his speed by 10 miles per hour, how long will he take to cover the same distance ?",4 hours,6 hours,6 hours 30 mins,5 hour 30 mins,b,"Original speed = 60 miles per hour.\nIf the speed is reduced by 10 miles per hour, then the new speed = 50 miles per hour\nDistance to be covered = 300 miles\nTime = Distance / Speed\nTime = 300 / 50\nTime = 6 hours",,,
,7,"A person covers 90 kms in 2 hours 30 minutes. Find the speed in meter per second",10 m/s,12 m/s,15 m/s,16 m/s,a,"90 kms = 90x1000 = 90000 meters\n2 hours 30 minutes = 150 min = 150x60 = 9000 seconds\nSpeed = Distance / Time\nSpeed = 90000 / 9000\nSpeed = 10 meter per second",,,
,7,"According the author, ‘the pattern of economic growth’ means","a comprehensive and well monitored growth that has made equitable impacts.","the economic growth which has not attracted new investments. ","the pattern of growth that has not created many jobs in manufacturing industries.","the economic growth achieved, pending the implementations of welfare programmes.",b,"The fear that India will have a problem if it does not change its approach is founded on evidence that, though India’s growth in GDP, on average has been impressive since its economic reforms since the 1990, India seems to create fewer jobs with every per cent" ,"The government of India is seized of the imperative to create employment opportunities for its youth, through its Skills Development Mission to skill up 500 million persons, and to ‘Make in India’. With China gradually vacating its factories for the world, with rising Chinese wages and an appreciating yuan, and also with its internal demographic challenge of too few young people, India has an opportunity it must seize to become a viable factory for the world. The fear is that India will not be able to do this unless it changes its pattern of economic growth, and unless it adopts better approaches to implementation of its well-intentioned programs. The fear that India will have a problem if it does not change its approach is founded on evidence that, though India’s growth in GDP, on average has been impressive since its economic reforms since the 1990, India seems to create fewer jobs with every per cent increase in GDP than other developing countries do. This is a finding of the Boston Consulting Group’s Sustainable Economic Development Assessment analysis of international comparisons, for example, and it is supported by others’ analyses too. ",,
,7,"The author alludes to the rising Chinese wages because ",India has taken over China in terms of offering hefty packages to its factory workers.,China is being heavily affected by the continuous rise in the wages as there are more skilled workers. ,India has to come out with better approaches to compete with Chinese industries. ,India can manage to pay  reasonable salaries to its workers without creating a vast inequality in the waging system,d,"India has an opportunity it must seize to become a viable factory for the world",,,
,7,"It can be assumed from the passage",employment creation is also the part of sustainable economic development.,Economic reforms are necessary to achieve higher GDP rates. ,Economic growth could be estimated to be higher barring the amount of total investments in the respective year,India would create more jobs if the GDP has a steady growth for next few years.,c,"on average has been impressive since its economic reforms since the 1990, India seems to create fewer jobs with every per cent increase in GDP than other developing countries do",,,
,7,"The term ‘sanctuary’ in the passage denotes",A refuge ,An asylum ,A profession ,A school ,c,"teaching became the sanctuary of the incompetent. (Teaching is a profession)","For way too long teaching became the sanctuary of the incompetent. Teaching jobs are until today widely regarded as safe, well-paying, risk-free and low-pressure jobs. Once a teacher told me in high school 'Well, if you guys don’t study it is entirely your loss – I will get my salary at the end of the month anyway.' He could not put across the lack of incentive for being good at teaching any better. Thousands of terrible teachers all over India are wasting valuable time of young children every day all over India. It is high time to encourage a breed of superstar teachers. The internet has created this possibility – the performance of a teacher now need not be restricted to a small classroom. Now the performance of a teacher can be opened up for the world to see. The better teacher will be more popular, and acquire more students. That’s the way of the future. Read here about why I think that we are closing on to the age of rockstar teachers. We need leaders, entrepreneurs in teaching positions, not salaried people trying to hold on to their mantle. ",,
,7,"According to the passage, that teachers",have restricted space and they are not able to prove themselves. ,	can easily hide their incompetence with the help of internet. ,	performance is more transparent now. , are always open up to the whole world to become popular.,c,"Now the performance of a teacher can be opened up for the world to see.",,,
,7,"It can be assumed from the passage ",that students hate incompetent teachers. ,that teachers could perform well when they have many students.,good teachers could create a big fan base. ,leaders and entrepreneurs could attract many students with their skills.,d,"The better teacher will be more popular, and acquire more students……….\nWe need leaders, entrepreneurs in teaching positions, not salaried people trying to hold on to their mantle. " ,,,
,7,"A person travels at a speed of 60 kms per hour. Then how many meters can he travel in 5 minutes?",4000m,4500m,4800m,5000m,d,"The speed is 60 kms per hour.\nThe distance covered in 1 hour = 60 kms or 60000 meters\nThat is, the distance covered in 60 min = 60000/60 = 1000 m\nThen, the distance covered in 5 minutes is = 1000x5 = 5000 meter",,,
,7,"Vikas can cover a distance in 1hr 24min by covering 2/3 of the distance at 4 kmph and the rest at 5kmph.the total distance is?",6.5km,8km,5km,6km,d,"Let total distance be S,  total time=1hr24min\nA to T :: speed=4kmph,  distance=2/3S \nT to S :: speed=5km distance=1-2/3S=1/3S \n21/15 hr=2/3 S/4 + 1/3s /5 \n84=14/3S*3 \nS=84*3/14*3 = 6km",,,
,7,"Walking at 3/4 of his usual speed, a man is late by 2 1/2 hr. The usual time is.",7 1/2,7,6 1/2,6,a,"Usual speed = S 	Usual time = T 	Distance = D\nNew Speed is 3/4 S\nNew time is 4/3 T\n4/3 T – T = 5/2\nT=15/2 = 7 1/2",,,
,7,"A man covers a distance on scooter .had he moved 3kmph faster he would have taken 40 min less. If he had moved 2kmph slower he would have taken 40min more. Then the distance is",60m,40m,50m,42m,b,"Let distance = x m \nUsual rate = y \nkmph x/y – x/y+3 = 40/60 hr \n2y(y+3) = 9x ————–1 \nx/y-2 – x/y = 40/60 hr \ny(y-2) = 3x —————–2 \ndivide 1 & 2 equations by solving we get x = 40",,,
,7,"Excluding stoppages, the speed of the bus is 54kmph and including stoppages, it is 45kmph.for how many min does the bus stop per hr? ",12 minutes,18 minutes,10 minutes,16 minutes,c,"Due to stoppages, it covers 9km less. time taken to cover 9 km is [9/54 *60] min = 10min",,,
,7,"Two boys starting from the same place walk at a rate of 5kmph and 5.5kmph respectively.	what time will they take to be 8.5km apart, if they walk in the same direction",17 hours,16 hours,12 hours,15 hours,a,"The relative speed of the boys = 5.5kmph – 5kmph = 0.5 kmph \nDistance between them is 8.5 km\nTime= 8.5km / 0.5 kmph = 17 hrs",,,
,7,"2 trains starting at the same time from 2 stations 200km apart and going in opposite direction cross each other at a distance of 110km from one of the stations. What is the ratio of their speeds?",9:11,7:9,9:7,11:9,d,"In same time, they cover 110km & 90 km respectively so ratio of their speed =110:90 = 11:9",,,
,7,"Two trains start from A & B and travel towards each other at speed of 50kmph and 60kmph resp. At the time of the meeting the second train has traveled 120km more than the first. The distance between them?",1300km,1320km,1230km,1220km,b,"Let the distance traveled by the first train be x km then distance covered by the second train is x + 120km x/50 = x+120 / 60 x= 600 so the distance between A & B is x + x + 120 = 1320 km",,,
,7,"The author is of the view that Harolodo’s recent work might seem prosaic because","It is not understandable to all and does not inspire anybody easily.","Understanding the deconstructed work of art requires a profound knowledge.","Physics -oriented computer program has numerous formulae. ","It cannot be understood without the basic knowledge of numbers. ",a,"For the romantics among us, physicist Haroldo Ribeiro’s recent work might seem prosaic.","For the romantics among us, physicist Haroldo Ribeiro’s recent work might seem prosaic. He has developed a computer program that deconstructs works of art into sets of numbers. Now Ribeiro has applied his physics-inspired metrics to nearly 140,000 digitized paintings indexed on the visual art encyclopedia WikiArt to look for trends in the evolution of painting styles.\nThe process, described by Ribeiro and his colleagues last September in the Proceedings of the National Academy of Sciences USA, involves assessing the complexity and entropy, or disorder, of these digitized artworks. Complexity is based on the variability of patterns within each image, ranging from highly variable (more complex) to uniform (less complex). Entropy is determined by the degree of chaos in the image; the more 'regular' the painting, the lower the entropy. The new algorithm analyzes two-by-two grids of pixels within each painting and scores them using the two metrics. Ribeiro and his colleagues observed that shifts in the magnitude of complexity and entropy among various paintings mirror stylistic shifts throughout art history. Modern art—with blended edges and loose brushstrokes—generally possesses low complexity and high entropy. Postmodern art, a simpler style with recognizable objects and stark, well-defined edges (for example, Andy Warhol’s soup cans), has high complexity and low entropy. In the late 1960s there was a rapid shift from modern to postmodern art; the algorithm is able to quantify the extremity of this shift. These simple metrics could be used to better understand how art has evolved, capture information about various artistic periods and determine how these periods interacted, the researchers say. By learning from these patterns, the program could even be used to sort lesser-known works of art into specific artistic styles. Maximilian Schich, a professor of arts and technology at University of Texas at Dallas, is in favor of the cross-disciplinary research. 'One thing I think is very elegant in this paper is that they look at the complexity at the local level, the pixels and the surrounding pixels,' Schich says. 'You could say, ‘Yeah, that’s too simple—it doesn’t explain all of the painting.’ But it’s research that is valuable.'",,
,7,The magnitude of complexity ,helps the physicist and his colleagues measure the regularity of paintings. ,is bound by subtleties of many artistic varieties. ,is more irregular in paintings of post modern age. ,is a controlled variable in the metrics assessing various style of arts.,b,"magnitude of complexity and entropy among various paintings mirror stylistic shifts throughout art history.",,,
,7,The utmost utility of the newly developed program lies,in understanding how art has evolved.,in exploring the various artistic periods.  ,in gaining the knowledge of  classifying the styles of unpopular work of arts. ,in understanding  how various arts are manifest the complexities in the culture. ,c," By learning from these patterns, the program could even be used to sort lesser-known works of art into specific artistic styles",,,
,7,"What is the tone of the author in the first paragraph of the passage? ",Bullying,Admonition,Acerbic,Yielding,b,"He warns us of the imminent danger. Therefore, it is admonition. ","Estimates are currently at trillions of pieces and counting, with over 60 percent of the oceans being heavily contaminated with plastics. With each piece of plastic taking over 400 years to degrade, our oceans, all marine life, and even our own health and livelihoods are in real danger of drowning. Despite this and the 8 million tons of plastics entering our ocean each year, researchers can account for only one percent of that ends up: our ocean surface. Where is the missing 99 percent?\nThe answer can be found on the seafloor, in marine life, and on our coastlines. The Zooniverse Plastic Tide citizen science project harnesses drone imagery from a series of beaches and the power of computer programs, or machine learning algorithms for the more technically minded, to eventually create a program that can autodetect, measure and monitor the levels of plastics and marine litter washing up on our beaches. Eventually helping us to track where plastics and litter go in our oceans, revealing where the missing 99 percent is in our ocean goes.\nBy tagging plastics and litter in the images we take with our drone, citizen scientists directly teach our computer program to autodetect, measure and monitor plastics to help researchers answer how much of the missing 99 percent ends up on our beaches. The more you tag, the better the computer program gets at identifying plastics!",, 
,7,"According to the passage, 60 % of ocean is already polluted with plastics ",a.	that mostly settled deep on the ocean bed and are never washed up to the shore. ,of which quantity cannot be calculated without autodetect programs. ,of which major settlements are yet to be detected.,That are mostly litters strewn around the beaches.,c,"Eventually helping us to track where plastics and litter go in our oceans, revealing where the missing 99 percent is in our ocean goes.",,,
,7,"The new computer program",helps people understand how much plastics have been washed up to the shore. ,helps the citizen scientists tag more and more plastics,assists the marine scientist in analyzing how marine lives are affected by pollutants. ,gives people an idea whether the oceans are becoming plastic free. ,d,"………… and monitor plastics to help researchers answer how much of the missing 99 percent ends up on our beaches. The more you tag, the better the computer program gets at identifying plastics!",,,
,7,"Examine the following statements:\nI. I listen to the radio only if I am bored.\nII. I am never bored when I have my sister’s company.\nIII. Whenever I go for shopping I take my sister along.\nWhich one of the following conclusions can be drawn from the above statements?","If I am bored I listen to the radio.","If I am bored, I seek my sister’s company.","If I am not with my sister, then I’ll listen to the radio.","If I am not bored I do not listen to the radio.",d,"The first statement does not state that listening radio is the only thing to do when the person gets bored.\nSimilarly, Option b) and c) are also incorrect.\nOption d) is the logical conclusion that can be drawn from the statements.",,,
,7,"If X walks less fast than Y, and Y walks as fast but not faster than Z; then, as compared to X, Z walks:",slower than X,faster than X,with same speed as X,Given data is not sufficient to determine,b,"From the given information, we get the following.\nZ = Y > X\nZ walks faster than X.",,,
,7,"'In the last T 20 Series, Virat Kohli was in great form and India won the match' is a true statement. Which of the following conclusion is correct?",If Virat Kohli were not in great form in the last ODI India would not have own.,In the last T 20 Series Virat Kohli was in great form.,India did not win the match.,India won the series.,b,"X: In the last T 20 Series Virat Kohli was in great form.\nY: India won the match.\nThen X and Y is true.\n(a) Now if X is not true can we say that Y would be false? No way.\n(b) Surely, X is true otherwise ‘X and Y’ cannot be true.\n(c) Y cannot be false, because ‘X and Y’ is given to be true.\nHence, the statement in C cannot be correct.\n(d) In ‘X and Y’, there is no mention about the series. So this statement in (d) cannot be concluded.",,,
,7,"'In the ensuing Panchayat polls, either OP Dhankar will get a massive mandate or dissidence in Haryana BJP intensify'. This is a True statement.\nWhich of following is not correct?",OP Dhankar got a massive mandate but dissidence in haryana BJP intensified.,Dissidence in Haryana BJP actually faded out.,OP Dhankar did not get a massive mandate in Panchayat polls.,Panchayat polls did not throw up clear results.,a,"Let us name constituent propositions as follows:\nP: In the ensuing Panchayat polls OP Dhankar will get a massive mandate.\nQ: Dissidence in Haryana will intensify.\nIt is given that “Either P or Q” is true.\nWe are looking for an answer choice that is untrue.\n(a) P and Q are both stated to true in this answer choice. This is impossible.\n(b) This statement means that Q proved to be untrue. That is very much possible.\n(c) This means that P did not come true. This is also possible. No contradiction.\n(d) We cannot make any comment about this event. May or may not be true. Hence (a)",,,
,7,"In which direction is Q standing with respect to R?",North-West,North,North-East,Cannot be determined,c,,"Eight persons M through T are standing in such a way that O is 20 m apart from N towards West, N is 30 m South with respect to M. M is 40 m towards West with respect to Q. P is 50 m towards South with respect to Q. R is 15 m apart from S towards North. T is 20 m towards East with respect to S. R is 40 m towards West with respect to P",,"explanationCsat448.PNG"
,7,"If one more person U is standing towards South-West with respect to P, then in which direction is T, standing with respect to U?",South-West,North-East,North-West,Cannot be determined,d,,,,"explanationCsat449.PNG"
,7,"What is the direction of O with respect to S?",North-West,North,West,Cannot be determined,a,,,,"explanationCsat450.PNG"
,7,"A boy is looking for his mother. He went 90 metres in the east before turning to his right. He went 20 metres before turning to his right again to look for his mother at his uncle's place 30 metres from this point. His mother was not there. From here he went 100 metres to his north before meeting his mother in a street. How far did the son meet his mother from the starting point? ",110 m ,100 m ,90 m,240 m,b,,,,"explanationCsat451.PNG"
,7,"If a man walked 3m towards east from point T to reach point U, then what is the distance between point U and starting point?",16m,25m,22m,33m,a,"Distance between U and starting point = 11 + 5 = 16m",,,"explanationCsat452.PNG"
,7,"A person starts from point A, walks 5m towards south and reaches point B. He then turns left and walks 8m and reaches point C. He then takes a right turn and walks 6m. He takes a final right turn and walks 8m to reach point D. What is the distance between point C and D? ",13m,12m,10m,15m,c,"Distance between C and D =SquareRoot(82 +62 ) = SquareRoot(64+36) = SquareRoot(100) = 10m",,,"explanationCsat453.PNG"
,7,"A car started from point P and moves towards east. After moving a distance of 30m, it took a right turn, again after moving 15m, it took a left turn, and again after moving 10m, he took a right turn. Which direction is the car facing now? ",North,South,West,North-west,b,"The car is facing the south direction",,,"explanationCsat454.PNG"
,7,"Mohan walked 30m towards South, took a left turn and walked 15m. He, then took a right turn and walked 20m. He again took a right turn and walked 15m. How far is he from the starting point? "	,95m,50m,70m,Cannot be determined,b,"Required distance = OD =OA + AD = OA + BC =30 + 20 = 50m",,,"explanationCsat455.PNG"
,7,"Two buses start from the opposite points of a main road, 150km apart. The first bus runs for 25 km and takes a right turn and then runs for 15km. It then turns left and runs for another 25km and takes the direction back to reach the main road. In the mean time, due to the minor break down the other bus has run only 35km along the main road. What would be the distance between the two buses at this point? ",65km,80km,75km,85km,a,"Required distance = PQ = 150 – ( 25 + 25 + 35 ) = 65km",,,"explanationCsat456"
,7,"What would be the size of the largest possible team?",8,7,6,5,d,"Out of P, R and S only 1 can be in the team. If S is there, U and W will also be there. So, P and R should not be in the team for its size to be maximum.\nOut of M and Q, only 1 can be there.\nIf L is there in the team, N and U cannot be in the team.\nIf L is not there in the team, then K is also not there in the team but N and U can be in the team.\nSo, the maximum team size is 5 consisting of S, U, W, (M or Q), N.","K, L, M, N, P, Q, R, S, U and W are the only ten members in a department. There is a proposal to form a team from within the members of the department, subject to the following conditions:\ni. A team must include exactly one among P,R and S.\nii. A team must include either M or Q, but not both.\niii. If a team includes K, then it must also include L, and vice versa.\niv. If a team includes one among S, U and W, then it should also include the other two.\nv. L and N cannot be members of the same team.\nvi. L and U cannot be members of the same team.\nvii. The size of a team is defined as the number of members in the team.",,
,7,"Who can be a member of a team of size 5?",K,L,M,P,c,"Out of P, R and S only 1 can be in the team. If S is there, U and W will also be there. So, P and R should not be in the team for its size to be maximum.\nOut of M and Q, only 1 can be there.\nIf L is there in the team, N and U cannot be in the team.\nIf L is not there in the team, then K is also not there in the team but N and U can be in the team.\nSo, the maximum team size is 5 consisting of S, U, W, (M or Q), N.\nSo, M can be a member of team size 5.",,,
,7,"Who cannot be a member of a team of size 3?",L,M,N,P,a,"If L is in the team, the team should include K also. The team should have one among P, R and S and one among M and Q.\nSo, the team size cannot be 3 if L is in the team.",,,
,7,"In how many ways a team can be constituted so that the team includes N?",2,3,4,6,d,"Since N is in the team, L and K cannot be in the team.\nThe team can have one of M and Q. So, 2 ways of selection.\nIf the team has S, then it should have U and W as well.\nIf the team has no S, then it should have one of P or R.\nSo, the number of ways of forming the team is 2*(1+2) = 6 ways",,,
,7,"What could be the size of a team that includes K?",2 or 3,2 or 4,3 or 4,Only 4,d,"A team which has K should have L also.\nSince L is there in the team, N and U should not be there in the team. Since U is not there in the team, S and W should not be there in the team.\nSo, the team will have K, L, one of P and R and one of M or Q.\nSo, the team size can be 4.",,,
,7,"According to the passage, listening is an art ","that can be coded in our genes.","that gives us the knowledge of the world with help of  genetic stimulus.","that helps one in gaining more conscious knowledge. ","that gives one the knowledge to interpret the sound made by bees and birds. ",b,"It is something written in our genes. If we could not listen, we would not have been able to respond to the world around us. ","Listening is more than an art. It is something written in our genes. If we could not listen, we would not have been able to respond to the world around us. From the early morning call of the birds and the hum of bees, to the sound of horns and passing traffic, we are daily taking in sounds that surround us. Yet, we are not fully conscious of these sounds; they remain in the background of our minds.\nSo it is with conversations. As we grow up and develop personalities of our own, we tend to talk more than we listen. We want to be listened to, but will not make the effort to listen to others. That is why there is so much miscommunication in the world.\nWe can learn from those who exercise the power of listening. When others listen to us, they make us feel secure, validated and understood. They accept us the way we are. They make us feel loved and appreciated. I owe much to people who listened to me, really listened. I may have been advised, may have seen a clearer path after being guided, I may have found out and learned some hidden truths about myself. But more than all those benefits, the very act of deep listening by others, has affirmed me in all i did and said",,
,7,"The author says that we tend to talk more as we grow up because ",we speak many irrelevant things without listening to others.,we have less understanding about the power of listening.,we cause a lot of miscommunications in the world.,we do not make efforts to listen to others.,b,"We want to be listened to, but will not make the effort to listen to others. That is why there is so much miscommunication in the world. We can learn from those who exercise the power of listening. ",,,
