question_id,test_id,question,Option A,Option B,Option C,Option D,Answer,Explanation,paragrph,image,explanationImage
,10,India can transform itself into a knowledge-based economy by using which of the following?,Traditional knowledge on agriculture,Industrial sector,Information technology (IT),None of the above,C,"Class – 11 -  – Book Name – Indian Economic Development– Page No. 90Explanation:\n The Indian software industry has been showing an impressive record over the past decade. Entrepreneurs, bureaucrats and politicians are now advancing views about how India can transform itself into a knowledge-based economy by using information technology (IT). There have been some instances of villagers using e-mail which are cited as examples of such transformation. Likewise, e-governance is being projected as the way of the future. The value of IT depends greatly on the existing level of economic development.",,,
,10,"Consider the following statements regarding Agriculture sector in India:\n1.The share of agriculture sector’s contribution to GDP is on a decline.\n2.The population dependent on this sector are decreasing rapidly.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,A,"Class – 11 -  – Book Name – Indian Economic Development– Page No. 101.\nExplanation:\n Although the share of agriculture sector’s contribution to GDP was on a decline, the population dependent on this sector did not show any significant change. Further, after the initiation of reforms, the growth rate of agriculture sector decelerated to 2.3 per cent per annum during the 1990s, which was lower than the earlier years. Scholars identify decline in public investment since 1991 as the major reason for this. They also argue that inadequate infrastructure, lack of alternate employment opportunities in the industry or service sector, increasing casualization of employment etc., further impede rural development.",,,
,10,"Which of the following institutions exist till date in the rural banking institutional framework?\n1. Commercial banks\n2. Rural cooperatives\n3. Regional Rural banks (RRBs)\n4. Land Development banks\nSelect the correct answer using the codes given below","1, 2 and 3 only","2 and 4 only","1 and 3 only","1, 2, 3 and 4",D,"Class – 11 -  – Book Name – Indian Economic Development– Page No. 102.\nExplanation:\n The Green Revolution was a harbinger of major changes in the credit system as it led to the diversification of the portfolio of rural credit towards production oriented lending. The institutional structure of rural banking today consists of a set of multi-agency institutions, namely, commercial banks, regional rural banks (RRBs), cooperatives and land development banks. They are expected to dispense adequate credit at cheaperrates. Recently, Self-HelpGroups (henceforth SHGs) have emerged to fill the gap in the formal credit system because the formal credit delivery mechanism has not only proven inadequate but has also not been fully integrated into the overall rural social and community development.",,,
,10,"Consider the following statements regarding Horticulture in Indian Agriculture.\n 1.The period between 1991-2003 is also called an effort to heralding a ‘Golden Revolution’.\n 2. India has emerged as the largest producer of fruits and vegetables.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,A,"Class – 11 -  – Book Name – Indian Economic Development– Page No. 109.\nExplanation:\n Blessed with a varying climate and soil conditions, India has adopted growing of diverse horticultural crops such as fruits, vegetables, tuber crops, flowers, medicinal and aromatic plants, spices and plantation crops. These crops play a vital role in providing food and nutrition, besides addressing employment concerns. The period between 1991-2003 is also called an effort to heralding a ‘Golden Revolution’ because during this period, the planned investment in horticulture became highly productive and the sector emerged as a sustainable livelihood option. India has emerged as a world leader in producing a variety of fruits like mangoes, bananas, coconuts, cashew nuts and a number of spices and is the second largest producer of fruits and vegetables. Economic condition of many farmers engaged in horticulture has improved and it has become a means of improving livelihood for many unprivileged classes.",,,
,10,"Which of the following would be included in the informal sector of the Indian economy?\n1. Farmers and agricultural labourers\n2. Self-employed people\n3. Owners of Small enterprises\nSelect the correct answer using the codes given below",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",D,"Class – 11 -  – Book Name – Indian Economic Development– Page No. 127.\nExplanation:\n We classify workforce into two categories: workers in formal and informal sectors, which are also referred to as organised and unorganised sectors.\nAll the public sector establishments and those private sector establishments which employ 10 hired workers or more are called formal sector establishments and those who work in such establishments are formal sector workers.\nAll other enterprises and workers working in those enterprises form the informal sector. Thus, informal sector includes millions of farmers, agricultural labourers, owners of small enterprises and people working in those enterprises as also the self-employed who do not have any hired workers. It also includes all non-farm casual wage labourers who work for more than one employer such as construction workers and headload workers.",,,
,16,"Consider the following statements regarding Disguised un employment:\n1. It is a situation where more labourers are working in a particular economic activity than would be normally required.\n2. It is a common form of unemployment in rural India.\nWhich of the statements given above is/are incorrect?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,D,"Class – 11 -  – Book Name – Indian Economic Development– Page No. 131 and 134.\nExplanation:\n Economists call unemployment prevailing in Indian farms as disguised unemployment. What is disguised unemployment? Suppose a farmer has four acres of land and he actually needs only two workers and himself to carry out various operations on his farm in a year, but if he employs five workers and his family members such as his wife and children, this situation is known as disguised unemployment. Disguised unemployment is a common form of unemployment in rural India.",,,
,10,"Which of the following are Non-Conventional sources of Energy?\n1. Solar Energy\n2. Wind Energy\n3. Tidal Energy\n4. Coal\nSelect the correct answer using the codes given below","1, 2 and 3 only","2, 3 and 4 only",1 and 4 only,"1, 2, 3 and 4",A,"Class – 11 -  – Book Name – Indian Economic Development– Page No. 145.\nExplanation:\n Non-conventional Sources of Energy: Both commercial andnon-commercial sources ofenergy are known asconventional sources of energy.There are three other sourcesof energy which are commonlytermed as non-conventionalsources — solar energy, windenergy and tidal power.",,,
,10,"Under the Great Leap Forward Programme of China, the commune system was developed under which",people collectively cultivated lands,industrial cooperatives were formed,trade unions were encouraged,small and medium enterprises were jointly owned by the community,A,"Class – 11 -  – Book Name – Indian Economic Development– Page No. 183.\nExplanation:\nAfter the establishment of People ‘s Republic of China under one party rule, all the critical sectors of the economy, enterprises and lands owned and operated by individuals were brought under government control.\nThe Great Leap Forward (GLF) campaign initiated in 1958 aimed at industrializing the country on a massive scale. People were encouraged to set up industries in their backyards.\nIn rural areas, communes were started. Under the Commune system, people collectively cultivated lands. In 1958, there were 26,000 communes covering almost all the farm population.",,,
,10,"In the normal course of development, countries first shift their employment and output from agriculture to manufacturing and then to services. The trend was NOT followed in which of these countries?\n1. India\n2. Pakistan\n3. China\nSelect the correct answer using the codes given below",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",A,"Class – 11 -  – Book Name – Indian Economic Development– Page No. 187 and 188.\nExplanation:\nThe proportion of workforce engaged in manufacturing in India and Pakistan were low at 19 and 20 per cent respectively. The contribution of industries to GDP is also just equal to or marginally higher than the output from agriculture. In India and Pakistan, the shift is taking place directly to the service sector.\nThus, in both India and Pakistan, the service sector is emerging as a major player of development. It contributes more to GDP and, at the same time, emerges as a prospective employer.",,,
,10,"Why did China introduce structural reforms in 1978?\n1.China had compulsion to introduce reforms as dictated by the World Bank and International Monetary Fund.\n2.They felt that Maoist vision of economic development based on decentralization, self-sufficiency and shunning of foreign technology, goods and capital had failed.\nSelect the correct answer using the codes given below",1 only,2 only,Both 1 and 2,Neither 1 nor 2,B,"Class – 11 -  – Book Name – Indian Economic Development– Page No. 191.\nExplanation:\n  China did not have any compulsion to introduce reforms as dictated by the World Bank and International Monetary Fund to India and Pakistan. The new leadership at that time in China was not happy with the slow pace of growth and lack of modernization in the Chinese economy under the Maoist rule. They felt that Maoist vision of economic development based on decentralization, self-sufficiency and shunning of foreign technology, goods and capital had failed. Despite extensive land reforms, collectivization, the Great Leap Forward and other initiatives, the per capita grain output in 1978 was the same as it was in the mid-1950s.",,,
,10,"Which of the following factors may have helped the growth of population during the 19th and 20th century?\n1. Sanitation and Medical development\n2. Development and spread of agriculture\n3. Industrial revolution\nSelect the correct answer using the codes given below",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",C,"Class – 12 -  – Book Name – Fundamentals of Human Geography– Page No. 12.\nExplanation:\nRefer the figure in page no. 12.",,,
,10,"Consider the following statements regarding patterns of population distribution in the world:\n1.The 10 most populous countries of the world contribute about 60 per cent of the world’s population.\n2.Of these 10 countries, 6 are located in Africa.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,A,"Class – 12 -  – Book Name – Fundamentals of Human Geography– Page No. 8.\nExplanation:\n The 10 most populous countries of the world contribute about 60 per cent of the world’s population. Of these 10 countries, 6 are located in Asia. Identify these six countries of Asia.",,,
,10,"Which of the following are push factors for Migration?\n1.unemployment, \n2. political turmoil, \n3.unpleasant climate,\n4.better job opportunities and living conditions.\nSelect the correct answer using the code given below","1, 2 and 3 only","2, 3 and 4 only","1 and 4 only","1, 2, 3 and 4",A,"Class – 12 -  – Book Name – Fundamentals of Human Geography– Page No. 11.\nExplanation:\nThe Push factors make the place of origin seem less attractive for reasons like unemployment, poor living conditions, political turmoil, unpleasant climate, natural disasters, epidemics and socio-economic backwardness.\nThe Pull factors make the place of destination seem more attractive than the place of origin for reasons like better job opportunities and living conditions, peace and stability, security of life and property and pleasant climate.",,,
,10,"Which of the following is not a necessary pillar of human development?\n1. Equity\n2. Empowerment\n3. Sustainability\nSelect the correct answer using the codes given below",1 and 2 only,2 and 3 only,1 and 3 only,All are necessary pillars,D,"Class – 12 -  – Book Name – Fundamentals of Human Geography– Page No. 25.\nExplanation:\n Just as any building is supported by pillars, the idea of human development is supported by the concepts of equity, sustainability, productivity and empowerment.",,,
,10,"Which of the following aspects of a citizen‘s life are included in Bhutan‘s Gross National Happiness (GNH) index?\n1. Spiritual\n2. Cultural\n3. Environmental\nSelect the correct answer using the codes given below",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",D,"Class – 12 -  – Book Name – Fundamentals of Human Geography– Page No. 27.\nExplanation:\n Bhutan is the only country in the world to officially proclaim the Gross National Happiness (GNH) as the measure of the country’s progress. Material progress and technological developments are approached more cautiously taking into consideration the possible harm they might bring to the environment or the other aspects of cultural and spiritual life of the Bhutanese. This simply means material progress cannot come at the cost of happiness. GNH encourages us to think of the spiritual, non-material and qualitative aspects of development.",,,
,10,A narrow base and broad top in an age pyramid signifies,Population ageing,Population is young,Death rates are very low.,Both (a) and (c),D,"Class – 12 -  – Book Name – Fundamentals of Human Geography– Page No. 19.\nExplanation:\nPopulation ageing is the process by which the share of the older population becomes proportionally larger. This is a new phenomenon of the twentieth century. In most of the developed countries of the world, population in higher age groups has increased due to increased life expectancy. With a reduction in birth rates, the proportion of children in the population has declined.",,,
,10,"Which of the following factors are common to countries with a lower HDI value?\n1. Political instability\n2. Social unrest\n3. Common religion\nSelect the correct answer using the codes given below",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",A,"Class – 12 -  – Book Name – Fundamentals of Human Geography– Page No. 29.\nExplanation:\n As many as 46 countries record low levels of human development. A large proportion of these are small countries which have been going through political turmoil and social instability in the form of civil war, famine or a high incidence of diseases. There is an urgent need to address the human development requirements of this group through well thought out policies.\nInternational comparisons of human development can show some very interesting results. Often people tend to blame low levels of human development on the culture of the people. For example, X country has lower human development because its people follow Y religion, or belong to Z community. Such statements are misleading.\nTo understand why a particular region keeps reporting low or high levels of human development it is important to look at the pattern of government expenditure on the social sector. The political environment of the country and the amount of freedom people have is also important. Countries with high levels of human development invest more in the social sectors and are generally free from political turmoil and instability. Distribution of the country‘s resources is also far more equitable.",,,
,10,"Which of the following are the characteristic of mixed farming?\n1. Fodder crops are an important component.\n2. Crop rotation\n3. Inter-cropping\n4. Extensive use of chemical fertilizers\nSelect the correct answer using the codes given below",3 and 4 only,"2, 3 and 4 only","1 and 2 only","1, 2, 3 and 4",D,"Class – 12 -  – Book Name – Fundamentals of Human Geography– Page No. 38.\nExplanation:\nMixed Farming is found in the highly developed parts of the world, e.g. North-western Europe, Eastern North America, parts of Eurasia and the temperate latitudes of Southern continents.\nMixed farms are moderate in size and usually the crops associated with it are wheat, barley, oats, rye, maize, fodder and root crops.\nFodder crops are an important component of mixed farming. Crop rotation and intercropping play an important role in maintaining soil fertility. Equal emphasis is laid on crop cultivation and animal husbandry. Animals like cattle, sheep, pigs and poultry provide the main income along with crops.\nMixed farming is characterised by high capital expenditure on farm machinery and building, extensive use of chemical fertilisers and green manures and also by the skill and expertise of the farmers.",,,
,10,Truck farming is common in regions where farmers specialize in growing,Cotton,Vegetables,Flowers,Fruits,B,"Class – 12 -  – Book Name – Fundamentals of Human Geography– Page No. 40.\nExplanation:\n The regions where farmers specialise in vegetables only, the farming is know as truck farming. The distance of truck farms from the market is governed by the distance that a truck can cover overnight, hence the name truck farming.",,,
,10,"How are cooperative and collective farming different?\n1. In collective farming, farmers own the pieces of land collectively, not individually.\n2. In collective farming, there is no hierarchy – all farmers have equal power.\n3. A cooperative can be state enforced unlike collective farming.\nSelect the correct answer using the codes given below",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",A,"[This Question is from Class 12 Book]\nAns: A– Class – 12 -  – Book Name – Fundamentals of Human Geography– Page No. 41.\nExplanation:\n The basic principle behind this types of farming is based on social ownership of the means of production and collective labour. Collective farming or the model of Kolkhoz was introduced in erstwhile Soviet Union to improve upon the inefficiency of the previous methods of agriculture and to boost agricultural production for self-sufficiency. The farmers used to pool in all their resources like land, livestock and labour. However, they were allowed to retain very small plots to grow crops in order to meet their daily requirements. Yearly targets were set by the government and the produce was also sold to the state at fixed prices. Produce in excess of the fixed amount was distributed among the members or sold in the market. The farmers had to pay taxes on the farm produces, hired machinery etc. Members were paid according to the nature of the work allotted to them by the farm management. Exceptional work was rewarded in cash or kind. This type of farming was introduced in former Soviet Union under the socialist regime which was adopted by the socialist countries. After its collapse, these have already been modified.",,,
,10,Industries based on cheap and weight losing material are located close to the sources of raw material because,Further transportation cost will be less,Processing cost will be less,Raw material cost will be less,Labour cost will be less,A,"Class – 12 -  – Book Name – Fundamentals of Human Geography– Page No. 47.\nExplanation:\n Raw material used by industries should be cheap and easy to transport. Industries based on cheap, bulky and weight-losing material (ores) are located close to the sources of raw material such as steel, sugar, and cement industries. Perishability is a vital factor for the industry to be located closer to the source of the raw material. Agro-processing and dairy products are processed close to the sources of farm produce or milk supply respectively.",,,
,10,"Which of the following characteristics do belong to the Agri-businesses?\n1. Highly mechanised\n2. Large in Size\n3. Reliance on chemicals\nSelect the correct answer using the codes given below",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",D,"Class – 12 -  – Book Name – Fundamentals of Human Geography– Page No. 50.\nExplanation:\n Agri-business is commercial farming on an industrial scale often financed by business whose main interests lie outside agriculture, for example, large corporations in tea plantation business. Agri-business farms are mechanised, large in size, highly structured, reliant on chemicals, and may be described as agro-factories.",,,
,10,"Which of the following perform Quinary activities?\n1. highest level of decision makers.\n2. It is called as gold collar profession\n3. They are large in numbers\nSelect the correct answer using the codes given below",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",A,"Class – 12 -  – Book Name – Fundamentals of Human Geography– Page No. 62.\nExplanation:\n The highest level of decision makers or policy makers perform quinary activities. These are subtly different from the knowledge based industries that the quinary sector in general deals with.\nQuinary activities are services that focus on the creation, re-arrangement and interpretation of new and existing ideas; data interpretation and the use and evaluation of new technologies. Often referred to as gold collar professions, they represent another subdivision of the tertiary sector representing special and highly paid skills of senior business executives, government officials, research scientists, financial and legal consultants, etc. Their importance in the structure of advanced economies far outweighs their numbers.",,,
,10,"When outsourcing involves transferring work to overseas locations, it is described by the term off – shoring. Why do companies off-shore?",Non-availability of skilled manpower in the country that off-shores,Availability of cheap skilled labour in the country that is being off-shored to,Lack of good business climate in the country that off-shores,To avoid issues of transfer pricing to evade taxes,B,"Class – 12 -  – Book Name – Fundamentals of Human Geography– Page No. 62.\nExplanation:\nOutsourcing or contracting out is giving work to an outside agency to improve efficiency and reduce costs. When outsourcing involves transferring work to overseas locations, it is described by the term off - shoring, although both off - shoring and outsourcing are used together. Business activities that are outsourced include information technology (IT), human resources, customer support and call centre services and at times also manufacturing and engineering.\nData processing is an IT related service easily be carried out in Asian, East European and African countries, in these countries IT skilled staff with good English language skills are available at lower wages than those in the developed countries. Thus, a company in Hyderabad or Manila does work on a project based on GIS techniques for a country like U.S.A or Japan. Overhead costs are also much lower making it profitable to get job-work carried out overseas, whether it is in India, China or even a less populous country like Botswana in Africa.",,,
,10,Railways in Russia are preferred much more than Highways. What can be the possible reason?,Huge geographical extent of Russia,The extremely cold climate of Russia,It is difficult to construct roads in the Russian terrain,None of the above ,A,"Class – 12 -  – Book Name – Fundamentals of Human Geography– Page No. 68.\nExplanation:\n In Russia, a dense highway network is developed in the industrialised region west of the Urals with Moscow as the hub. The important Moscow-Vladivostok Highway serves the region to the east. Due to the vast geographical area, highways in Russia are not as important as railways.",,,
,10,"Consider the following statements regarding Panama Canal.\n1.This canal connects the Atlantic Ocean in the east to the Pacific Ocean in the west.\n2.It has been constructed across the Panama Isthmus between Panama City and Colon by the U.S.\n3.The economic significance of this Canal is more than that of the Suez.\nWhich of the statements given above is/are correct?",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",A,"Class – 12 -  – Book Name – Fundamentals of Human Geography– Page No. 75.\nExplanation:\n The Panama Canal: This canal connects the Atlantic Ocean in the east to the Pacific Ocean in the west. It has been constructed across the Panama Isthmus between Panama City and Colon by the U.S. government which purchased 8 km of area on either side and named it the Canal Zone. The Canal is about 72 km. long and involves a very deep cutting for a length of 12 km. It has a sixlock system and ships cross the different levels (26 m up and down) through these locks before entering the Gulf of Panama. It shortens the distance between New York and San Francisco by 13,000 km by sea. Likewise the distance between Western Europe and the West-coast of U.S.A.; and North-eastern and Central U.S.A. and East and South-east Asia is shortened. The economic significance of this Canal is relatively less than that of the Suez. However, it is vital to the economies ofLatin America.",,,
,10,"Consider the following statements:\n1. The Size of the territory of a country plays an important role in determining the level of human development.\n2. The higher the per capita income the higher will be the HDI of a nation.\n3. In India, among states, higher per capita income states always perform better at HDI than other states with a lower per capita income.\nWhich of the statements given above is/are correct?",1 and 2 only,2 and 3 only,3 only,None of the above,D,"Class – 12 -  – Book Name – Fundamentals of Human Geography– Page No. 27.\nExplanation:\n International comparisons of human development are interesting. Size of the territory and per capita income are not directly related to human development. Often smaller countries have done better than larger ones in human development. Similarly, relatively poorer nations have been ranked higher than richer neighbours in terms of human development.\nFor example, Sri Lanka, Trinidad and Tobago have a higher rank than India in the human development index despite having smaller economies. Similarly, within India, Kerala performs much better than Punjab and Gujarat in human development despite having lower per capita income.",,,
,10,Before the construction of the Suez Canal which route connected Liverpool (in UK) and Colombo (in Sri Lanka) by sea?,The Mediterranean–Indian Ocean Route,The Cape of Good Hope Sea Route,The Northern Atlantic Sea Route,The South Pacific Sea Route,A,"Class – 12 -  – Book Name – Fundamentals of Human Geography– Page No. 73.\nExplanation:\nThe Mediterranean–Indian Ocean Route is a trade route that connects the highly industrialised Western European region with West Africa, South Africa, South-east Asia and the commercial agriculture and livestock economies of Australia and New Zealand. Before the construction of the Suez Canal this was the route connecting Liverpool and Colombo which was 6,400 km longer than the Suez Canal route. The volume of trade and traffic between both East and West Africa is on the increase due to the development of the rich natural resources such as gold, diamond, copper, tin, groundnut, oil palm, coffee and fruits.",,,
,10,"Consider the following statements.\n1.Rivers are the only means of transport in dense forests.\n2.In ancient times, riverways were the main highways of transportation as in the case of India.\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,C,"Class – 12 -  – Book Name – Fundamentals of Human Geography– Page No. 75.\nExplanation:\n Rivers, canals, lakes and coastal areas have been important waterways since time immemorial. Boats and steamers are used as means of transport for cargo and passengers. The development of inland waterways is dependent on the navigability width and depth of the channel, continuity in the water flow, and transport technology in use. Rivers are the only means of transport in dense forests. Very heavy cargo like coal, cement, timber and metallic ores can be transported through inland waterways. In ancient times, riverways were the main highways of transportation as in the case of India",,,
,10,"Consider the following statement regarding importance of pipeline in transportation:\n1.In New Zealand, milk is being supplied through pipelines from farms to factories.\n2.In U.S.A. there is a less dense network of oil pipelines\nWhich of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,A,"Class – 12 -  – Book Name – Fundamentals of Human Geography– Page No. 78.\nExplanation:\n Pipelines can also be used to transport liquidified coal. In New Zealand, milk is being supplied through pipelines from farms to factories. In U.S.A. there is a dense network of oil pipelines from the producing areas to the consuming areas. Big Inch is one such famous pipeline, which carries petroleum from the oil wells of the Gulf of Mexico to the North-eastern States. About 17 per cent of all freight per tonne-km. is carried through pipelines in U.S.A.",,,
